prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,LOG_TIMEOUT,commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,num_pre_aborts
34706.1,0,0,0.108556,177.321,0.0483799,0,6.7572e-05,0,0,0,0.0762761,0,2,0,43,0,40.1659,8.9394e-05,0,0,0,0,0.05,0,1000,1.56347,0.000867674,63.0815,WAIT_DIE,0,0,0,0,1.06501,0,7.7891e-05,4.8812e-05,0,0,0.040286,0,0,false,0,0,0,0,0,0,2.14112,146.266,0.00112249,0,0.0835589,0.108556,0,0,0.00042308,0.0287754,0,0,0,6,1.95848,0,26514.6,24,0,0,0,0,0,0,0,20,0,0.00767473,0,0,0,34899.9,ONE_PC,0,30820.2,0,0,0,0,0,0,0.0280359,0.5,0.000118482,0,0,0,0,17,43,0,0,0,0,1.05241,0
34241.8,0,87,0.083605,201.862,0.0448838,0,0.000148756,0,0,0,0.0752795,0,4,0,91,0,87.9326,0.00035881,0,0,0,0,0.05,0,1000,0.928132,0.00170046,51.4381,WAIT_DIE,0,0,0,0,1.73583,0,0.000313133,8.4292e-05,0,0,0.0623156,0,0,false,0,0,0,0,0,0,4.13953,132.684,0.00179235,0,0.0753778,0.083605,0,0,0.00089372,0.0281739,0,0,0,19,3.91892,0,19944.6,53,0,0,0,0,0,0,0,39,0,0.0149284,0,0,0,37799.1,ONE_PC,0,33043.1,0,0,0,0,0,0,0.0355042,0.5,0.000193273,0,0,0,0,33,91,0,0,0,0,1.01756,0
37888.9,0,124,0.108755,246.648,0.053325,0,0.000267688,0,0,0,0.0835519,0,8,0,155,0,144.406,0.000657392,0,0,0,0,0.05,0,1000,1.09639,0.00245336,32.3082,WAIT_DIE,0,0,0,0,2.00266,0,0.000610266,0.000106874,0,0,0.107204,0,0,false,0,0,0,0,0,0,8.58692,98.2642,0.00868219,0,0.093163,0.118291,0,0,0.00153522,0.0857379,0,0,0,25,7.84801,0,30269,92,0,0,0,0,0,0,0,63,0,0.0206236,0,0,0,40177.4,ONE_PC,0,33961.2,0,0,0,0,0,0,0.118697,0.5,0.00034244,0,0,0,0,67,155,0,0,0,0,1.05702,0
38027.2,0,120,0.114837,255.448,0.0499908,0,0.000561112,0,0,0,0.0763235,0,16,0,330,0,307.235,0.00111631,0,0,0,0,0.05,0,1000,1.1384,0.00491722,58.7935,WAIT_DIE,0,0,0,0,2.3814,0,0.00097297,0.000236259,0,0,0.164034,0,0,false,0,0,0,0,0,0,17.1855,193.093,0.00540271,0,0.0836598,0.114981,0,0,0.00324569,0.159229,0,0,0,54,15.6604,0,24585.2,194,0,0,0,0,0,0,0,140,0,0.0774492,0,0,0,40746.8,ONE_PC,0,35742.8,0,0,0,0,0,0,0.244205,0.5,0.00060932,0,0,0,0,136,330,0,0,0,0,1.05778,0
39467.3,0,442,0.12454,338.723,0.0506733,0,0.00101194,0,0,0,0.0800563,0,32,0,656,0,612.135,0.00213275,0,0,0,0,0.05,0,1000,1.3537,0.011278,56.3552,WAIT_DIE,0,0,0,0,1.92953,0,0.00194275,0.000552813,0,0,0.223441,0,0,false,0,0,0,0,0,0,34.2931,191.921,0.0120765,0,0.0838002,0.124732,0,0,0.00632418,0.30424,0,0,0,126,31.3207,0,25910.2,359,0,0,0,0,0,0,0,290,0,0.155875,0,0,0,38681,ONE_PC,0,35870.7,0,0,0,0,0,0,0.474986,0.5,0.00144402,0,0,0,0,240,656,0,0,0,0,1.05008,0
45793.2,0,312,0.139744,2171.35,0.0626757,0,0.00159266,0,0,42,0.106441,0,64,0,1066,0,944.44,0.00420418,0,42,0,0,0.05,0,1000,16.3604,0.0185661,87.1865,WAIT_DIE,0.0198296,0,0,0,1.99175,0,0.00378991,0.00114978,0,0,0.344938,0,0,false,0,0,0,0,0,0,72.2375,310.049,0.0223902,0,0.113701,0.156693,0,0,0.0102066,1.05228,0,0,0,230,62.4551,0,31929.4,608,0,0,0,0,42,0,0,474,0,0.424374,0,0,0,51501.6,ONE_PC,0,42965.1,0,0,0,0,0,0,1.46384,0.5,0.0189575,0,42,0,0,362,1066,18.9736,0,0,42,0.942776,0
97237.1,0,84,0.77821,53942.7,0.187866,0,0.00088336,0,0,0,0.343096,0,128,0,628,0,480.086,0.00183112,0,0,0,0,0.05,0,1000,27.0466,0.0258763,5115.25,WAIT_DIE,0,0,0,0,1.38563,0,0.00160958,0.000621888,0,0,0.409519,0,0,false,0,0,0,0,0,0,167.437,19565.3,0.719035,0,0.410864,1.01637,0,0,0.00596465,7.55094,0,0,0,134,86.7159,0,116677,340,0,0,0,0,0,0,0,289,0,20.3084,0,0,0,80333.7,ONE_PC,0,62817.3,0,0,0,0,0,0,5.55077,0.5,0.00188361,0,0,0,0,205,628,0,0,0,0,1.15949,0
36664,0,0,0.160996,255.186,0.0759484,0,3.0232e-05,0,0,0,0.13799,0,2,0,27,0,25.9656,6.8674e-05,0,0,0,0,0.05,0,1000,29850.8,0.000484557,90.5076,WAIT_DIE,0,0,0,0,1.26192,0,6.0633e-05,1.746e-05,0,0,0.0344274,0,0,false,0,0,0,0,0,0,2.07967,206.956,0.000738662,0,0.160846,0.160996,0,0,0.000245368,0.0189283,0,0,0,4,1.95942,0,17847.3,11,0,0,0,0,0,0,0,16,0,0.00655843,0,0,0,56140.7,TWO_PC,0,26290.4,0,0,0,0,0,0,0.0187043,0.5,4.4471e-05,0,0,0,0,7,27,0,0,0,0,1.02226,0
31128,0,87,0.114722,233.084,0.0672661,0,9.0092e-05,0,0,0,0.100472,0,4,0,63,0,57.1398,0.0002296,0,0,0,0,0.05,0,1000,25399.1,0.00111672,127.827,WAIT_DIE,0,0,0,0,1.9102,0,0.000199362,4.8488e-05,0,0,0.066819,0,0,false,0,0,0,0,0,0,4.41024,214.617,0.00138168,0,0.106125,0.114722,0,0,0.000608564,0.062392,0,0,0,14,3.9171,0,20084.7,33,0,0,0,0,0,0,0,29,0,0.0164237,0,0,0,52518,TWO_PC,0,27119.9,0,0,0,0,0,0,0.0787419,0.5,0.000147386,0,0,0,0,20,63,0,0,0,0,1.08483,0
32492.2,0,23,0.131327,256.565,0.077453,0,0.000168016,0,0,0,0.121454,0,8,0,108,0,98.6039,0.000329359,0,0,0,0,0.05,0,1000,27919.1,0.0017526,98.5421,WAIT_DIE,0,0,0,0,1.7626,0,0.000299083,0.000137949,0,0,0.112449,0,0,false,0,0,0,0,0,0,8.76233,230.36,0.00225999,0,0.129387,0.131775,0,0,0.00106257,0.104148,0,0,0,18,7.83756,0,30515,58,0,0,0,0,0,0,0,48,0,0.0309359,0,0,0,55710.4,TWO_PC,0,27792.2,0,0,0,0,0,0,0.144037,0.5,0.000480358,0,0,0,0,42,108,0,0,0,0,1.07929,0
