prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,LOG_TIMEOUT,commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,num_pre_aborts
47324.9,0,193,0.126188,421.946,0.063393,0,0.000826332,0,0,0,0.10044,0,32,0,521,0,473.38,0.0016538,0,0,0,0,0.05,0,500,2.00602,0.0114672,340.396,WAIT_DIE,0,0,0,0,2.07908,0,0.00143669,0.000652028,0,0,0.229784,0,0,false,0,0,0,0,0,0,35.2191,362.87,0.0115814,0,0.107379,0.126366,0,0,0.00509683,0.420595,0,0,0,95,31.2485,0,34710.6,303,0,0,0,0,0,0,0,229,0,0.225338,0,0,0,48027,ONE_PC,0,41507.4,0,0,0,0,0,0,0.62005,0.5,0.00268361,0,0,0,0,197,521,0,0,0,0,1.07794,0
38373.4,0,211,0.105341,363.739,0.0514633,0,0.000989328,0,0,0,0.0835493,0,32,0,640,0,602.815,0.00212164,0,0,0,0,0.05,0,1000,1.66122,0.0113675,71.3425,WAIT_DIE,0,0,0,0,2.18875,0,0.00192574,0.00080718,0,0,0.222186,0,0,false,0,0,0,0,0,0,33.9739,251.421,0.00748074,0,0.0985546,0.107803,0,0,0.00617428,0.270653,0,0,0,123,31.2816,0,28451.6,355,0,0,0,0,0,0,0,283,0,0.194278,0,0,0,36206.2,ONE_PC,0,31944.4,0,0,0,0,0,0,0.425565,0.5,0.00279708,0,0,0,0,234,640,0,0,0,0,1.03946,0
48534.3,0,296,0.200228,350.59,0.0614437,0,0.000886848,0,0,0,0.0997067,0,32,0,561,0,512.492,0.00225766,0,0,0,0,0.05,0,1500,1.28818,0.00928449,69.32,WAIT_DIE,0,0,0,0,2.30872,0,0.00205676,0.000644174,0,0,0.228311,0,0,false,0,0,0,0,0,0,35.0288,238.673,0.00859106,0,0.157138,0.20032,0,0,0.00545163,0.379574,0,0,0,103,31.3135,0,27974.7,323,0,0,0,0,0,0,0,248,0,0.162085,0,0,0,48559.4,ONE_PC,0,43792.7,0,0,0,0,0,0,0.594464,0.5,0.00162678,0,0,0,0,210,561,0,0,0,0,1.07494,0
37213.7,0,614,0.121414,297.774,0.0488525,0,0.00104615,0,0,0,0.0824214,0,32,0,674,0,631.231,0.00264384,0,0,0,0,0.05,0,2000,1.38311,0.00940834,39.0665,WAIT_DIE,0,0,0,0,1.98752,0,0.00243844,0.000607468,0,0,0.222956,0,0,false,0,0,0,0,0,0,34.1682,120.42,0.0078953,0,0.0917635,0.12177,0,0,0.00649462,0.290098,0,0,0,133,31.364,0,25367.1,371,0,0,0,0,0,0,0,294,0,0.106519,0,0,0,36289.6,ONE_PC,0,32173.7,0,0,0,0,0,0,0.460248,0.5,0.00223001,0,0,0,0,247,674,0,0,0,0,1.04779,0
38166.6,0,322,0.13241,332.942,0.0509471,0,0.000992344,0,0,0,0.0843097,0,32,0,646,0,603.173,0.00227572,0,0,0,0,0.05,0,2500,1.30742,0.0112575,45.0198,WAIT_DIE,0,0,0,0,2.04788,0,0.00206196,0.000608336,0,0,0.222923,0,0,false,0,0,0,0,0,0,34.2721,143.615,0.0120602,0,0.0919846,0.132533,0,0,0.0062205,0.299735,0,0,0,124,31.3569,0,26466.9,351,0,0,0,0,0,0,0,287,0,0.119076,0,0,0,38111.3,ONE_PC,0,33002.3,0,0,0,0,0,0,0.473872,0.5,0.00169511,0,0,0,0,235,646,0,0,0,0,1.04953,0
36323.2,0,445,0.100083,332.089,0.0486472,0,0.00105891,0,0,0,0.0759534,0,32,0,678,0,634.923,0.00244838,0,0,0,0,0.05,0,3000,1.23088,0.010997,37.7138,WAIT_DIE,0,0,0,0,1.92397,0,0.00224186,0.000628664,0,0,0.221949,0,0,false,0,0,0,0,0,0,34.1711,116.951,0.00788133,0,0.0915538,0.117085,0,0,0.00656756,0.291502,0,0,0,132,31.3674,0,24796.9,383,0,0,0,0,0,0,0,298,0,0.104016,0,0,0,36734.7,ONE_PC,0,32669.2,0,0,0,0,0,0,0.453466,0.5,0.00176788,0,0,0,0,248,678,0,0,0,0,1.04664,0
43970.9,0,58,0.144052,263.65,0.086879,0,0.000593216,0,0,0,0.125468,0,32,0,385,0,347.665,0.00109187,0,0,0,0,0.05,0,500,26640.5,0.00605231,48.5709,WAIT_DIE,0,0,0,0,2.20541,0,0.000990376,0.000401158,0,0,0.237301,0,0,false,0,0,0,0,0,0,35.4364,158.825,0.00523818,0,0.133894,0.144119,0,0,0.0037279,0.420063,0,0,0,71,31.3966,0,33985.9,211,0,0,0,0,0,0,0,168,0,0.0795613,0,0,0,65902.4,TWO_PC,0,39262.9,0,0,0,0,0,0,0.641554,0.5,0.0013735,0,0,0,0,146,385,0,0,0,0,1.09168,0
36769.8,0,100,0.145001,287.262,0.0779121,0,0.000673872,0,0,0,0.125044,0,32,0,436,0,390.604,0.00175561,0,0,0,0,0.05,0,1000,27343.9,0.00744927,49.6611,WAIT_DIE,0,0,0,0,2.3276,0,0.0016315,0.00046902,0,0,0.245843,0,0,false,0,0,0,0,0,0,35.719,157.947,0.00866827,0,0.133235,0.145237,0,0,0.00423976,0.45043,0,0,0,81,31.3776,0,29609.8,240,0,0,0,0,0,0,0,194,0,0.0882426,0,0,0,56358.6,TWO_PC,0,29015.6,0,0,0,0,0,0,0.687041,0.5,0.00112661,0,0,0,0,161,436,0,0,0,0,1.0981,0
41180.1,0,35,0.152539,260.315,0.0866101,0,0.000590112,0,0,0,0.124581,0,32,0,384,0,346.546,0.00127998,0,0,0,0,0.05,0,1500,31280,0.0058976,45.649,WAIT_DIE,0,0,0,0,2.05327,0,0.00115689,0.00037953,0,0,0.240355,0,0,false,0,0,0,0,0,0,35.4585,147.306,0.00582813,0,0.149394,0.152668,0,0,0.00371438,0.422573,0,0,0,71,31.4029,0,28309.9,213,0,0,0,0,0,0,0,170,0,0.0747103,0,0,0,68476.8,TWO_PC,0,37198.1,0,0,0,0,0,0,0.647955,0.5,0.00143964,0,0,0,0,143,384,0,0,0,0,1.09254,0
38772.7,0,20,0.176927,299.689,0.0829023,0,0.000632788,0,0,0,0.123377,0,32,0,409,0,366.666,0.00160655,0,0,0,0,0.05,0,2000,29268.1,0.0072759,53.6384,WAIT_DIE,0,0,0,0,2.35453,0,0.00148331,0.000362498,0,0,0.23813,0,0,false,0,0,0,0,0,0,35.6946,176.182,0.00931892,0,0.136025,0.177038,0,0,0.00395092,0.450524,0,0,0,76,31.3813,0,30724,223,0,0,0,0,0,0,0,181,0,0.0917333,0,0,0,59903,TWO_PC,0,30635.8,0,0,0,0,0,0,0.680361,0.5,0.00137341,0,0,0,0,152,409,0,0,0,0,1.09552,0
