prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,LOG_TIMEOUT,commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,num_pre_aborts
47113.7,0,84,1.77508,374.509,0.303203,0.9,0.00151013,0,0,15369,0.935868,0,32,0,146,0,63.9396,0.00540411,0,14741,0,0,0.05,0,250,2.1336,0.0391628,136.969,WAIT_DIE,6.75492,0,0,0,3.33488,0,0.00483664,0.00206819,0,0,0.508598,0,0,false,0,0,0,0,0,0,73.0689,304.288,0.0375467,0,1.39852,1.80739,0,7478,0.00295864,4.35661,0,0,0,35,24.6446,4012,33276.2,870,0,0,0,16,14866,0,0,58,0,0.085595,0,0,0,86194.7,ONE_PC,0,39911.5,0,0,211.592,16,0,0,6.67361,0.5,0.00443261,0,7388,0,0,53,146,240629,0,0,15369,2.21351,0
47162.3,0,104,1.77821,1024.88,0.306241,0.9,0.0017971,0,0,20249,1.00444,0,32,0,155,0,73.9044,0.0071187,0,19332,0,0,0.05,0,500,1.31583,0.0466778,350.16,WAIT_DIE,7.07591,0,0,0,2.95441,0,0.00619122,0.0025439,0,0,0.435605,0,0,false,0,0,0,0,0,0,67.1138,524.775,0.0372958,0,1.41403,1.92758,0,9455,0.0032664,3.7293,0,0,0,27,24.2831,5576,30419.5,944,0,0,0,44,19583,0,0,70,0,0.134981,0,0,0,80186.3,ONE_PC,0,41317.6,0,0,783.603,44,0,0,5.69292,0.5,0.00818828,0,10128,0,0,58,155,245967,0,0,20249,2.0182,0
39886.4,0,125,1.49068,1588.59,0.213444,0.9,0.00156242,0,0,13530,0.55377,0,32,0,190,0,92.8824,0.00622195,0,12663,0,0,0.05,0,750,1.13269,0.0283377,258.019,WAIT_DIE,6.17493,0,0,0,2.94067,0,0.00568205,0.00169105,0,0,0.442663,0,0,false,0,0,0,0,0,0,65.4591,376.227,0.028671,0,1.19521,1.66712,0,4901,0.00349336,3.54752,0,0,0,39,25.1863,3253,29060.4,904,0,0,0,19,12663,0,0,77,0,0.112255,0,0,0,60209.3,ONE_PC,0,31799.4,0,0,1335.32,19,0,0,5.46864,0.5,0.00483146,0,7762,0,0,74,190,159904,0,0,13530,1.99092,0
40912.7,0,90,1.89649,1313.7,0.26087,0.9,0.0022433,0,0,11893,0.807921,0,32,0,186,0,82.6038,0.00708749,0,11325,0,0,0.05,0,1000,1.40767,0.0532083,182.509,WAIT_DIE,4.78671,0,0,0,3.37366,0,0.0064034,0.00232494,0,0,0.53599,0,0,false,0,0,0,0,0,0,72.0548,296.631,0.0304751,0,1.39347,1.99823,0,5579,0.00372212,4.22263,0,0,0,31,26.6082,4578,28527.1,1012,0,0,0,27,11421,0,0,77,0,0.0987705,0,0,0,94385.1,ONE_PC,0,37711.8,0,0,996.404,27,0,0,6.49779,0.5,0.00700373,0,5842,0,0,78,186,206371,0,0,11893,2.14877,0
38352.4,0,85,2.21754,2129.54,0.293398,0.9,0.00242238,0,0,12215,1.03597,0,32,0,184,0,73.3502,0.00605107,0,11728,0,0,0.05,0,1250,1.66985,0.0283491,228.225,WAIT_DIE,4.79546,0,0,0,3.35437,0,0.00552281,0.0017763,0,0,0.550982,0,0,false,0,0,0,0,0,0,80.2724,317.305,0.0344028,0,1.87293,2.22321,0,7165,0.00322964,5.17141,0,0,0,40,26.5942,1424,24730.5,3165,0,0,0,41,14115,0,0,80,0,0.0995441,0,0,0,76062.7,ONE_PC,0,35310.2,0,0,1889.08,41,0,0,7.68883,0.5,0.00457934,0,6950,0,0,64,184,240555,0,0,12215,2.44988,0
39416.2,0,131,1.76494,1544.44,0.267176,0.9,0.00262738,0,0,13268,0.954776,0,32,0,176,0,87.2639,0.00973039,0,12399,0,0,0.05,0,1500,1.46412,0.0555204,232.659,WAIT_DIE,5.53704,0,0,0,3.00893,0,0.00899328,0.00244539,0,0,0.416175,0,0,false,0,0,0,0,0,0,64.5399,345.56,0.0485483,0,1.51453,1.82559,0,4266,0.00371192,3.49701,0,0,0,36,25.8443,4624,27323.3,2769,0,0,0,80,14294,0,0,69,0,0.105416,0,0,0,111685,ONE_PC,0,36040,0,0,1106.44,80,0,0,5.25589,0.5,0.00609329,0,10028,0,0,71,176,213744,0,0,13268,1.93005,0
46872,0,39,3.08813,2297,0.653847,0.9,0.00134214,0,0,1486,2.07345,0,32,0,102,0,30.4034,0.00298924,0,1467,0,0,0.05,0,250,1.8085e+14,0.0112871,210.738,WAIT_DIE,0.356813,0,0,0,4.45964,0,0.00277246,0.000666032,0,0,0.721593,0,0,false,0,0,0,0,0,0,107.357,253.273,0.0103429,0,2.59115,3.35451,0,807,0.00210787,8.08298,0,0,0,25,31.083,50,32124,645,0,0,0,20,1470,0,0,35,0,0.0448506,0,0,0,67834.8,TWO_PC,0,39576.9,0,0,2049.81,20,0,0,11.8516,0.5,0.00190312,0,663,0,0,42,102,562879,0,0,1486,3.31727,0
44589.4,0,47,4.7144,1745.22,0.823784,0.9,0.00195092,0,0,1522,3.69973,0,32,0,117,0,22.1226,0.00428833,0,1461,0,0,0.05,0,500,1.57664e+14,0.0153085,94.9288,WAIT_DIE,0.286142,0,0,0,6.20634,0,0.00390717,0.000887956,0,0,1.16474,0,0,false,0,0,0,0,0,0,169.239,233.907,0.0147519,0,4.5211,5.28816,0,496,0.0024486,14.5547,0,0,0,21,31.1625,130,33829.8,845,0,0,0,27,1586,0,0,48,0,0.0504055,0,0,0,68263.8,TWO_PC,0,40603.6,0,0,1535.07,27,0,0,21.3561,0.5,0.00287387,0,1090,0,0,48,117,734012,0,0,1522,5.23046,0
38999.6,0,65,2.93648,4366.5,0.530151,0.9,0.00136712,0,0,3046,1.8832,0,32,0,131,0,40.1459,0.00304343,0,3039,0,0,0.05,0,750,1.12641e+15,0.0101086,198.581,WAIT_DIE,0.737918,0,0,0,4.19968,0,0.00280575,0.00062978,0,0,0.700278,0,0,false,0,0,0,0,0,0,104.419,261.827,0.0126159,0,2.43488,3.26268,0,1990,0.00225092,7.7429,0,0,0,26,30.6931,16,32428.2,663,0,0,0,29,3060,0,0,53,0,0.0596461,0,0,0,54693,TWO_PC,0,32010.7,0,0,4130.22,29,0,0,11.3427,0.5,0.00228357,0,1070,0,0,52,131,447832,0,0,3046,3.22691,0
38658.1,0,65,2.38952,3670.93,0.368491,0.9,0.000970336,0,0,887,1.21391,0,32,0,137,0,55.5804,0.0022999,0,880,0,0,0.05,0,1000,26536,0.00904533,208.419,WAIT_DIE,0.30074,0,0,0,3.63724,0,0.00208137,0.000594982,0,0,0.527036,0,0,false,0,0,0,0,0,0,78.8767,240.087,0.0104571,0,1.87419,2.46417,0,490,0.00199001,5.08142,0,0,0,25,31.1284,61,30521.5,472,0,0,0,14,887,0,0,57,0,0.0517614,0,0,0,60073.5,TWO_PC,0,33538.5,0,0,3424.58,14,0,0,7.38161,0.5,0.00249583,0,397,0,0,55,137,285882,0,0,887,2.43512,0
