log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,prepare_phase_1 (in us),num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,network (in us),commit_phase (in us),time_send_msg,average_distributed_latency,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,int_aborts_ws1,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,average_local_latency,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,prepare_phase_2 (in us),num_pre_aborts
0,10168,0.00487047,130.755,0.00274339,0,0.00040676,0,0,2611.9,10,0.0037813,0,28,0,10168,0,10032,0.00586017,0.355457,10,0,0,0,0,0,0.103044,0.0651776,-nan,38.2759,WAIT_DIE,0.00472434,0,0,0,1.56211,0,0.00472885,0.00271507,0,0,0,0,0,false,0,0,0,0,0,0,28.3795,129.613,0.0450475,0,0,0.00381983,0.0189174,0,0,0.0837836,0.764238,0.00274339,0,0,0,22.2942,0,0,0,0,0,1,10,10168,0,10168,0,1.55638,0,0,0,2603.08,ONE_PC,0,2603.14,0,0,0.162685,1,0,0,0.845708,0.5,0.00660119,0,10,0,0,0,10168,0.592478,0,0,10,0.917594,0.0396448,0
0,8414,0.00544738,254.329,0.00308091,0,0.00275936,0,0,2826.21,0,0.00401369,0,28,0,8414,0,8322.39,0.0107683,0.347498,0,0,0,0.01,0,569.555,0.308157,0.0914685,0.00421553,152.098,WAIT_DIE,0,0,0,0,1.33362,0,0.00859057,0.00437335,0,0,0,0,0,false,0,0,0,0,0,0,28.3082,177.528,0.0665669,0,0,0.00411437,0.0658384,0,0,0.0720895,0.775678,0.00288979,0,0,579,22.1236,0,1267,0,0,0,0,0,10894,0,7201,0,1.72458,0,0,0,2258.47,ONE_PC,0,2775.4,0,0,0,0,0,0,0.830842,0.5,0.00886686,0,0,0,0,634,8414,0,0,0,0,0.832557,0.0715424,0
0,8680,0.00605919,261.387,0.00274571,0,0.00533282,0,0,2482.32,16,0.00374349,0,28,0,8680,0,8639.57,0.0149454,0.347568,16,0,0,0.02,0,1093.96,0.459172,0.110894,0.0039427,67.4174,WAIT_DIE,0.00729562,0,0,0,1.48551,0,0.0132369,0.00662364,0,0,0,0,0,false,0,0,0,0,0,0,28.131,113.243,0.0782732,0,0,0.00404056,0.0577715,0,12,0.0762392,0.762832,0.00229795,0,0,1094,22.5981,0,2389,0,0,0,0,24,13362,0,6317,0,1.22167,0,0,0,1656.24,ONE_PC,0,2299.29,0,0,0,0,0,0,0.816732,0.5,0.0112173,0,12,0,0,1269,8680,1.46401,0,0,16,0.849052,0.081482,0
0,7669,0.00681721,290.065,0.00292653,0,0.00916252,0,0,2635.06,1,0.00381009,0,28,0,7669,0,7634.06,0.0190442,0.333875,1,0,0,0.04,0,1784.11,0.767713,0.131451,0.00358572,32.0442,WAIT_DIE,0.000272104,0,0,0,1.38981,0,0.0152032,0.00750184,0,0,0,0,0,false,0,0,0,0,0,0,28.1281,100.995,0.106546,0,0,0.00401213,0.0702678,0,0,0.0721411,0.772365,0.00230361,0,0,1602,22.7579,0,3722,0,0,0,0,1,14700,0,3943,0,1.02335,0,0,0,1339.52,ONE_PC,0,2253.98,0,0,0,0,0,0,0.816594,0.5,0.0143029,0,1,0,0,2124,7669,0.497224,0,0,1,0.822617,0.137892,0
0,7435,0.00588505,365.603,0.00289873,0,0.0127448,0,0,2530.77,2,0.00375438,0,28,0,7435,0,7405.13,0.0258083,0.336378,2,0,0,0.06,0,2197.23,1.04195,0.156397,0.00336424,178.2,WAIT_DIE,0.000662834,0,0,0,1.40398,0,0.0205578,0.00969985,0,0,0,0,0,false,0,0,0,0,0,0,28.113,189.471,0.142201,0,0,0.00407079,0.0228931,0,0,0.0736687,0.781764,0.00212462,0,0,1854,22.0677,0,4717,0,0,0,0,2,16539,0,2792,0,1.77863,0,0,0,1043.91,ONE_PC,0,1975,0,0,0,0,0,0,0.810283,0.5,0.0178583,0,2,0,0,2789,7435,1.15761,0,0,2,0.788646,0.156188,0
0,6085,0.0171789,568.274,0.00342879,0,0.0137303,0,0,2857.8,3,0.00370764,0,28,0,6085,0,5855.1,0.0218699,0.362818,3,0,0,0.08,0,3079.93,1.33393,0.158894,0.00378538,161.299,WAIT_DIE,0.00113239,0,0,0,1.30465,0,0.0180467,0.00881236,0,0,0,0,0,false,0,0,0,0,0,0,29.0994,171.295,0.134455,0,0,0.0050283,0.0825693,0,0,0.0635099,0.885834,0.00244096,0,0,1549,22.395,0,4482,0,0,0,1,3,14897,0,1614,0,1.33457,0,0,0,1078.25,ONE_PC,0,2202.46,0,0,0.29518,1,0,0,0.984056,0.5,0.0171841,0,3,0,0,2922,6085,1.2197,0,0,3,0.762271,0.156656,0
0,6069,0.00676368,488.979,0.00331125,0,0.0170242,0,0,2820.59,0,0.00400736,0,28,0,6069,0,6034.08,0.0249871,0.323011,0,0,0,0.1,0,3383.06,1.51202,0.174331,0.00356509,188.141,WAIT_DIE,0,0,0,0,1.29312,0,0.0198,0.0101205,0,0,0,0,0,false,0,0,0,0,0,0,28.162,195.076,0.161951,0,0,0.00479177,0.0407448,0,0,0.0667622,0.773689,0.00219448,0,0,1537,22.2951,0,5115,0,0,0,0,0,16693,0,1124,0,1.52821,0,0,0,919.657,ONE_PC,0,2011.05,0,0,0,0,0,0,0.824739,0.5,0.0188927,0,0,0,0,3408,6069,0,0,0,0,0.773135,0.164135,0
0,9528,0.00483705,151.879,0.00293678,0,0.00038116,0,0,2777.36,10,0.00401757,0,28,0,9528,0,9500.35,0.00642893,0.353531,10,0,0,0,0,0,6.9143,0.0626211,-nan,123.512,WAIT_DIE,0.00425474,0,0,0,1.40353,0,0.00521306,0.00274598,0,0,0,0,0,false,0,0,0,0,0,0,28.0815,150.924,0.0348325,0,0,0.00406706,0.00940247,0,6,0.0783866,0.699343,0.00293678,0,0,0,22.2175,0,0,0,0,0,0,10,9528,0,9528,0,1.65987,0,0,0,2768.51,TWO_PC,0,2768.58,0,0,0,0,0,0,0.796049,0.5,0.0066775,0,4,0,0,0,9528,0.544917,0,0,10,0.90938,0.0834933,0
0,8739,0.00780778,151.648,0.00296052,0,0.00284314,0,0,2622.07,19,0.00414455,0,28,0,8739,0,8468.23,0.00936484,0.336751,19,0,0,0.01,0,557.995,185.602,0.0810367,0.00536971,28.2689,WAIT_DIE,0.00770272,0,0,0,1.5191,0,0.00757509,0.00384125,0,0,0,0,0,false,0,0,0,0,0,0,28.8953,86.7311,0.0614429,0,0,0.00595443,0.0217649,0,15,0.0747327,0.82315,0.00255427,0,0,604,22.7611,0,1259,0,0,0,1,23,11310,0,7478,0,0.968683,0,0,0,2113.3,TWO_PC,0,2555.54,0,0,0.442779,1,0,0,0.931665,0.5,0.00891115,0,8,0,0,657,8739,1.09496,0,0,19,0.91765,0.110944,0
0,8133,0.00752071,246.472,0.00300607,0,0.00496062,0,0,2444.17,3,0.00553478,0,28,0,8133,0,7987.18,0.0133726,0.34597,3,0,0,0.02,0,1027.35,315.028,0.110322,0.00490751,45.227,WAIT_DIE,0.00164263,0,0,0,1.46134,0,0.0105019,0.00550362,0,0,0,0,0,false,0,0,0,0,0,0,28.5112,148.023,0.105173,0,0,0.00574996,0.0305492,0,0,0.0713066,0.761624,0.00229351,0,0,1033,22.3739,0,2188,0,0,0,0,3,12675,0,5916,0,1.43732,0,0,0,1650.38,TWO_PC,0,2263.06,0,0,0,0,0,0,0.861466,0.5,0.0106137,0,3,0,0,1184,8133,0.25634,0,0,3,0.865438,0.139588,0
