log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,prepare_phase_1 (in us),num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,LOG_TIMEOUT,commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,prepare_phase_2 (in us),num_pre_aborts
0,6821,0.00602232,305.192,0.00288854,0,0.0100672,0,0,2582.28,0,0.00385097,0,25,0,6821,0,6788.87,0.0198608,0,0,0,0,0.05,0,1000,0.931693,0.111458,99.4344,WAIT_DIE,0,0,0,0,1.28624,0,0.0155427,0.00544181,0,0,0.269795,0,0,false,0,0,0,0,0,0,25.1183,130.205,0.121507,0,0.00432375,0.0187161,0,0,0.0658113,0.693468,0,0,0,1557,20.0497,0,1959.99,3848,0,0,0,1,0,14094,0,2942,0,1.15131,0,0,0,1172.61,ONE_PC,0,2136.44,0,0,0.608229,1,0,0,0.73465,0.5,0.0154557,0,0,0,0,2322,6821,0,0,0,0,0.849341,0.142109,0
0,6471,0.016733,389.312,0.00314035,0,0.00952239,0,0,2749.72,1,0.00379019,0,26,0,6471,0,6440.89,0.0171992,0,1,0,0,0.05,0,1000,0.781372,0.133046,37.7907,WAIT_DIE,0.000130178,0,0,0,1.32424,0,0.0135753,0.00664545,0,0,0.366003,0,0,false,0,0,0,0,0,0,26.1215,56.2123,0.105883,0,0.00409945,0.0751459,0,0,0.0624359,0.73695,0,0,0,1456,21.4094,0,2269.85,3647,0,0,0,0,1,13508,0,2808,0,0.546904,0,0,0,1291.25,ONE_PC,0,2310.18,0,0,0,0,0,0,0.766758,0.5,0.0120874,0,1,0,0,2207,6471,0.411012,0,0,1,0.768078,0.121261,0
0,7346,0.00521024,317.965,0.002891,0,0.0107872,0,0,2569.2,17,0.00378704,0,27,0,7346,0,7287.31,0.0214461,0,17,0,0,0.05,0,1000,0.935508,0.164622,155.056,WAIT_DIE,0.00841671,0,0,0,1.2311,0,0.0172715,0.00943636,0,0,0.328224,0,0,false,0,0,0,0,0,0,27.2174,169.749,0.129129,0,0.00393728,0.0249854,0,1,0.0708816,0.77191,0,0,0,1693,21.3887,0,1956.44,4143,0,0,0,0,20,15121,0,3177,0,1.53495,0,0,0,1190.65,ONE_PC,0,2156.5,0,0,0,0,0,0,0.803633,0.5,0.016836,0,19,0,0,2476,7346,2.74562,0,0,17,0.788145,0.150242,0
0,7557,0.00599174,299.22,0.00288906,0,0.0111513,0,0,2588.3,3,0.00374944,0,28,0,7557,0,7418.5,0.023314,0,3,0,0,0.05,0,1000,0.889629,0.150386,69.3211,WAIT_DIE,0.000685593,0,0,0,1.34828,0,0.019733,0.00817346,0,0,0.33221,0,0,false,0,0,0,0,0,0,28.5228,101.685,0.139781,0,0.00398156,0.0194063,0,4,0.0730512,0.844589,0,0,0,1740,22.685,0,1994.17,4305,0,0,0,2,5,15703,0,3263,0,1.05768,0,0,0,1194.79,ONE_PC,0,2166.5,0,0,1.01726,2,0,0,0.873537,0.5,0.0166151,0,1,0,0,2554,7557,0.504263,0,0,3,0.81516,0.146293,0
0,7585,0.00522975,355.735,0.00299044,0,0.0112019,0,0,2633.02,5,0.00380486,0,29,0,7585,0,7467.24,0.0221221,0,5,0,0,0.05,0,1000,0.92197,0.166578,186.268,WAIT_DIE,0.00115709,0,0,0,1.35059,0,0.0176487,0.00935879,0,0,0.333989,0,0,false,0,0,0,0,0,0,29.4573,199.534,0.151542,0,0.00408614,0.0348895,0,0,0.073413,0.859999,0,0,0,1726,22.7999,0,2042.51,4308,0,0,0,1,5,15745,0,3298,0,1.84148,0,0,0,1198.11,ONE_PC,0,2181.1,0,0,0.270441,1,0,0,0.883462,0.5,0.0171979,0,5,0,0,2561,7585,0.601768,0,0,5,0.792958,0.160282,0
0,7862,0.00674423,383.549,0.00301146,0,0.011525,0,0,2626.32,5,0.00376289,0,30,0,7862,0,7816.6,0.0221368,0,5,0,0,0.05,0,1000,0.929772,0.165253,136.94,WAIT_DIE,0.00319395,0,0,0,1.24932,0,0.017421,0.00933583,0,0,0.321087,0,0,false,0,0,0,0,0,0,30.1742,153.079,0.131707,0,0.00440047,0.0370042,0,5,0.0759484,0.860138,0,0,0,1793,23.9657,0,2048.6,4412,0,0,0,1,8,16266,0,3428,0,1.52823,0,0,0,1238.68,ONE_PC,0,2238.3,0,0,0.220165,1,0,0,0.86103,0.5,0.0168561,0,3,0,0,2641,7862,0.506739,0,0,5,0.771728,0.150277,0
0,7690,0.0162391,387.578,0.00315136,0,0.0113162,0,0,2761.4,5,0.00394084,0,31,0,7690,0,7552.83,0.021036,0,5,0,0,0.05,0,1000,0.908477,0.155022,44.5952,WAIT_DIE,0.0026,0,0,0,1.46364,0,0.0165103,0.00873651,0,0,0.335774,0,0,false,0,0,0,0,0,0,31.563,133.163,0.142977,0,0.00454781,0.0273502,0,3,0.0742712,0.92733,0,0,0,1759,24.9023,0,2250.65,4337,0,0,0,0,7,15912,0,3336,0,1.39338,0,0,0,1249.08,ONE_PC,0,2242,0,0,0,0,0,0,0.94738,0.5,0.0155974,0,4,0,0,2595,7690,1.32005,0,0,5,0.810607,0.1506,0
0,4265,0.0304942,1620.86,0.00580743,0,0.00641258,0,0,4185.63,0,0.0181808,0,32,0,4265,0,4134.84,0.0108346,0,0,0,0,0.05,0,1000,0.842044,0.07652,19.8143,WAIT_DIE,0,0,0,0,1.49989,0,0.00847608,0.00424811,0,0,0.362355,0,0,false,0,0,0,0,0,0,33.0073,53.8596,0.0763094,0,0.0194005,0.111575,0,0,0.0412812,1.03951,0,0,0,949,26.7014,0,5253.16,2406,0,0,0,2,0,9038,0,1823,0,0.418971,0,0,0,1285.6,ONE_PC,0,2303.27,0,0,1.88205,2,0,0,1.07572,0.5,0.00777953,0,0,0,0,1493,4265,0,0,0,0,0.919993,0.111403,0
0,5889,0.00807791,270.546,0.00344698,0,0.00870912,0,0,2514.51,10,0.00544077,0,25,0,5889,0,5828.67,0.015762,0,10,0,0,0.05,0,1000,659.958,0.127753,62.8194,WAIT_DIE,0.00423193,0,0,0,1.36583,0,0.0124474,0.00688701,0,0,0.33453,0,0,false,0,0,0,0,0,0,25.2588,98.9529,0.104069,0,0.00591463,0.0397613,0,15,0.0568826,0.635372,0,0,0,1327,20.3036,0,1968.76,3350,0,0,0,0,19,13250,0,2551,0,0.827121,0,0,0,1200.66,TWO_PC,0,2045.98,0,0,0,0,0,0,0.771739,0.5,0.0177919,0,4,0,0,2011,5889,1.75733,0,0,10,0.833685,0.215267,0
0,6086,0.00770043,291.605,0.00343501,0,0.00895712,0,0,2473.86,2,0.00539131,0,26,0,6086,0,6045.47,0.0171226,0,2,0,0,0.05,0,1000,669.2,0.128868,43.6115,WAIT_DIE,0.000479338,0,0,0,1.53624,0,0.014133,0.00720226,0,0,0.332231,0,0,false,0,0,0,0,0,0,26.1743,140.923,0.117434,0,0.00605862,0.0192957,0,0,0.0587341,0.672273,0,0,0,1363,20.9317,0,1978.34,3418,0,0,0,0,2,13644,0,2646,0,1.10816,0,0,0,1199.65,TWO_PC,0,2024.96,0,0,0,0,0,0,0.774425,0.5,0.0136652,0,2,0,0,2077,6086,0.0962792,0,0,2,0.831474,0.256705,0
