log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,prepare_phase_1 (in us),num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,LOG_TIMEOUT,commit_phase (in us),time_send_msg,average_distributed_latency,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,int_aborts_ws1,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,average_local_latency,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,prepare_phase_2 (in us),num_pre_aborts
0,1024,0.00483461,203.974,0.00189928,0,0.00148072,0,0,1694.72,0,0.00255645,0,2,0,1024,0,1020.97,0.00286401,0.154094,0,0,0,0.05,0,1000,0.515077,0.0185895,0.00206502,62.7574,WAIT_DIE,0,0,0,0,2.91482,0,0.00251544,0.000758352,0,0,0,0,0,false,0,0,0,0,0,0,2.00594,170.762,0.0291109,0,0,0.00301068,0.00770187,0,0,0.00996463,0.0642532,0.00170239,0,0,221,1.46817,0,710.049,565,0,0,0,0,0,1589,0,468,0,0.200746,0,0,0,956.665,ONE_PC,0,1484.53,0,0,0,0,0,0,0.0627184,0.5,0.00232023,0,0,0,0,335,1024,0,0,0,0,0.908261,0.0776045,0
0,1754,0.00555215,196.656,0.00220971,0,0.002589,0,0,2012.38,0,0.00335965,0,4,0,1754,0,1750.99,0.00547294,0.208385,0,0,0,0.05,0,1000,0.584609,0.0340412,0.00246152,46.3313,WAIT_DIE,0,0,0,0,2.16248,0,0.00485463,0.00138811,0,0,0,0,0,false,0,0,0,0,0,0,4.00687,139.553,0.0458667,0,0,0.00412462,0.0076766,0,0,0.0170858,0.106976,0.00189161,0,0,391,3.04266,0,846.661,984,0,0,0,0,0,2739,0,775,0,0.290539,0,0,0,1101.57,ONE_PC,0,1717.77,0,0,0,0,0,0,0.128755,0.5,0.00397837,0,0,0,0,588,1754,0,0,0,0,0.91245,0.0898689,0
0,3337,0.00578772,250.425,0.00230388,0,0.00503456,0,0,2052.65,0,0.00313779,0,8,0,3337,0,3312.97,0.0110036,0.253004,0,0,0,0.05,0,1000,0.685542,0.0619858,0.00264537,50.0272,WAIT_DIE,0,0,0,0,1.96273,0,0.00991537,0.00269408,0,0,0,0,0,false,0,0,0,0,0,0,8.05803,162.408,0.0647571,0,0,0.00383663,0.00828295,0,0,0.0325022,0.198078,0.00184513,0,0,763,6.04659,0,1003.9,1903,0,0,0,0,0,5244,0,1424,0,0.639819,0,0,0,1070.1,ONE_PC,0,1679.6,0,0,0,0,0,0,0.264349,0.5,0.00721764,0,0,0,0,1150,3337,0,0,0,0,0.904128,0.117068,0
0,4667,0.00531347,237.734,0.00247318,0,0.00698102,0,0,2234.28,2,0.00337416,0,12,0,4667,0,4646.63,0.0134463,0.276815,2,0,0,0.05,0,1000,0.680793,0.0899854,0.0028246,40.7474,WAIT_DIE,0.00138245,0,0,0,1.56732,0,0.0117357,0.00423282,0,0,0,0,0,false,0,0,0,0,0,0,12.0526,132.846,0.0842671,0,0,0.00382374,0.00939885,0,2,0.0452283,0.289697,0.00200985,0,0,1079,9.27225,0,1043.1,2672,0,0,0,0,2,7340,0,2013,0,0.758146,0,0,0,1173.3,ONE_PC,0,1844.94,0,0,0,0,0,0,0.39315,0.5,0.0110553,0,0,0,0,1575,4667,0.363251,0,0,2,0.872981,0.118018,0
0,5804,0.0051551,255.493,0.00264412,0,0.00861954,0,0,2387.46,3,0.00363226,0,16,0,5804,0,5784.98,0.016092,0.261324,3,0,0,0.05,0,1000,0.758131,0.0946102,0.00307819,39.8989,WAIT_DIE,0.0012912,0,0,0,1.52516,0,0.0139827,0.00471408,0,0,0,0,0,false,0,0,0,0,0,0,16.0526,130.513,0.0938839,0,0,0.00424172,0.00721809,0,3,0.0560637,0.390839,0.00207685,0,0,1349,12.471,0,1166.21,3299,0,0,0,0,3,9107,0,2516,0,0.936747,0,0,0,1228.26,ONE_PC,0,1926.16,0,0,0,0,0,0,0.511284,0.5,0.0144722,0,0,0,0,1939,5804,0.276775,0,0,3,0.871409,0.125755,0
0,6752,0.00572876,325.595,0.00282144,0,0.0100867,0,0,2494.42,7,0.00366551,0,20,0,6752,0,6728.89,0.0237479,0.326713,7,0,0,0.05,0,1000,0.879963,0.155004,0.00324805,179.417,WAIT_DIE,0.00196634,0,0,0,1.32005,0,0.0209169,0.00825317,0,0,0,0,0,false,0,0,0,0,0,0,20.0687,204.952,0.109794,0,0,0.00407015,0.0292766,0,4,0.0654732,0.513739,0.00225887,0,0,1544,15.281,0,1276.11,3880,0,0,0,0,7,10641,0,2912,0,1.6545,0,0,0,1309.81,ONE_PC,0,2061.95,0,0,0,0,0,0,0.605814,0.5,0.014977,0,3,0,0,2296,6752,0.391207,0,0,7,0.795111,0.151122,0
0,7619,0.00645611,399.98,0.00297176,0,0.0113642,0,0,2568.17,20,0.00374519,0,24,0,7619,0,7597.24,0.023805,0.330193,20,0,0,0.05,0,1000,0.931613,0.172932,0.00348884,179.556,WAIT_DIE,0.00783263,0,0,0,1.41458,0,0.019519,0.0121295,0,0,0,0,0,false,0,0,0,0,0,0,24.0688,205.347,0.135875,0,0,0.00419459,0.0229625,0,11,0.0739341,0.635038,0.00229464,0,0,1730,18.4827,0,1435.76,4401,0,0,0,0,23,12036,0,3299,0,1.88404,0,0,0,1357.73,ONE_PC,0,2141,0,0,0,0,0,0,0.723036,0.5,0.0187647,0,12,0,0,2590,7619,2.52306,0,0,20,0.771075,0.146015,0
0,8708,0.00538347,366.507,0.00303487,0,0.0128089,0,0,2666.28,16,0.00389229,0,28,0,8708,0,8596.58,0.0255956,0.321055,16,0,0,0.05,0,1000,0.864828,0.173453,0.00357618,156.595,WAIT_DIE,0.00572698,0,0,0,1.11244,0,0.0209963,0.0101618,0,0,0,0,0,false,0,0,0,0,0,0,28.3629,171.353,0.155424,0,0,0.00406244,0.0302337,0,4,0.0842489,0.808492,0.00233213,0,0,1985,21.9931,0,1455.06,4917,0,0,0,0,16,13624,0,3789,0,1.8268,0,0,0,1441.24,ONE_PC,0,2254.87,0,0,0,0,0,0,0.834394,0.5,0.0186811,0,12,0,0,2934,8708,1.08959,0,0,16,0.783373,0.137016,0
0,650,0.00630584,232.985,0.00249899,0,0.000948296,0,0,1793.95,0,0.00418204,0,2,0,650,0,648.648,0.00179644,0.158673,0,0,0,0.05,0,1000,471.939,0.0121077,0.00306851,75.5636,WAIT_DIE,0,0,0,0,1.88402,0,0.00159964,0.000432874,0,0,0,0,0,false,0,0,0,0,0,0,2.00417,198.593,0.0241285,0,0,0.00468072,0.0076925,0,0,0.00629589,0.0657775,0.001792,0,0,146,1.5123,0,1288.08,364,0,0,0,0,0,1444,0,290,0,0.14792,0,0,0,912.322,TWO_PC,0,1557.28,0,0,0,0,0,0,0.0639139,0.5,0.00173883,0,0,0,0,214,650,0,0,0,0,0.911463,0.118151,0
0,1295,0.00687157,284.215,0.00251933,0,0.00192263,0,0,1739.58,0,0.00418869,0,4,0,1295,0,1289.82,0.00373621,0.211188,0,0,0,0.05,0,1000,495.381,0.0303951,0.00308045,167.115,WAIT_DIE,0,0,0,0,1.87359,0,0.00322318,0.00116527,0,0,0,0,0,false,0,0,0,0,0,0,4.01608,257.302,0.0341076,0,0,0.00464005,0.00991832,0,0,0.012629,0.108437,0.00178286,0,0,300,2.96752,0,1272.93,744,0,0,0,0,0,2913,0,560,0,0.381662,0,0,0,890.568,TWO_PC,0,1511.39,0,0,0,0,0,0,0.125648,0.5,0.0036302,0,0,0,0,435,1295,0,0,0,0,0.917678,0.148764,0
