log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,prepare_phase_1 (in us),num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,LOG_TIMEOUT,commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,prepare_phase_2 (in us),num_pre_aborts
0,858,0.00609575,163.406,0.00233177,0,0.00123585,0,0,1660.79,0,0.00365749,0,2,0,858,0,854.004,0.00262493,0,0,0,0,0.05,0,1000,0.559516,0.0175394,53.3554,WAIT_DIE,0,0,0,0,1.74657,0,0.00233881,0.000597443,0,0,0.148215,0,0,false,0,0,0,0,0,0,2.00936,102.808,0.0197802,0,0.00429762,0.00796296,0,0,0.00830714,0.068082,0,0,0,189,1.54348,0,1145.96,467,0,0,0,0,0,1783,0,387,0,0.107359,0,0,0,834.424,ONE_PC,0,1476.29,0,0,0,0,0,0,0.0660649,0.5,0.00224542,0,0,0,0,282,858,0,0,0,0,0.911692,0.0657611,0
0,1553,0.00642295,189.306,0.00257678,0,0.00228241,0,0,1822.18,0,0.0042038,0,4,0,1553,0,1548.89,0.00392917,0,0,0,0,0.05,0,1000,0.550029,0.0253924,68.0935,WAIT_DIE,0,0,0,0,2.02418,0,0.00348467,0.000884716,0,0,0.208258,0,0,false,0,0,0,0,0,0,4.01062,134.749,0.0290524,0,0.00480635,0.0113464,0,0,0.0151225,0.107323,0,0,0,352,3.07671,0,1271.01,869,0,0,0,0,0,3242,0,683,0,0.247787,0,0,0,888.249,ONE_PC,0,1602.05,0,0,0,0,0,0,0.130739,0.5,0.00267101,0,0,0,0,518,1553,0,0,0,0,0.923478,0.0866021,0
0,2711,0.00744116,233.173,0.00295025,0,0.0041073,0,0,2070.44,0,0.00480533,0,8,0,2711,0,2702.04,0.00906958,0,0,0,0,0.05,0,1000,0.70505,0.0509447,47.2266,WAIT_DIE,0,0,0,0,2.04113,0,0.00820036,0.00211882,0,0,0.244407,0,0,false,0,0,0,0,0,0,8.02652,157.257,0.0523097,0,0.00554417,0.0110316,0,0,0.0263447,0.193246,0,0,0,625,6.16676,0,1476.12,1572,0,0,0,0,0,5819,0,1144,0,0.51069,0,0,0,963.692,ONE_PC,0,1771,0,0,0,0,0,0,0.261361,0.5,0.00579355,0,0,0,0,942,2711,0,0,0,0,0.914685,0.113903,0
0,4976,0.00774973,245.072,0.00321603,0,0.00746439,0,0,2275.35,3,0.0051197,0,16,0,4976,0,4951.88,0.0179606,0,3,0,0,0.05,0,1000,0.788367,0.115995,78.153,WAIT_DIE,0.00226156,0,0,0,1.42187,0,0.0163121,0.0048726,0,0,0.324749,0,0,false,0,0,0,0,0,0,16.0779,124.242,0.0774738,0,0.00548781,0.010478,0,3,0.0480654,0.429392,0,0,0,1144,12.7391,0,1632.09,2834,0,0,0,0,3,10503,0,2129,0,0.785457,0,0,0,1060.46,ONE_PC,0,1935.95,0,0,0,0,0,0,0.481676,0.5,0.00845114,0,0,0,0,1703,4976,0.572749,0,0,3,0.84152,0.131597,0
0,5657,0.0269319,750.796,0.00576168,0,0.00843464,0,0,3707.53,3,0.017083,0,32,0,5657,0,5124.98,0.014852,0,3,0,0,0.05,0,1000,0.888936,0.116158,25.2773,WAIT_DIE,0.00158598,0,0,0,1.25954,0,0.0116423,0.00604528,0,0,0.373502,0,0,false,0,0,0,0,0,0,35.3219,76.1966,0.242237,0,0.0207742,0.163861,0,0,0.0548658,1.43784,0,0,0,1294,26.4049,0,3401.11,3219,0,0,0,0,3,11951,0,2423,0,0.6185,0,0,0,1564.08,ONE_PC,0,2835.64,0,0,0,0,0,0,1.36555,0.5,0.0107382,0,3,0,0,1940,5657,1.14176,0,0,3,0.944002,0.137703,0
0,850,0.279192,22064,0.0755713,0,0.00123916,0,0,36908.8,0,0.188809,0,64,0,850,0,724.52,0.00226343,0,0,0,0,0.05,0,1000,1.06445,0.0157793,693.269,WAIT_DIE,0,0,0,0,1.30267,0,0.00181789,0.000913931,0,0,0.583718,0,0,false,0,0,0,0,0,0,75.0842,2475.98,0.4446,0,0.219456,0.431446,0,0,0.0081068,4.34348,0,0,0,185,46.643,0,54726.5,466,0,0,0,0,0,1863,0,374,0,3.61249,0,0,0,10061.3,ONE_PC,0,16596.4,0,0,0,0,0,0,2.62902,0.5,0.0174562,0,0,0,0,291,850,0,0,0,0,0.668864,0.167314,0
0,347,1.21757,140484,0.290252,0,0.000498464,0,0,105360,0,0.586366,0,128,0,347,0,232.554,0.000940128,0,0,0,0,0.05,0,1000,104.557,0.070196,15182.8,WAIT_DIE,0,0,0,0,1.22535,0,0.000769799,0.000377389,0,0,0.889057,0,0,false,0,0,0,0,0,0,190.993,49257,0.905202,0,0.913683,1.36544,0,0,0.00332756,15.4802,0,0,0,73,47.0257,0,205961,195,0,0,0,1,0,777,0,155,0,28.4286,0,0,0,15694.8,ONE_PC,0,25704.8,0,0,965.121,1,0,0,7.90124,0.5,0.00083533,0,0,0,0,119,347,0,0,0,0,0.835203,0.164156,0
0,672,0.00935713,180.756,0.00297936,0,0.000969868,0,0,1751.71,0,0.00547052,0,2,0,672,0,669.293,0.00151514,0,0,0,0,0.05,0,1000,438.57,0.0138827,73.6874,WAIT_DIE,0,0,0,0,2.43388,0,0.0012467,0.000392483,0,0,0.149455,0,0,false,0,0,0,0,0,0,2.00809,148.355,0.0286076,0,0.00622643,0.0133423,0,0,0.0064754,0.0681474,0,0,0,152,1.53518,0,1266.51,369,0,0,0,0,0,1478,0,301,0,0.118093,0,0,0,882.018,TWO_PC,0,1504.1,0,0,0,0,0,0,0.0652569,0.5,0.00170312,0,0,0,0,219,672,0,0,0,0,0.914794,0.1864,0
0,1356,0.00785933,168.325,0.00295027,0,0.00198426,0,0,1719.63,1,0.00546618,0,4,0,1356,0,1349.93,0.0034166,0,1,0,0,0.05,0,1000,466.413,0.0217966,64.1567,WAIT_DIE,0.000633609,0,0,0,2.05698,0,0.00298577,0.000736492,0,0,0.203249,0,0,false,0,0,0,0,0,0,4.01798,123.851,0.0304634,0,0.00614554,0.00974987,0,1,0.0131643,0.108995,0,0,0,314,3.11462,0,1257.57,767,0,0,0,0,1,3024,0,592,0,0.20048,0,0,0,881.071,TWO_PC,0,1500.65,0,0,0,0,0,0,0.13401,0.5,0.00246457,0,0,0,0,450,1356,0.624029,0,0,1,0.930525,0.113978,0
0,2345,0.00911263,203.052,0.00341271,0,0.00359384,0,0,1957.54,0,0.00634042,0,8,0,2345,0,2328.82,0.00737217,0,0,0,0,0.05,0,1000,563.352,0.045365,39.7842,WAIT_DIE,0,0,0,0,1.92392,0,0.00655735,0.00224113,0,0,0.254439,0,0,false,0,0,0,0,0,0,8.05558,123.488,0.0498102,0,0.00731494,0.0118904,0,0,0.0228026,0.197509,0,0,0,541,6.29044,0,1506.58,1367,0,0,0,0,0,5371,0,973,0,0.358489,0,0,0,965.813,TWO_PC,0,1651.97,0,0,0,0,0,0,0.27117,0.5,0.00760805,0,0,0,0,831,2345,0,0,0,0,0.921827,0.139377,0
0,4280,0.00926427,196.168,0.00373918,0,0.00648114,0,0,2202.3,2,0.00696034,0,16,0,4280,0,4259.01,0.0123344,0,2,0,0,0.05,0,1000,593.01,0.0788915,31.9395,WAIT_DIE,0.000303924,0,0,0,1.48763,0,0.0111119,0.0034368,0,0,0.328167,0,0,false,0,0,0,0,0,0,16.0789,49.4672,0.0710797,0,0.00774418,0.0245594,0,2,0.0413483,0.396515,0,0,0,991,13.1044,0,1664.52,2481,0,0,0,0,9,9694,0,1820,0,0.31876,0,0,0,1075,TWO_PC,0,1844.99,0,0,0,0,0,0,0.486971,0.5,0.00603979,0,7,0,0,1469,4280,0.0968974,0,0,2,0.883627,0.142915,0
0,5492,0.0255404,617.758,0.00584002,0,0.00827437,0,0,3118.64,0,0.0102173,0,32,0,5492,0,5356.6,0.0182931,0,0,0,0,0.05,0,1000,747.388,0.120547,42.9038,WAIT_DIE,0,0,0,0,1.47048,0,0.0149608,0.00642747,0,0,0.350566,0,0,false,0,0,0,0,0,0,32.8089,144.281,0.10237,0,0.0214632,0.134219,0,0,0.0533414,0.946032,0,0,0,1255,26.1091,0,3164.01,3154,0,0,0,0,0,12450,0,2336,0,1.02709,0,0,0,1308.28,TWO_PC,0,2226.13,0,0,0,0,0,0,0.980066,0.5,0.0117863,0,0,0,0,1901,5492,0,0,0,0,0.86053,0.247729,0
0,892,0.333411,20755.2,0.0700618,0,0.00129906,0,0,30721.6,0,0.173773,0,64,0,892,0,701.672,0.00232306,0,0,0,0,0.05,0,1000,4058.8,0.0190123,884.397,WAIT_DIE,0,0,0,0,1.44375,0,0.00182807,0.0010156,0,0,0.631452,0,0,false,0,0,0,0,0,0,81.3599,2171.06,0.412483,0,0.227615,0.44652,0,0,0.00853174,5.62293,0,0,0,200,46.2163,0,48410.9,514,0,0,0,0,0,2008,0,395,0,3.70958,0,0,0,7140.48,TWO_PC,0,12020.3,0,0,0,0,0,0,3.52915,0.5,0.00185863,0,0,0,0,297,892,0,0,0,0,0.950448,0.258354,0
0,334,1.26375,131324,0.271402,0,0.000492908,0,0,93041.7,0,0.5623,0,128,0,334,0,215.17,0.000879169,0,0,0,0,0.05,0,1000,12955.3,0.04732,13785.9,WAIT_DIE,0,0,0,0,0.923602,0,0.000700079,0.000398721,0,0,0.734135,0,0,false,0,0,0,0,0,0,198.69,46370.4,1.14933,0,0.887957,1.41944,0,0,0.00322026,17.7995,0,0,0,71,41.0797,0,179330,194,0,0,0,0,0,762,0,152,0,25.4905,0,0,0,20145.7,TWO_PC,0,33108.4,0,0,0,0,0,0,8.20397,0.5,0.000800246,0,0,0,0,111,334,0,0,0,0,0.912676,0.271949,0
