LOG_NODE,COMMIT_ALG,READ_PERC,PERC_REMOTE,ZIPF_THETA,CC_ALG,NUM_SERVER_THREADS,LOG_TIMEOUT,prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,bytes_received,int_aborts_maat_resolve_failure,cache,num_aborts_restart,90%_latency,num_cache_misses,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,num_cache_evictions,commit_phase (in us),time_send_msg,CC (index) (in us),time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,num_pre_aborts
false,ONE_PC,0.5,0.05,0,WAIT_DIE,2,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
false,ONE_PC,0.5,0.05,0,WAIT_DIE,4,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
false,ONE_PC,0.5,0.05,0,WAIT_DIE,8,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
false,ONE_PC,0.5,0.05,0,WAIT_DIE,16,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
false,ONE_PC,0.5,0.05,0,WAIT_DIE,2,1000,24011.5,0,64,0.0745316,209.826,0.0319301,9.0232e-05,0,0,0,0.0516366,0,0,64,0,61.6704,0.000162379,0,0,0,0,0,0.829781,0.00160381,90.8013,0,0,0,0,2.45756,0,0.000140362,4.3314e-05,0,0,0.151692,0,0,0,0,0,0,0,0,2.07555,192.921,0.00162354,0,0.051746,0.0745316,0,0,0.000615916,0.0794425,0,0,0,11,1.62314,0,15847.5,34,0,0,0,0,0,132,0,29,0,0.0148666,0,0,0,12319.1,0,22358.7,0,0,0,0,0,0,0.0788184,0.000150232,0,0,0,0,24,64,0,0,0,0,0.960496,0
false,ONE_PC,0.5,0.05,0,WAIT_DIE,4,1000,23837.5,0,129,0.0574436,248.938,0.0315841,0.000198552,0,0,0,0.0516597,0,0,129,0,123.094,0.000464555,0,0,0,0,0,0.831566,0.00310718,71.09,0,0,0,0,2.18981,0,0.000412358,0.000107541,0,0,0.211641,0,0,0,0,0,0,0,0,4.19193,173.07,0.00323121,0,0.0517594,0.0744508,0,0,0.00125496,0.133262,0,0,0,30,3.26145,0,15051,76,0,0,0,0,0,273,0,53,0,0.0279459,0,0,0,11746.9,0,21960.6,0,0,0,0,0,0,0.166265,0.000303493,0,0,0,0,46,129,0,0,0,0,0.993019,0
false,ONE_PC,0.5,0.05,0,WAIT_DIE,8,1000,24636.6,0,238,0.05742,225.969,0.0341425,0.000407736,0,0,0,0.0516995,0,0,238,0,229.176,0.000834789,0,0,0,0,0,0.931492,0.00475436,38.8541,0,0,0,0,2.02969,0,0.000759628,0.000188858,0,0,0.246337,0,0,0,0,0,0,0,0,8.30803,128.338,0.0115091,0,0.0533081,0.0686512,0,0,0.00234036,0.224231,0,0,0,50,6.56882,0,18408.6,147,0,0,0,0,0,536,0,89,0,0.0400964,0,0,0,11520.2,0,22102.1,0,0,0,0,0,0,0.320684,0.000513615,0,0,0,0,99,238,0,0,0,0,1.00239,0
false,ONE_PC,0.5,0.05,0,WAIT_DIE,16,1000,24281.7,0,492,0.068911,255.131,0.0330727,0.000815572,0,0,0,0.051774,0,0,492,0,472.418,0.00158468,0,0,0,0,0,1.2422,0.00919163,117.817,0,0,0,0,1.59331,0,0.00134813,0.000464416,0,0,0.274958,0,0,0,0,0,0,0,0,16.6632,138.073,0.00841243,0,0.0572788,0.074522,0,0,0.00482215,0.446585,0,0,0,96,13.2298,0,17554.3,293,0,0,0,0,0,1094,0,198,0,0.0917231,0,0,0,11454.7,0,21680.8,0,0,0,0,0,0,0.627153,0.00167802,0,0,0,0,198,492,0,0,0,0,1.01246,0
false,ONE_PC,0.5,0.05,0,WAIT_DIE,32,1000,33606.7,0,668,0.133273,4475.42,0.048834,0.00103035,0,0,0,0.0874321,0,0,668,0,629.04,0.00207289,0,0,0,0,0,1.24128,0.015105,246.143,0,0,0,0,1.20613,0,0.00168239,0.000864742,0,0,0.4896,0,0,0,0,0,0,0,0,33.9819,278.21,0.206988,0,0.0961092,0.150238,0,0,0.00645909,1.13694,0,0,0,129,26.868,0,27735,379,0,0,0,0,0,1407,0,293,0,0.26552,0,0,0,17099.7,0,31193.5,0,0,0,0,0,0,1.23223,0.00177757,0,0,0,0,246,668,0,0,0,0,0.740398,0
false,ONE_PC,0.5,0.05,0,WAIT_DIE,64,1000,63516.6,0,580,0.399772,25660,0.112609,0.000824076,0,0,0,0.206818,0,0,580,0,463.22,0.00140533,0,0,0,0,0,0.945462,0.0103121,4047.61,0,0,0,0,1.12617,0,0.00112901,0.000590724,0,0,0.569422,0,0,0,0,0,0,0,0,80.1347,4480.76,0.48207,0,0.280875,0.497319,0,0,0.0054926,5.20018,0,0,0,130,46.9542,0,73229.6,319,0,0,0,0,0,1272,0,257,0,4.23223,0,0,0,24227.6,0,41567.8,0,0,0,0,0,0,3.24387,0.00107543,0,0,0,0,193,580,0,0,0,0,0.844606,0
false,ONE_PC,0.5,0.05,0,WAIT_DIE,128,1000,125550,0,322,1.18901,134373,0.309718,0.000468144,0,0,0,0.582574,0,0,322,0,205.556,0.000843108,0,0,0,0,0,174.459,0.0837771,21895,0,0,0,0,0.872634,0,0.000687873,0.000350519,0,0,0.826773,0,0,0,0,0,0,0,0,200.51,30548.5,1.09988,0,0.941085,1.44682,0,0,0.0030525,19.259,0,0,0,72,50.0796,0,217224,181,0,0,0,0,0,725,0,137,0,20.165,0,0,0,34495.3,0,59065.5,0,0,0,0,0,0,8.56355,0.000664901,0,0,0,0,113,322,0,0,0,0,0.871767,0
false,TWO_PC,0.5,0.05,0,WAIT_DIE,2,1000,22518.6,0,52,0.0851122,243.493,0.040112,7.7464e-05,0,0,0,0.0792786,0,0,52,0,49.4413,0.000111475,0,0,0,0,0,7457.39,0.00131497,83.3261,0,0,0,0,2.86767,0,9.6672e-05,3.6658e-05,0,0,0.152629,0,0,0,0,0,0,0,0,2.10351,212.935,0.00138186,0,0.0850449,0.0851122,0,0,0.000512936,0.0833179,0,0,0,7,1.62409,0,18939.3,27,0,0,0,0,0,120,0,24,0,0.013286,0,0,0,11545.9,0,19190.6,0,0,0,0,0,0,0.0839386,0.000109581,0,0,0,0,21,52,0,0,0,0,0.974311,0
false,TWO_PC,0.5,0.05,0,WAIT_DIE,4,1000,23669.4,0,100,0.10461,242.608,0.0412801,0.00016194,0,0,0,0.0793276,0,0,100,0,94.4166,0.000357179,0,0,0,0,0,6796.83,0.00242396,55.9972,0,0,0,0,2.30348,0,0.000316063,0.000103961,0,0,0.213626,0,0,0,0,0,0,0,0,4.23654,133.168,0.00253308,0,0.085057,0.10461,0,0,0.000979656,0.140246,0,0,0,22,3.27098,0,19401.8,57,0,0,0,0,0,230,0,41,0,0.0175474,0,0,0,11498.4,0,19652.3,0,0,0,0,0,0,0.173563,0.000293006,0,0,0,0,37,100,0,0,0,0,1.00439,0
false,TWO_PC,0.5,0.05,0,WAIT_DIE,8,1000,24638.8,0,183,0.111643,241.901,0.0446695,0.000320952,0,0,0,0.0850304,0,0,183,0,175.363,0.000704142,0,0,0,0,0,8296.39,0.00425064,127.151,0,0,0,0,1.72572,0,0.000584056,0.000162198,0,0,0.256783,0,0,0,0,0,0,0,0,8.3484,179.286,0.0143042,0,0.088306,0.111888,0,0,0.0018129,0.229318,0,0,0,34,6.55405,0,21835.9,111,0,0,0,0,0,450,0,71,0,0.0424104,0,0,0,11839.5,0,20821.6,0,0,0,0,0,0,0.3291,0.000439125,0,0,0,0,78,183,0,0,0,0,1.00564,0
false,TWO_PC,0.5,0.05,0,WAIT_DIE,16,1000,24029.2,0,381,0.0883135,234.886,0.0429217,0.000659628,0,0,0,0.0797199,0,0,381,0,359.241,0.00121221,0,0,0,0,0,8603.37,0.00760043,49.1511,0,0,0,0,1.73466,0,0.00106453,0.000343884,0,0,0.302558,0,0,0,0,0,0,0,0,16.9691,163.333,0.0101212,0,0.0798592,0.0884893,0,0,0.00375316,0.471486,0,0,0,68,13.2217,0,18828.2,229,0,0,0,0,0,929,0,155,0,0.08165,0,0,0,12343.2,0,21497.4,0,0,0,0,0,0,0.68082,0.0010316,0,0,0,0,158,381,0,0,0,0,1.03,0
false,TWO_PC,0.5,0.05,0,WAIT_DIE,32,1000,26122.4,0,720,0.110896,1270.62,0.0453388,0.00109332,0,0,0,0.0862936,0,0,720,0,677.053,0.00209604,0,0,0,0,0,8360.75,0.0220043,209.823,0,0,0,0,1.50278,0,0.00169992,0.000843608,0,0,0.38968,0,0,0,0,0,0,0,0,34.0298,211.855,0.0138903,0,0.0957481,0.143415,0,0,0.00695028,1.16601,0,0,0,142,26.8555,0,19980.3,405,0,0,0,0,0,1644,0,318,0,0.203805,0,0,0,13802.3,0,23159.5,0,0,0,0,0,0,1.20089,0.00162035,0,0,0,0,260,720,0,0,0,0,1.01782,0
false,TWO_PC,0.5,0.05,0,WAIT_DIE,64,1000,69593.8,0,434,0.442841,35771.2,0.149284,0.000629052,0,0,0,0.299265,0,0,434,0,348.776,0.00125402,0,0,0,0,0,15172.5,0.00851297,5550.44,0,0,0,0,1.15777,0,0.00104982,0.000480487,0,0,0.687436,0,0,0,0,0,0,0,0,79.6386,5900.28,0.532074,0,0.358972,0.617625,0,0,0.00411839,5.0202,0,0,0,96,47.0404,0,91992.2,239,0,0,0,0,0,970,0,185,0,3.76655,0,0,0,27134.6,0,45479.4,0,0,0,0,0,0,3.2003,0.000992101,0,0,0,0,153,434,0,0,0,0,0.757352,0
false,TWO_PC,0.5,0.05,0,WAIT_DIE,128,1000,125265,0,389,1.00939,112928,0.301565,0.000532364,0,0,0,0.666272,0,0,389,0,260.449,0.373549,0,0,0,0,0,20211.9,0.0346455,12123.4,0,0,0,0,1.04192,0,0.373384,0.000439102,0,0,0.929181,0,0,0,0,0,0,0,0,191.178,16047.1,0.522905,0,0.798045,1.1947,0,0,0.00365385,20.2172,0,0,0,82,70.862,0,194961,197,0,0,0,0,0,831,0,181,0,13.3632,0,0,0,42170.5,0,69881.1,0,0,0,0,0,0,8.98584,0.00263265,0,0,0,0,126,389,0,0,0,0,0.730767,0
false,ONE_PC,0.5,0.05,0,WAIT_DIE,2,1000,21969.2,0,71,0.0632075,230.215,0.0285008,0.000108796,0,0,0,0.046823,0,0,71,0,69.5662,0.000215082,0,0,0,0,0,0.969479,0.00159943,73.2614,0,0,0,0,1.60468,0,0.00019118,5.9932e-05,0,0,0.148302,0,0,0,0,0,0,0,0,2.04122,210.753,0.00189188,0,0.0516575,0.0632075,0,0,0.000689796,0.0737268,0,0,0,12,1.62063,0,13379.3,39,0,0,0,0,0,155,0,31,0,0.0175527,0,0,0,10975.1,0,20250.4,0,0,0,0,0,0,0.0747043,0.000190743,0,0,0,0,28,71,0,0,0,0,0.945061,0
false,ONE_PC,0.5,0.05,0,WAIT_DIE,4,1000,24141.2,0,127,0.0653711,242.858,0.0321166,0.000197284,0,0,0,0.0516864,0,0,127,0,120.578,0.000383565,0,0,0,0,0,0.901047,0.00270868,117.688,0,0,0,0,1.70798,0,0.000317468,0.000112053,0,0,0.212978,0,0,0,0,0,0,0,0,4.21303,199.066,0.00289879,0,0.0531711,0.0704507,0,0,0.00123215,0.136351,0,0,0,30,3.2597,0,15041.1,76,0,0,0,0,0,277,0,52,0,0.0315306,0,0,0,11516.4,0,21316.7,0,0,0,0,0,0,0.16957,0.00031564,0,0,0,0,45,127,0,0,0,0,0.998396,0
false,ONE_PC,0.5,0.05,0,WAIT_DIE,8,1000,24538.3,0,247,0.0584513,260.487,0.0329108,0.000431908,0,0,0,0.0516415,0,0,247,0,238.128,0.000941316,0,0,0,0,0,1.17291,0.00542047,55.3431,0,0,0,0,2.03213,0,0.000852595,0.000195599,0,0,0.245759,0,0,0,0,0,0,0,0,8.29806,184.933,0.008349,0,0.0518253,0.0815179,0,0,0.00244227,0.224011,0,0,0,52,6.54919,0,15822.5,159,0,0,0,0,0,567,0,91,0,0.0576339,0,0,0,11705.2,0,23001,0,0,0,0,0,0,0.319875,0.000545682,0,0,0,0,104,247,0,0,0,0,1.0006,0
false,ONE_PC,0.5,0.05,0,WAIT_DIE,16,1000,23447.8,0,485,0.0769129,254.343,0.0334955,0.0008048,0,0,0,0.0548446,0,0,485,0,467.844,0.00148238,0,0,0,0,0,1.25005,0.00893274,48.6278,0,0,0,0,1.66676,0,0.00129683,0.000421116,0,0,0.276759,0,0,0,0,0,0,0,0,16.5867,158.253,0.0100886,0,0.057321,0.0770233,0,0,0.00476012,0.43715,0,0,0,95,13.2015,0,19776.5,290,0,0,0,0,0,1086,0,195,0,0.100605,0,0,0,10494.6,0,19475.1,0,0,0,0,0,0,0.621041,0.0013561,0,0,0,0,195,485,0,0,0,0,1.00867,0
false,ONE_PC,0.5,0.05,0,WAIT_DIE,32,1000,32564.5,0,695,0.127671,3500.94,0.0473114,0.001071,0,0,0,0.081785,0,0,695,0,612.647,0.00212208,0,0,0,0,0,1.32,0.0134405,223.565,0,0,0,0,1.48436,0,0.00171555,0.000941725,0,0,0.483205,0,0,0,0,0,0,0,0,36.3015,238.719,0.0550083,0,0.091861,0.177777,0,0,0.00671284,1.50697,0,0,0,141,26.8837,0,26391,393,0,0,0,1,0,1506,0,304,0,0.206858,0,0,0,15947.6,0,28934.8,0,0,102.845,1,0,0,1.57392,0.00154919,0,0,0,0,250,695,0,0,0,0,0.772841,0
false,ONE_PC,0.5,0.05,0,WAIT_DIE,64,1000,55928.1,0,630,0.457074,22609.3,0.100084,0.000910368,0,0,0,0.215462,0,0,630,0,510.613,0.00155921,0,0,0,0,0,1.01098,0.0205579,2543.67,0,0,0,0,1.23354,0,0.00127203,0.000667792,0,0,0.610685,0,0,0,0,0,0,0,0,78.9639,3195.92,0.487764,0,0.269481,0.521387,0,0,0.00597538,5.33903,0,0,0,142,45.325,0,64443.1,356,0,0,0,0,0,1391,0,275,0,4.56511,0,0,0,22925.2,0,39518.2,0,0,0,0,0,0,3.28335,0.00121088,0,0,0,0,213,630,0,0,0,0,0.731146,0
false,ONE_PC,0.5,0.05,0,WAIT_DIE,128,1000,126052,0,364,0.993087,98148.7,0.272445,0.000521768,0,0,0,0.52291,0,0,364,0,246.652,0.00100267,0,0,0,0,0,177.908,0.114099,36883.2,0,0,0,0,1.05496,0,0.000816142,0.000398577,0,0,0.740856,0,0,0,0,0,0,0,0,188.898,38367.8,0.901466,0,0.62247,1.07328,0,0,0.00347837,16.1756,0,0,0,78,52.7228,0,176214,218,0,0,0,0,0,829,0,166,0,23.9825,0,0,0,32484.6,0,57413.2,0,0,0,0,0,0,8.02717,0.000842874,0,0,0,0,120,364,0,0,0,0,0.733095,0
false,TWO_PC,0.5,0.05,0,WAIT_DIE,2,1000,23028.6,0,50,0.14446,187.148,0.0411154,7.3612e-05,0,0,0,0.0705463,0,0,50,0,47.9344,0.00015858,0,0,0,0,0,7256,0.00129025,57.8261,0,0,0,0,2.51196,0,0.000142287,7.5498e-05,0,0,0.152251,0,0,0,0,0,0,0,0,2.08619,149.346,0.00164192,0,0.0745414,0.14446,0,0,0.000492684,0.0813718,0,0,0,7,1.62677,0,18118.7,25,0,0,0,0,0,113,0,24,0,0.00926711,0,0,0,11962.6,0,19782.2,0,0,0,0,0,0,0.081098,0.000157334,0,0,0,0,19,50,0,0,0,0,0.965951,0
