prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,LOG_TIMEOUT,commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,num_pre_aborts
22170.6,0,69,0.0594503,226.536,0.0296607,0,0.000101772,0,0,0,0.0516381,0,2,0,69,0,66.8475,0.000209536,0,0,0,0,0.05,0,1000,2.49588,0.00184753,100.798,WAIT_DIE,0,0,0,0,2.41258,0,0.000186548,9.3814e-05,0,0,0.15682,0,0,false,0,0,0,0,0,0,2.0644,168.865,0.00402193,0,0.0516939,0.0594503,0,0,0.000668404,0.0773035,0,0,0,12,1.62084,0,14372.1,37,0,0,0,0,0,144,0,31,0,0.0149334,0,0,0,11313,ONE_PC,0,20470,0,0,0,0,0,0,0.0774649,0.5,0.000174871,0,0,0,0,26,69,0,0,0,0,0.953997,0
23842.5,0,134,0.0574718,205.89,0.0302429,0,0.00020788,0,0,0,0.0516476,0,4,0,134,0,130.978,0.000461069,0,0,0,0,0.05,0,1000,1.21054,0.00299206,51.045,WAIT_DIE,0,0,0,0,1.93218,0,0.000412704,0.000131071,0,0,0.205376,0,0,false,0,0,0,0,0,0,4.0923,109.883,0.00681765,0,0.0516998,0.0739117,0,0,0.0013063,0.120433,0,0,0,30,3.26706,0,12974.8,79,0,0,0,0,0,283,0,56,0,0.0195259,0,0,0,11850.4,ONE_PC,0,22419.4,0,0,0,0,0,0,0.150988,0.5,0.000413404,0,0,0,0,48,134,0,0,0,0,0.969,0
23429.6,0,249,0.0578845,244.197,0.0325885,0,0.000420756,0,0,0,0.0517064,0,8,0,249,0,241.132,0.000745009,0,0,0,0,0.05,0,1000,0.930731,0.00526379,57.3264,WAIT_DIE,0,0,0,0,2.04195,0,0.000656089,0.000203259,0,0,0.249266,0,0,false,0,0,0,0,0,0,8.26102,185.006,0.00431987,0,0.0523391,0.0588321,0,0,0.00244244,0.217435,0,0,0,53,6.53633,0,18093.7,156,0,0,0,0,0,571,0,94,0,0.0577596,0,0,0,10628.4,ONE_PC,0,20169.6,0,0,0,0,0,0,0.31606,0.5,0.000629121,0,0,0,0,102,249,0,0,0,0,0.996007,0
24470.8,0,511,0.06394,325.036,0.0318704,0,0.000830208,0,0,0,0.051757,0,16,0,511,0,487.988,0.00219721,0,0,0,0,0.05,0,1000,1.27986,0.0109773,235.393,WAIT_DIE,0,0,0,0,1.50111,0,0.00190548,0.000509013,0,0,0.303382,0,0,false,0,0,0,0,0,0,16.7545,254.354,0.00805765,0,0.0520055,0.0656368,0,0,0.00498231,0.516019,0,0,0,101,13.2926,0,16548.1,298,0,0,0,0,0,1157,0,211,0,0.188825,0,0,0,11964.3,ONE_PC,0,22133.7,0,0,0,0,0,0,0.593624,0.5,0.00136222,0,0,0,0,199,511,0,0,0,0,1.01227,0
28339.7,0,831,0.0920499,1700.25,0.0391526,0,0.00128601,0,0,0,0.0688239,0,32,0,831,0,774.174,0.00245638,0,0,0,0,0.05,0,1000,1.15556,0.0167273,146.41,WAIT_DIE,0,0,0,0,1.61711,0,0.00197726,0.000959644,0,0,0.468299,0,0,false,0,0,0,0,0,0,34.3489,164.297,0.0159388,0,0.0728448,0.160344,0,0,0.00802323,1.28797,0,0,0,170,26.845,0,20854.5,475,0,0,0,0,0,1752,0,361,0,0.178568,0,0,0,13390.2,ONE_PC,0,24696.7,0,0,0,0,0,0,1.23453,0.5,0.00174805,0,0,0,0,300,831,0,0,0,0,0.838919,0
57458.4,0,609,0.295265,25447.8,0.106042,0,0.00089956,0,0,0,0.205891,0,64,0,609,0,491.507,0.00168799,0,0,0,0,0.05,0,1000,1.19713,0.0212121,5318.89,WAIT_DIE,0,0,0,0,1.299,0,0.00136156,0.000657026,0,0,0.633457,0,0,false,0,0,0,0,0,0,79.2989,5203.07,0.366603,0,0.236859,0.447433,0,0,0.00578424,5.57934,0,0,0,136,46.9181,0,68902.5,346,0,0,0,0,0,1368,0,260,0,4.68361,0,0,0,23055.9,ONE_PC,0,39680.7,0,0,0,0,0,0,3.20204,0.5,0.00130602,0,0,0,0,213,609,0,0,0,0,0.836446,0
110024,0,384,1.20317,123688,0.271585,0,0.000517496,0,0,0,0.552031,0,128,0,384,0,270.269,0.000965686,0,0,0,0,0.05,0,1000,86.0053,0.0807847,9215.89,WAIT_DIE,0,0,0,0,1.13748,0,0.000785537,0.000397258,0,0,0.836827,0,0,false,0,0,0,0,0,0,181.863,29123.5,0.804945,0,0.891089,1.27969,0,0,0.00363897,15.5428,0,0,0,79,57.0897,0,186053,192,0,0,0,0,0,817,0,179,0,20.106,0,0,0,35592.5,ONE_PC,0,58745.7,0,0,0,0,0,0,8.09997,0.5,0.000702061,0,0,0,0,126,384,0,0,0,0,0.74275,0
23615.8,0,52,0.0759697,195.802,0.0388741,0,7.7464e-05,0,0,0,0.0689316,0,2,0,52,0,50.6268,0.000124424,0,0,0,0,0.05,0,1000,7891.36,0.0011721,77.6895,WAIT_DIE,0,0,0,0,2.18877,0,0.000107884,3.6523e-05,0,0,0.156098,0,0,false,0,0,0,0,0,0,2.05425,161.954,0.0013903,0,0.070049,0.0759697,0,0,0.000512936,0.0758078,0,0,0,7,1.6248,0,14118.5,27,0,0,0,0,0,120,0,24,0,0.0103757,0,0,0,13149.1,TWO_PC,0,22456.4,0,0,0,0,0,0,0.0765824,0.5,0.000104618,0,0,0,0,21,52,0,0,0,0,0.950656,0
21392.9,0,116,0.0812823,231.566,0.0351487,0,0.000185704,0,0,0,0.0688941,0,4,0,116,0,112.203,0.000331843,0,0,0,0,0.05,0,1000,6602.19,0.00244227,100.485,WAIT_DIE,0,0,0,0,2.42193,0,0.000276816,7.9143e-05,0,0,0.20755,0,0,false,0,0,0,0,0,0,4.13536,171.826,0.00311778,0,0.0690262,0.0973211,0,0,0.0011335,0.124806,0,0,0,26,3.26268,0,13907.7,69,0,0,0,0,0,271,0,47,0,0.0249299,0,0,0,11436.1,TWO_PC,0,20117.8,0,0,0,0,0,0,0.157969,0.5,0.000228079,0,0,0,0,43,116,0,0,0,0,0.980471,0
23422.6,0,196,0.0990168,194.741,0.0419683,0,0.000351928,0,0,0,0.0746217,0,8,0,196,0,184.063,0.000704285,0,0,0,0,0.05,0,1000,8787.61,0.00476695,116.964,WAIT_DIE,0,0,0,0,1.63736,0,0.000612411,0.000149056,0,0,0.258026,0,0,false,0,0,0,0,0,0,8.51884,151.02,0.00638499,0,0.0749413,0.0991472,0,0,0.00196166,0.249574,0,0,0,38,6.55164,0,18573.7,123,0,0,0,0,0,489,0,74,0,0.0389858,0,0,0,11893.2,TWO_PC,0,20888.3,0,0,0,0,0,0,0.354955,0.5,0.000599705,0,0,0,0,84,196,0,0,0,0,1.02786,0
