prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,CC (index) (in us),cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,prepare_phase_dist_write (in us),time_wait_buffer,num_home_txn,Throughput,time_waiting_for_job,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,average_local_latency,network (in us),abort_local (in us),commit_phase (in us),lock_phase_dist_write (in us),time_send_msg,execute_phase_local (in us),execute_phase_dist_readonly (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),commit_phase_dist_readonly (in us),num_aborts_remote,int_aborts_ws1,95%_latency,commit_phase_local (in us),max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,num_cache_evictions,num_ro_read,commit_phase_dist_write (in us),NETWORK_DELAY,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,num_renew,abort_dist_readonly (in us),time_idle,time_recv_msg,num_cache_hits,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,lock_phase_local (in us),prepare_phase_dist_readonly (in us),execute_phase_dist_write (in us),num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,COLLECT_LOCAL_LATENCY,int_inevitable,lock_phase_dist_readonly (in us),lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,average_distributed_latency,num_aborts,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,num_cache_updates,num_cache_remove,READ_PERC,num_pre_aborts,CC (row) (in us),prepare_phase_local (in us),num_aborts_rs,time_write_queue,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,COLLECT_DISTRIBUTED_LATENCY,time_output_idle,abort_dist_write (in us),time_write_output_queue
2537.68,0,6391,0.0115406,321.549,0.00355352,0,0.0094192,0,45.0237,0,14,0.00549906,0,28,2938.88,0.864438,6391,6313.73,0,0.342878,14,0,0,0.05,0.00146432,1992.9,2.34298,693.27,0,0.128584,166.329,413.404,WAIT_DIE,0.00539167,0,0,0,1.62944,0,0.0178027,0.00733792,0,0,0,0,0,false,0,0,0,0,0,0,28.3427,155.831,5.83905,0,0,0.00614172,6.09754,0.0371124,0,5,0.0617343,0.805685,0,0,2032.9,0,0,1449,0,0,22.4726,0.0887064,0,3632,0,0,0,2,2181,0,0,2863.69,458.899,0,2775,0,1.27632,false,0,0,0,0,2011.08,TWO_PC,0.00762587,14,2121.85,0,0,0.641853,2,0,0,0,0,0.5,0,0,2054.16,9,0.0199893,0,2167,6391,1.01733,0,0,false,0.837675,0,0.013594
3691.98,0,4282,0.0102756,375.185,0.00513631,0,0.00647837,0,192.86,0,1,0.00796366,0,28,4065.65,0.598181,4282,4189.89,0,0.356131,1,0,0,0.05,0.00223832,2950.06,0,1067.85,0,0.0974089,216.494,503.072,WAIT_DIE,0.00083988,0,0,0,1.33049,0,0.00931716,0.00483577,0,0,0,0,0,false,0,0,0,0,0,0,28.6156,204.507,5.82022,0,0,0.00870351,6.09322,0.0232586,0,0,0.0415885,0.550028,0,0,3043.31,1,0,959,0,0,14.4327,0.08459,0,2468,0,0,0,0,1499,0,0,4062.05,486.825,0,1826,0,10.8788,false,0,0,0,0,3030.63,TWO_PC,0.0105277,1,3232.36,0,0,0,0,0,0,0,0,0.5,0,0,3191.29,1,0.0117344,0,1497,4282,1.28796,0,0,false,0.882318,3.68405,0.00996313
5276.6,0,3023,0.0269158,735.548,0.00741287,0,0.00456892,0,190.738,0,3,0.0113891,0,28,6118.61,0.467802,3023,2980.01,0,0.420715,3,0,0,0.05,0.00289376,4415.95,6.4953,1394.73,0,0.0914563,220.898,1068.23,WAIT_DIE,0.00170428,0,0,0,1.38553,0,0.00629303,0.00476443,0,0,0,0,0,false,0,0,0,0,0,0,28.4039,201.665,5.80805,0,0,0.0124297,5.92555,0.0611188,0,4,0.029286,0.405141,0,0,3989.25,2,0,672,0,0,11.4786,0.0704637,0,1735,0,0,0,1,1060,0,0,6111.52,1156.74,0,1297,0,14.4823,false,0,0,0,0,3958.03,TWO_PC,0.0158551,3,4337.04,0,0,4.25604,1,0,0,0,0,0.5,0,0,4159.75,2,0.00778125,0,1054,3023,6.00243,0,0,false,0.83746,9.2229,0.00703102
6903.14,0,2437,0.0184433,542.187,0.00926173,0,0.00373276,0,47.1264,0,1,0.0147945,0,28,8344.53,0.385149,2437,2390.17,0,0.364167,1,0,0,0.05,0.00337003,5544.87,0,1811.9,0,0.0569107,141.789,803.082,WAIT_DIE,0.000538407,0,0,0,1.49367,0,0.00502121,0.00258586,0,0,0,0,0,false,0,0,0,0,0,0,28.5486,140.82,5.89736,0,0,0.015739,5.93474,0.0530601,0,0,0.0236947,0.347607,0,0,5064.75,3,0,537,0,0,9.15722,0.0546782,0,1400,0,0,0,0,871,0,0,8257.96,855.185,0,1030,0,17.2647,false,0,0,0,0,5049.78,TWO_PC,0.0198736,1,5277.72,0,0,0,0,0,0,0,0,0.5,0,0,4979.31,1,0.00635994,0,870,2437,4.50034,0,0,false,0.931907,12.6061,0.00497071
8470.92,0,2079,0.0204652,445.284,0.0109165,0,0.00319196,0,203.899,0,0,0.0170716,0,28,10419.9,0.328015,2079,2030.86,0,0.369804,0,0,0,0.05,0.00404358,6447.5,0,2000.28,0,0.0539042,222.591,574.768,WAIT_DIE,0,0,0,0,1.45691,0,0.00429103,0.00234791,0,0,0,0,0,false,0,0,0,0,0,0,28.6638,214.39,5.66312,0,0,0.0181164,5.79587,0.0337348,0,0,0.0201819,0.296779,0,0,5616.88,4,0,464,0,0,7.22825,0.0454481,0,1210,0,0,0,0,739,0,0,10113,627.962,0,876,0,19.6217,false,0,0,0,0,5608.03,TWO_PC,0.0233789,0,6570.48,0,0,0,0,0,0,0,0,0.5,0,0,5957,0,0.00530771,0,739,2079,0,0,0,false,0.938956,0,0.00474978
9929.25,0,1795,0.0254592,502.093,0.0128073,0,0.00274677,0,224.942,0,10,0.0200293,0,28,12365.5,0.281204,1795,1752.84,0,0.37101,10,0,0,0.05,0.00466211,7425.2,14.6157,2369.77,0,0.0437824,317.762,590.026,WAIT_DIE,0.00514668,0,0,0,1.37826,0,0.00393876,0.00200828,0,0,0,0,0,false,0,0,0,0,0,0,28.6735,237.353,5.78809,0,0,0.0215164,5.77376,0.0510898,0,0,0.0173934,0.2522,0,0,6646.41,5,0,396,0,0,5.78433,0.0390246,0,1042,0,0,0,1,649,0,0,12093.6,666.834,0,760,0,21.2971,false,0,0,0,0,6535.32,TWO_PC,0.0275426,10,7600.11,0,0,6.98359,1,0,0,0,0,0.5,0,0,6753.17,10,0.00494511,0,639,1795,6.18827,0,0,false,0.951465,0,0.00385398
2811.61,0,5569,0.0199972,472.535,0.00406022,0,0.00825357,0,75.6235,0,7,0.00555029,0,28,3255.56,0.88391,5569,5470.58,0,0.382136,7,0,0,0.05,0.00159265,2440.28,1.61391,775.381,0,0.1097,127.013,703.988,WAIT_DIE,0.00325044,0,0,0,1.29795,0,0.0315077,0.00658152,0,0,0,0,0,false,0,0,0,0,0,0,28.5037,119.797,5.65139,0,0,0.00631315,5.70859,0.1298,0,0,0.053865,0.836768,0,0,2240.52,0,0,1247,0,0,22.7701,0.131315,0,3158,0,0,0,1,1925,0,0,3145.05,755.128,0,2404,0,0.88869,false,0,0,0,0,2224.19,TWO_PC,0.00875737,7,2317.53,0,0,0.883769,1,0,0,0,0,0.5,0,0,2284.45,7,0.0336759,0,1918,5569,0.696683,0,0,false,0.806875,0,0.0122908
3652.97,0,4360,0.0107924,376.688,0.00509053,0,0.00658754,0,179.083,0,3,0.00785844,0,28,4045.89,0.577323,4360,4285.84,0,0.352753,3,0,0,0.05,0.00220083,2872.68,0,1057.35,0,0.101972,202.761,509.015,WAIT_DIE,0.000527528,0,0,0,1.4384,0,0.00955035,0.00510698,0,0,0,0,0,false,0,0,0,0,0,0,28.4845,190.943,5.80782,0,0,0.00861573,6.20426,0.0249741,0,0,0.042354,0.531059,0,0,3017.61,1,0,970,0,0,14.3899,0.0848937,0,2522,0,0,0,0,1527,0,0,4034.55,505.82,0,1868,0,10.9708,false,0,0,0,0,2998.96,TWO_PC,0.0104788,3,3219.22,0,0,0,0,0,0,0,0,0.5,0,0,3134.69,3,0.0116381,0,1522,4360,3.52173,0,0,false,0.872269,10.0885,0.00987803
5259.62,0,3133,0.0195836,455.784,0.00708654,0,0.00470888,0,41.5282,0,0,0.0112908,0,28,6195.98,0.451337,3133,3071.65,0,0.365507,0,0,0,0.05,0.00276723,4164.89,0,1371.13,0,0.0698279,165.281,605.324,WAIT_DIE,0,0,0,0,1.44555,0,0.00673534,0.00361553,0,0,0,0,0,false,0,0,0,0,0,0,28.5593,148.015,5.93676,0,0,0.0121119,5.75281,0.0391782,0,0,0.0303689,0.419609,0,0,3941,2,0,690,0,0,10.9301,0.0628355,0,1811,0,0,0,0,1087,0,0,6251.49,723.255,0,1356,0,15.1126,false,0,0,0,0,3932.26,TWO_PC,0.0152165,0,4312.16,0,0,0,0,0,0,0,0,0.5,0,0,4004.3,0,0.00824844,0,1087,3133,0,0,0,false,0.915068,0,0.00714999
6768.18,0,2542,0.0174111,420.336,0.00895831,0,0.00387229,0,38.439,0,0,0.0144895,0,28,8199.75,0.356026,2542,2498.85,0,0.355819,0,0,0,0.05,0.00334864,5240.96,0,1769.8,0,0.0591194,130.923,542.933,WAIT_DIE,0,0,0,0,1.64058,0,0.00593381,0.0028438,0,0,0,0,0,false,0,0,0,0,0,0,28.4834,125.135,5.54543,0,0,0.0152312,5.88843,0.0283161,0,0,0.0246632,0.318899,0,0,4955.17,3,0,552,0,0,8.5892,0.0430415,0,1450,0,0,0,0,906,0,0,8053.72,691.915,0,1084,0,17.8547,false,0,0,0,0,4946.38,TWO_PC,0.0190879,0,5321.23,0,0,0,0,0,0,0,0,0.5,0,0,4917.04,0,0.00668671,0,906,2542,0,0,0,false,0.92666,0,0.0054025
