prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,CC (index) (in us),cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,prepare_phase_dist_write (in us),time_wait_buffer,num_home_txn,Throughput,time_waiting_for_job,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,average_local_latency,network (in us),abort_local (in us),commit_phase (in us),lock_phase_dist_write (in us),time_send_msg,execute_phase_local (in us),execute_phase_dist_readonly (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),commit_phase_dist_readonly (in us),num_aborts_remote,int_aborts_ws1,95%_latency,commit_phase_local (in us),max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,num_cache_evictions,num_ro_read,commit_phase_dist_write (in us),NETWORK_DELAY,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,num_renew,abort_dist_readonly (in us),time_idle,time_recv_msg,num_cache_hits,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,lock_phase_local (in us),prepare_phase_dist_readonly (in us),execute_phase_dist_write (in us),num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,COLLECT_LOCAL_LATENCY,int_inevitable,lock_phase_dist_readonly (in us),lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,average_distributed_latency,num_aborts,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,num_cache_updates,num_cache_remove,READ_PERC,num_pre_aborts,CC (row) (in us),prepare_phase_local (in us),num_aborts_rs,time_write_queue,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,COLLECT_DISTRIBUTED_LATENCY,time_output_idle,abort_dist_write (in us),time_write_output_queue
2545.34,0,6153,0.0119352,448.723,0.00365736,0,0.00923315,0,191.827,0,0,0.00558924,0,28,3078.9,0.859063,6153,6061.26,0,0.337773,0,0,0,0.05,0.00144871,2444.24,0,663.295,0,0.166111,257.08,573.569,WAIT_DIE,0,0,0,0,3.38579,0,0.0174046,0.00839488,0,0,0,0,0,false,0,0,0,0,0,0,28.4238,244.933,6.47281,0,0,0.00674699,6.73547,0.086883,0,0,0.0594734,0.79067,0,0,1936.14,0,0,1387,0,0,22.0295,0.211675,0,4269,0,0,0,0,2094,0,0,2911.93,610.57,0,2672,0,1.80536,false,0,0,0,0,1926.82,TWO_PC,0.00793859,0,1939.84,0,0,0,0,0,0,0,0,0.5,0,0,1936.9,0,0.0266755,0,2094,6153,0,0,0,false,0.789973,0,0.0161883
3844.26,0,3929,0.0165989,648.826,0.00560701,0,0.006062,0,181.611,0,0,0.00875692,0,28,4387.16,0.664537,3929,3792.52,0,0.362001,0,0,0,0.05,0.00226359,3782.86,0,1113.92,0,0.104274,257.98,875.674,WAIT_DIE,0,0,0,0,3.79782,0,0.00998801,0.00530751,0,0,0,0,0,false,0,0,0,0,0,0,29.0076,238.289,6.25988,0,0,0.00997612,6.48305,0.0529211,0,0,0.0383062,0.60021,0,0,3177.99,1,0,869,0,0,14.4534,0.147459,0,2848,0,0,0,0,1372,0,0,4307.64,986.009,0,1688,0,10.8798,false,0,0,0,0,3168.95,TWO_PC,0.0118381,0,3212.93,0,0,0,0,0,0,0,0,0.5,0,0,3164.45,0,0.0122346,0,1372,3929,0,0,0,false,0.885693,0,0.0106693
5507.2,0,2747,0.0217048,909.18,0.00783638,0,0.00426602,0,158.607,0,0,0.0130633,0,28,6549.02,0.463596,2747,2700.36,0,0.362392,0,0,0,0.05,0.00292337,5723.87,0,1420,0,0.0738871,229.962,1275.05,WAIT_DIE,0,0,0,0,3.61729,0,0.00690517,0.00341653,0,0,0,0,0,false,0,0,0,0,0,0,28.4837,216.182,6.08386,0,0,0.0146342,6.18936,0.0594117,0,0,0.0267169,0.425994,0,0,4014.23,2,0,601,0,0,11.7357,0.108891,0,1946,0,0,0,0,969,0,0,6426.76,1507.27,0,1177,0,14.2324,false,0,0,0,0,4005.54,TWO_PC,0.0168512,0,4332.94,0,0,0,0,0,0,0,0,0.5,0,0,4179.96,0,0.00885491,0,969,2747,0,0,0,false,0.906259,0,0.00694703
7228.94,0,2115,0.0241619,1097.88,0.01023,0,0.00332852,0,121.982,0,0,0.017497,0,28,8726.68,0.426221,2115,2066.21,0,0.371113,0,0,0,0.05,0.00359666,7595.92,0,1903.21,0,0.0586232,220.414,1729.47,WAIT_DIE,0,0,0,0,6.06973,0,0.00535931,0.0029022,0,0,0,0,0,false,0,0,0,0,0,0,28.6611,210.514,5.96328,0,0,0.0193147,6.21665,0.0550046,0,0,0.0206061,0.387858,0,0,5320.47,3,0,476,0,0,9.96321,0.0830596,0,1545,0,0,0,0,755,0,0,8423.22,1727.08,0,884,0,16.3589,false,0,0,0,0,5311.69,TWO_PC,0.0221789,0,5511.84,0,0,0,0,0,0,0,0,0.5,0,0,5306.68,0,0.00666447,0,755,2115,0,0,0,false,0.93067,0,0.00673495
8721.14,0,1809,0.0274985,1190.22,0.012154,0,0.00283786,0,115.467,0,0,0.0206771,0,28,10556.3,0.375404,1809,1757.51,0,0.379838,0,0,0,0.05,0.00426196,8821.04,0,2242.68,0,0.0530974,230.829,1743.1,WAIT_DIE,0,0,0,0,6.62877,0,0.00436874,0.00232064,0,0,0,0,0,false,0,0,0,0,0,0,28.8202,188.948,5.79063,0,0,0.0226181,5.63537,0.0602272,0,0,0.0176128,0.339846,0,0,6260.28,4,0,398,0,0,8.05635,0.0784793,0,1319,0,0,0,0,647,0,0,10489.6,1983,0,764,0,18.6504,false,0,0,0,0,6251.64,TWO_PC,0.0263281,0,6675.39,0,0,0,0,0,0,0,0,0.5,0,0,6245.73,0,0.00553978,0,647,1809,0,0,0,false,0.944448,0,0.00448598
10700.6,0,1403,0.0584577,2171.43,0.0154906,0,0.00219874,0,85.8325,0,0,0.0266581,0,28,12994,0.410865,1403,1358.99,0,0.3719,0,0,0,0.05,0.0050995,11906.7,0,2618.57,0,0.0443321,167.062,3519.38,WAIT_DIE,0,0,0,0,5.04782,0,0.0033173,0.0017849,0,0,0,0,0,false,0,0,0,0,0,0,28.9067,162,5.90756,0,0,0.0309029,5.42523,0.0901073,0,0,0.0136328,0.363257,0,0,7337.61,5,0,313,0,0,8.85646,0.0570066,0,1001,0,0,0,0,500,0,0,12820.6,3692.77,0,590,0,17.7132,false,0,0,0,0,7329.17,TWO_PC,0.0342569,0,7821.42,0,0,0,0,0,0,0,0,0.5,0,0,7632.35,0,0.00426303,0,500,1403,0,0,0,false,0.9265,0,0.00384151
2512.57,0,6369,0.00868493,338.149,0.00353424,0,0.00952775,0,167.094,0,1,0.00561946,0,28,2930.81,0.839478,6369,6308.81,0,0.333619,1,0,0,0.05,0.00148083,2245.19,1.30211,682.956,0,0.167041,246.628,397.098,WAIT_DIE,0.000253711,0,0,0,2.81276,0,0.0173456,0.00980134,0,0,0,0,0,false,0,0,0,0,0,0,28.2671,232.681,6.45571,0,0,0.00653396,6.83481,0.0133298,0,1,0.0615754,0.772927,0,0,2009.05,0,0,1438,0,0,22.0425,0.226238,0,4449,0,0,0,1,2152,0,0,2893.23,417.023,0,2780,0,1.7867,false,0,0,0,0,1998.55,TWO_PC,0.00756086,1,2004.09,0,0,0,1,0,0,0,0,0.5,0,0,1992.05,0,0.0211443,0,2151,6369,0.568358,0,0,false,0.781061,0,0.0170468
3938.28,0,3877,0.0208799,637.842,0.00569706,0,0.00597938,0,111.742,0,1,0.00883899,0,28,4498.22,0.577725,3877,3817.61,0,0.345657,1,0,0,0.05,0.00232191,3820.62,0,1119.46,0,0.132731,243.62,859.709,WAIT_DIE,0.000259482,0,0,0,2.81503,0,0.00986874,0.00516423,0,0,0,0,0,false,0,0,0,0,0,0,28.4356,230.757,6.26179,0,0,0.010156,6.51046,0.117658,0,0,0.0377728,0.535335,0,0,3210,1,0,864,0,0,14.6161,0.160948,0,2816,0,0,0,0,1349,0,0,4342.47,983.115,0,1666,0,10.6673,false,0,0,0,0,3196.21,TWO_PC,0.0120364,1,3271.05,0,0,0,0,0,0,0,0,0.5,0,0,3275.94,1,0.012077,0,1347,3877,1.47646,0,0,false,0.835999,4.24963,0.0118146
5340.12,0,2858,0.0172789,761.826,0.00753093,0,0.00441717,0,238.581,0,0,0.0126141,0,28,6419.49,0.446722,2858,2812.9,0,0.361824,0,0,0,0.05,0.00287787,5374.04,0,1428.99,0,0.0781087,263.141,1026.8,WAIT_DIE,0,0,0,0,4.6422,0,0.00711964,0.00357423,0,0,0,0,0,false,0,0,0,0,0,0,28.449,249.755,6.09686,0,0,0.0139124,6.23907,0.0693086,0,0,0.0277797,0.410721,0,0,4060.38,2,0,627,0,0,11.1071,0.11044,0,2028,0,0,0,0,1003,0,0,6085.59,1206.74,0,1228,0,14.8861,false,0,0,0,0,4051.32,TWO_PC,0.0161366,0,4209.86,0,0,0,0,0,0,0,0,0.5,0,0,4077.89,0,0.00916572,0,1003,2858,0,0,0,false,0.899168,0,0.00734572
7167.9,0,2065,0.0346222,1348.92,0.0103012,0,0.00319028,0,171.953,0,0,0.0176102,0,28,9138.28,0.454687,2065,2010.87,0,0.355548,0,0,0,0.05,0.0033598,8130.31,0,1784.38,0,0.0561676,226.475,1956.79,WAIT_DIE,0,0,0,0,3.76784,0,0.00493102,0.00266424,0,0,0,0,0,false,0,0,0,0,0,0,28.7537,220.994,5.84258,0,0,0.0200356,5.83971,0.0866139,0,0,0.0199843,0.412189,0,0,5016.33,3,0,464,0,0,10.5562,0.0846141,0,1447,0,0,0,0,733,0,0,8253.76,2293.31,0,868,0,15.6969,false,0,0,0,0,5007.47,TWO_PC,0.0229151,0,5189.37,0,0,0,0,0,0,0,0,0.5,0,0,4923.51,0,0.00640942,0,733,2065,0,0,0,false,0.938393,0,0.00533978
