prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,CC (index) (in us),cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,prepare_phase_dist_write (in us),time_wait_buffer,num_home_txn,Throughput,time_waiting_for_job,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,average_local_latency,network (in us),abort_local (in us),commit_phase (in us),lock_phase_dist_write (in us),time_send_msg,execute_phase_local (in us),execute_phase_dist_readonly (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),commit_phase_dist_readonly (in us),num_aborts_remote,int_aborts_ws1,95%_latency,commit_phase_local (in us),max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,num_cache_evictions,num_ro_read,commit_phase_dist_write (in us),NETWORK_DELAY,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,num_renew,abort_dist_readonly (in us),time_idle,time_recv_msg,num_cache_hits,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,lock_phase_local (in us),prepare_phase_dist_readonly (in us),execute_phase_dist_write (in us),num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,COLLECT_LOCAL_LATENCY,int_inevitable,lock_phase_dist_readonly (in us),lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,average_distributed_latency,num_aborts,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,num_cache_updates,num_cache_remove,READ_PERC,num_pre_aborts,CC (row) (in us),prepare_phase_local (in us),num_aborts_rs,time_write_queue,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,COLLECT_DISTRIBUTED_LATENCY,time_output_idle,abort_dist_write (in us),time_write_output_queue,sum_throughput
2551.44,0,6415,0.00938725,298.462,0.00351401,0,0.0094293,0,52.699,0,1,0.00552781,0,28,3011.28,0.849959,6415,6340.33,0,0.343088,1,0,0,0.05,0.00137271,2086.26,0.0,663.065,0,0.11408800000000001,74.3858,459.158,WAIT_DIE,0.000674455,0,0,0,1.4902799999999998,0,0.013689700000000003,0.00701828,0,0,0,0,0,False,0,0,0,0,0,0,28.3298,73.3338,5.5311,0,0,0.00625682,5.51112,0.039157599999999994,0,0,0.061924599999999996,0.7790229999999999,0,0,1941.34,0,0,1452,0,0,23.0536,0.105104,0,3616,0,0,0,1,2180,0,0,2901.9,477.67199999999997,0,2784,0,0.676108,False,0,0,0,0,1932.37,TWO_PC,0.00767671,1,2034.59,0,0,0.0,1,0,0,0,0,0.5,0,0,2008.75,1,0.017264099999999998,0,2179,6415,1.03864,0,0,False,0.8507110000000001,3.05777,0.0128631,12654.06
3685.58,0,4302,0.011010899999999999,394.434,0.00515879,0,0.00648661,0,165.80200000000002,0,3,0.00816547,0,28,4106.84,0.6084689999999999,4302,4206.2,0,0.359317,3,0,0,0.05,0.00217849,2987.62,0.0,1074.76,0,0.100026,186.391,500.209,WAIT_DIE,0.000923034,0,0,0,1.34731,0,0.00944733,0.00494959,0,0,0,0,0,False,0,0,0,0,0,0,28.6377,178.437,5.87536,0,0,0.00869819,6.12835,0.03901040000000001,0,1,0.041706099999999996,0.551304,0,0,3054.86,1,0,957,0,0,14.6297,0.0854757,0,2457,0,0,0,0,1513,0,0,4105.75,580.738,0,1837,0,10.7162,False,0,0,0,0,3036.19,TWO_PC,0.0106806,3,3168.09,0,0,0.0,0,0,0,0,0,0.5,0,0,3120.88,2,0.011500299999999998,0,1508,4302,4.01275,0,0,False,0.8800309999999999,11.4475,0.00970533,8396.09
5463.32,0,3037,0.027653800000000003,620.1,0.00741488,0,0.00456298,0,43.9591,0,19,0.0113302,0,28,6674.31,0.448888,3037,2992.38,0,0.35939099999999996,16,0,0,0.05,0.0027253,4487.18,9.40502,1326.5,0,0.06860720000000001,153.836,915.137,WAIT_DIE,0.010295299999999999,0,0,0,1.57724,0,0.00627146,0.00325633,0,0,0,0,0,False,0,0,0,0,0,0,28.4175,156.68200000000002,5.94196,3,0,0.0127394,6.0628,0.08508289999999999,0,0,0.0294043,0.406966,0,0,3792.89,2,0,673,0,0,11.5238,0.06716389999999998,0,1728,0,0,0,0,1075,0,0,6469.99,1007.18,0,1305,0,14.4035,False,0,0,0,0,3727.47,TWO_PC,0.0161741,19,4247.82,0,0,0.0,0,0,0,0,0,0.5,0,0,3961.45,16,0.00789086,0,1059,3037,4.95977,0,0,False,0.911856,2.63386,0.00654755,5972.39
6976.21,0,2424,0.018553599999999996,495.33099999999996,0.00929666,0,0.00373066,0,43.7849,0,1,0.0149898,0,28,8428.02,0.386685,2424,2374.63,0,0.364669,1,0,0,0.05,0.00351031,5466.42,11.0249,1820.47,0,0.0554302,193.546,697.2710000000001,WAIT_DIE,0.0005381580000000001,0,0,0,1.52841,0,0.00566565,0.00258056,0,0,0,0,0,False,0,0,0,0,0,0,28.5821,165.18,5.64774,0,0,0.015899299999999998,5.8937,0.05259439999999999,0,0,0.023602,0.343955,0,0,5096.93,3,0,535,0,0,9.07513,0.044394300000000005,0,1408,0,0,0,0,864,0,0,8164.79,728.308,0,1025,0,17.3396,False,0,0,0,0,5087.87,TWO_PC,0.0197443,1,5467.02,0,0,0.0,0,0,0,0,0,0.5,0,0,5132.05,1,0.00647426,0,864,2424,4.661919999999999,0,0,False,0.933689,0.0,0.0051126,4764.8
8416.14,0,2084,0.020538999999999998,469.918,0.0109697,0,0.00320193,0,44.3282,0,39,0.0173461,0,28,10317.1,0.331486,2084,2038.01,0,0.34363499999999997,39,0,0,0.05,0.00390436,6457.78,0.0,2062.21,0,0.0390034,64.0591,822.957,WAIT_DIE,0.0142844,0,0,0,1.49464,0,0.00400979,0.00193897,0,0,0,0,0,False,0,0,0,0,0,0,28.6318,62.3895,6.14656,0,0,0.0182571,5.24086,0.0317394,0,38,0.020190299999999998,0.29536599999999996,0,0,5781.94,4,0,466,0,0,7.40385,0.0520765,0,1203,0,0,0,0,783,0,0,10096.7,727.3530000000001,0,876,0,19.3736,False,0,0,0,0,5470.6,TWO_PC,0.0237482,39,6353.09,0,0,0.0,0,0,0,0,0,0.5,0,0,5912.03,1,0.00495234,0,742,2084,21.4058,0,0,False,0.956772,60.1209,0.00434676,4068.87
9797.89,0,1808,0.0251008,519.096,0.0126996,0,0.00275512,0,73.5851,0,2,0.019922,0,28,12206.0,0.286586,1808,1765.57,0,0.373619,2,0,0,0.05,0.00445334,7539.17,0.0,2367.07,0,0.0387225,111.65299999999999,807.8480000000001,WAIT_DIE,0.000727821,0,0,0,1.43031,0,0.00378016,0.00210897,0,0,0,0,0,False,0,0,0,0,0,0,28.6729,106.39399999999999,5.73002,0,0,0.021442700000000002,5.59739,0.060499000000000004,0,0,0.0174697,0.257331,0,0,6655.9,5,0,398,0,0,6.09012,0.038565499999999996,0,1035,0,0,0,0,645,0,0,11999.4,827.497,0,768,0,20.9904,False,0,0,0,0,6616.06,TWO_PC,0.0276764,2,7295.8,0,0,0.0,0,0,0,0,0,0.5,0,0,6643.94,2,0.00471779,0,642,1808,15.5227,0,0,False,0.955081,43.715,0.0049102,3518.41
2867.68,0,5561,0.018255900000000002,529.818,0.00411543,0,0.00825582,0,159.123,0,1,0.00566068,0,28,3475.98,0.9237280000000001,5561,5467.13,0,0.329533,1,0,0,0.05,0.00156136,2477.91,0.0,716.885,0,0.11509100000000001,182.148,701.015,WAIT_DIE,0.00016862,0,0,0,1.17347,0,0.013416999999999998,0.00696493,0,0,0,0,0,False,0,0,0,0,0,0,28.4808,173.28900000000002,5.92275,0,0,0.00596008,6.006390000000001,0.12499,0,0,0.053833000000000006,0.805856,0,0,2074.71,0,0,1246,0,0,22.3957,0.173578,0,3165,0,0,0,0,1912,0,0,3256.76,855.556,0,2404,0,1.20891,False,0,0,0,0,2065.16,TWO_PC,0.00899369,1,2182.3,0,0,0.0,0,0,0,0,0,0.5,0,0,2182.47,1,0.017031400000000002,0,1911,5561,1.04841,0,0,False,0.856208,3.05085,0.012802000000000001,10937.71
3579.59,0,4411,0.010595,368.649,0.0049746,0,0.0066133,0,164.128,0,11,0.00791363,0,28,4015.01,0.5773699999999999,4411,4335.77,0,0.338198,11,0,0,0.05,0.00210959,2930.12,2.4079900000000003,1018.5,0,0.09809789999999999,186.71400000000003,501.542,WAIT_DIE,0.00561537,0,0,0,1.4341899999999999,0,0.010613899999999999,0.00474422,0,0,0,0,0,False,0,0,0,0,0,0,28.4858,176.69400000000002,5.80561,0,0,0.00844041,6.07886,0.015219,0,2,0.0427328,0.5274399999999999,0,0,2909.9,1,0,979,0,0,14.3939,0.0714468,0,2495,0,0,0,1,1552,0,0,4007.53,508.10400000000004,0,1894,0,10.9337,False,0,0,0,0,2875.09,TWO_PC,0.0103265,11,3069.64,0,0,0.0,1,0,0,0,0,0.5,0,0,3004.82,9,0.0119689,0,1538,4411,7.85048,0,0,False,0.877819,19.5499,0.009989399999999999,8621.61
5168.2,0,3180,0.0200852,483.436,0.00695761,0,0.00473524,0,46.4802,0,3,0.0111905,0,28,6275.71,0.45782,3180,3117.87,0,0.297593,3,0,0,0.05,0.0025548000000000003,4283.45,0.0,1299.09,0,0.055533400000000004,72.0312,828.5419999999999,WAIT_DIE,0.00116138,0,0,0,1.3329799999999998,0,0.00588149,0.00245879,0,0,0,0,0,False,0,0,0,0,0,0,28.558000000000003,68.3144,5.3468800000000005,0,0,0.0119148,5.04988,0.04039380000000001,0,2,0.030669599999999998,0.41224700000000003,0,0,3739.01,2,0,706,0,0,11.1745,0.0657632,0,1777,0,0,0,0,1108,0,0,6113.22,774.545,0,1372,0,14.8109,False,0,0,0,0,3710.59,TWO_PC,0.015259799999999999,3,4144.19,0,0,0.0,0,0,0,0,0,0.5,0,0,3792.35,1,0.00755771,0,1102,3180,6.88405,0,0,False,0.934867,19.865,0.00592555,6189.52
6700.1,0,2529,0.017756900000000003,478.38599999999997,0.00896458,0,0.00386722,0,194.952,0,0,0.0144521,0,28,8114.87,0.350684,2529,2486.11,0,0.37251799999999996,0,0,0,0.05,0.00337809,5259.5,0.0,1786.1,0,0.0600767,219.965,599.974,WAIT_DIE,0.0,0,0,0,1.48319,0,0.00574693,0.00281912,0,0,0,0,0,False,0,0,0,0,0,0,28.4831,205.17,5.68452,0,0,0.0151016,5.9249,0.0401647,0,0,0.0245931,0.319353,0,0,5008.37,3,0,550,0,0,8.52806,0.0552448,0,1458,0,0,0,0,900,0,0,7967.23,713.9,0,1079,0,18.0379,False,0,0,0,0,4999.71,TWO_PC,0.0190761,0,5163.96,0,0,0.0,0,0,0,0,0,0.5,0,0,4874.12,0,0.00717778,0,900,2529,0.0,0,0,False,0.922327,0.0,0.00552768,4984.96
