prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,prepare_phase_dist_write (in us),int_possibMVCC,time_wait_buffer,num_home_txn,Throughput,time_waiting_for_job,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,average_local_latency,LOG_TIMEOUT,abort_local (in us),commit_phase (in us),lock_phase_dist_write (in us),time_send_msg,execute_phase_local (in us),execute_phase_dist_readonly (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),commit_phase_dist_readonly (in us),num_aborts_remote,int_aborts_ws1,95%_latency,commit_phase_local (in us),max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,num_cache_evictions,num_ro_read,commit_phase_dist_write (in us),int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,num_renew,abort_dist_readonly (in us),time_idle,time_recv_msg,num_cache_hits,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,lock_phase_local (in us),prepare_phase_dist_readonly (in us),execute_phase_dist_write (in us),num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase_dist_readonly (in us),lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,average_distributed_latency,total_log_yes (in us),num_renew_success,CC (row) (in us),wait (in us),num_waits,num_renew_failure,num_rw_check,num_cache_updates,num_cache_remove,READ_PERC,num_pre_aborts,CC (index) (in us),prepare_phase_local (in us),num_aborts_rs,time_write_queue,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,abort_dist_write (in us),time_write_output_queue
1907.79,0,565,0.0124915,164.919,0.0029193,0.9,0.00090796,0,0,168,0.00471931,0,2,2365.4,0,0.0699124,565,554.991,0,0.159366,134,0,0,0.05,0.00123036,1000,130.762,441.979,0,0.0157864,105.086,236.259,WAIT_DIE,0.0666461,0,0,0,3.28583,0,0.00207567,0.000536642,0,0,0,0,0,false,0,0,0,0,0,0,2.03607,111.443,1.99459,36,0,0.00692096,9.45822,0.0437446,0,79,0.00554166,0.0740167,0,0,1328.23,0,123,0,0,1.50068,0.0309509,0,1549.07,443,0,0,0,6,324,0,0,1905.93,200.093,0,256,0,0.0824823,0,0,0,0,765.831,TWO_PC,0.00636074,1556.01,0,0,9.23859,6,0,0,0,0,0.5,0,54.5997,1576.21,55,0.00239337,0,186,565,404.612,0,0,168,0.921469,1049.09,0.00215381
1919.69,0,846,0.0265256,195.537,0.00414381,0.9,0.00172864,0,0,951,0.00828841,0,4,2654.22,0,0.140024,846,834.173,0,0.20757,913,0,0,0.05,0.0013842,1000,494.137,568.776,0,0.0275344,133.772,211.494,WAIT_DIE,0.389535,0,0,0,10.2546,0,0.00375305,0.00104224,0,0,0,0,0,false,0,0,0,0,0,0,4.05671,119.549,2.3202,51,0,0.0130556,12.4987,0.0529249,0,481,0.00867472,0.120222,0,0,1706.57,0,200,0,0,2.78415,0.0509297,0,1523.43,933,0,0,0,42,1234,0,0,1668.61,265.344,0,367,0,0.133711,0,0,0,0,387.415,TWO_PC,0.00975204,1600.8,0,0,28.5797,42,0,0,0,0,0.5,0,81.5796,1498.12,436,0.00426136,0,279,846,1459.8,0,0,951,0.931485,3776.49,0.00327086
1916.46,0,1021,0.0825051,348.61,0.00725096,0.9,0.00308177,0,0,2847,0.012842,0,8,2703.67,0,0.339654,1021,957.906,0,0.259052,2478,0,0,0.05,0.00229174,1000,1521.93,628.82,0,0.0490981,309.97,338.851,WAIT_DIE,1.14695,0,0,0,5.29513,0,0.00675324,0.00179019,0,0,0,0,0,false,0,0,0,0,0,0,8.52693,307.884,2.87099,839,0,0.0244067,37.6143,0.332075,0,1153,0.0113592,0.257156,0,0,1793.52,0,214,0,0,5.13489,0.0803935,0,1688.75,1758,0,0,0,65,2899,0,0,1549.52,405.577,0,459,0,0.377745,0,0,0,0,219.859,TWO_PC,0.0168417,1611.49,0,0,63.3025,65,0,0,0,0,0.5,0,195.419,1490.7,1349,0.00765613,0,348,1021,4357.07,0,0,2847,0.978403,10775.9,0.00438989
1918.71,0,1036,0.138636,173.859,0.0111718,0.9,0.00438572,0,0,5526,0.0212078,0,12,2691.24,0,0.520703,1036,974.49,0,0.265793,5113,0,0,0.05,0.0036817,1000,3715.9,631.844,0,0.0679453,137.309,128.736,WAIT_DIE,2.26095,0,0,0,1.52738,0,0.0079848,0.00264757,0,0,0,0,0,false,0,0,0,0,0,0,12.7574,146.008,2.17755,1559,0,0.0461051,32.2248,0.562763,0,2832,0.0129794,0.363169,0,0,1705.6,0,210,0,0,7.46701,0.0896444,0,1608.27,2738,0,0,0,115,5610,0,0,1415.7,243.085,0,451,0,0.217393,0,0,0,0,115.957,TWO_PC,0.0243743,1571.72,0,0,18.7826,115,0,0,0,0,0.5,0,113.977,1510.58,2347,0.00908693,0,375,1036,8447.36,0,0,5526,0.961008,18868.3,0.00816657
2007.1,0,1138,0.174266,337.358,0.0137762,0.9,0.00619352,0,0,7093,0.0277685,0,16,2915.19,0,0.757703,1138,1025.97,0,0.355025,6550,0,0,0.05,0.00371959,1000,3821.93,594.68,0,0.114804,216.489,407.726,WAIT_DIE,2.82633,0,0,0,1.78587,0,0.0133439,0.00430168,0,0,0,0,0,false,0,0,0,0,0,0,17.7471,202.815,3.01953,1656,0,0.0583404,15.027,0.511099,0,3561,0.0157548,0.596657,0,0,1736.5,0,260,0,0,10.3043,0.128431,0,1760.29,4496,0,0,0,223,7308,0,0,1381.66,444.612,0,493,0,0.334413,0,0,0,0,91.7929,TWO_PC,0.0334452,1634.42,0,0,80.1615,223,0,0,0,0,0.5,0,136.873,1627.79,3303,0.0151212,0,385,1138,10837,0,0,7093,0.931898,27138.5,0.00800457
,,,,,,0.9,,,,,,,20,,,,,,,,,,,0.05,,1000,,,,,,,WAIT_DIE,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TWO_PC,,,,,,,,,,,0.5,,,,,,,,,,,,,,,
2138.99,0,770,0.554627,490.152,0.0330346,0.9,0.00929276,0,0,11925,0.0651386,0,24,3293.3,0,1.42731,770,645.988,0,0.307069,11452,0,0,0.05,0.00859997,1000,11249,607.2,0,0.119452,215.765,375.959,WAIT_DIE,4.83695,0,0,0,3.13412,0,0.0149904,0.00482729,0,0,0,0,0,false,0,0,0,0,0,0,28.6074,269.757,2.93944,1774,0,0.177377,30.5493,1.1457,0,4979,0.0153877,1.20261,0,0,1730.44,0,172,0,0,15.1048,0.219191,0,2005.5,6652,0,0,0,260,12392,0,0,1543.22,911.69,0,334,0,0.345793,0,0,0,0,37.3722,TWO_PC,0.0798677,1640.44,0,0,59.0899,260,0,0,0,0,0.5,0,172.901,1533.41,7101,0.0183882,0,264,770,29798.3,0,0,11925,1.02247,72680,0.0152224
2335.28,0,1147,0.335814,708.708,0.0247604,0.9,0.00977815,0,0,12808,0.0551164,0,28,3304.12,0,1.48851,1147,993.321,0,0.377672,12274,0,0,0.05,0.00615071,1000,7475.23,769.459,0,0.166378,197.519,905.343,WAIT_DIE,5.26211,0,0,0,3.38811,0,0.0159746,0.00814183,0,0,0,0,0,false,0,0,0,0,0,0,32.3319,226.985,2.96923,1975,0,0.122204,20.5559,1.05338,0,5651,0.0204118,1.26008,0,0,2071.86,0,262,0,0,18.0531,0.239294,0,2356.22,7409,0,0,0,236,13175,0,0,1495.43,1149.74,0,464,0,0.420137,0,0,0,0,66.4734,TWO_PC,0.0568523,1944.95,0,0,141.698,236,0,0,0,0,0.5,0,149.786,1930.44,7011,0.0207029,0,421,1147,20947,0,0,12808,0.89384,48830.7,0.0154341
2363.99,0,848,0.880091,527.837,0.0411167,0.9,0.0100186,0,0,13851,0.0697479,0,32,3537.3,0,2.3392,848,659.309,0,0.447537,13092,0,0,0.05,0.00806781,1000,9851.2,780.72,0,0.148062,254.107,602.341,WAIT_DIE,5.89438,0,0,0,2.72939,0,0.0161998,0.0076557,0,0,0,0,0,false,0,0,0,0,0,0,41.1582,370.317,2.82125,2556,0,0.224123,17.2598,1.18277,0,5571,0.01607,2.15757,0,0,2243.38,0,181,0,0,20.5562,0.245508,0,2106.74,6418,0,0,0,270,13757,0,0,1558.2,833.192,0,375,0,0.758432,0,0,0,0,47.3454,TWO_PC,0.104045,1942.37,0,0,65.7904,270,0,0,0,0,0.5,0,349.617,1839.3,7825,0.0201771,0,292,848,37444.1,0,0,13851,1.01116,96090.5,0.0282754
1753.68,0,879,0.00764517,242.092,0.0022228,0.9,0.00150278,0,0,314,0.00338873,0,2,2156.06,0,0.0610416,879,877.117,0,0.167223,265,0,0,0.05,0.00120575,1000,130.808,3.34366,0,0.0246861,238.896,235.701,WAIT_DIE,0.123191,0,0,0,7.17959,0,0.00441019,0.00112229,0,0,0,0,0,false,0,0,0,0,0,0,2.00429,212.256,2.40855,59,0,0.00450583,3.01472,0.0134629,0,112,0.00870114,0.0642729,0,0,4.46398,0,202,0,0,1.32463,0.0510447,0,854.502,748,0,0,0,27,265,0,0,1773.4,251.061,0,393,0,0.221784,0,0,0,0,0,ONE_PC,0.00435362,1449.88,0,0,17.7298,27,0,0,0,0,0.5,0,155.786,1452.77,153,0.00515206,0,284,879,223.686,0,0,314,0.892289,511.311,0.00417235
