prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,prepare_phase_dist_write (in us),int_possibMVCC,time_wait_buffer,num_home_txn,Throughput,time_waiting_for_job,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,average_local_latency,LOG_TIMEOUT,abort_local (in us),commit_phase (in us),lock_phase_dist_write (in us),time_send_msg,execute_phase_local (in us),execute_phase_dist_readonly (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),commit_phase_dist_readonly (in us),num_aborts_remote,int_aborts_ws1,95%_latency,commit_phase_local (in us),max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,num_cache_evictions,num_ro_read,commit_phase_dist_write (in us),int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,num_renew,abort_dist_readonly (in us),time_idle,time_recv_msg,num_cache_hits,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,lock_phase_local (in us),prepare_phase_dist_readonly (in us),execute_phase_dist_write (in us),num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase_dist_readonly (in us),lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,average_distributed_latency,total_log_yes (in us),num_renew_success,CC (row) (in us),wait (in us),num_waits,num_renew_failure,num_rw_check,num_cache_updates,num_cache_remove,READ_PERC,num_pre_aborts,CC (index) (in us),prepare_phase_local (in us),num_aborts_rs,time_write_queue,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,abort_dist_write (in us),time_write_output_queue,sum_throughput
1980.35,0,568,0.0152333,180.202,0.00301222,0.9,0.0008917080000000001,0,0,166,0.00534119,0,2,2404.83,0,0.07033810000000001,568,557.9159999999999,0,0.15878399999999998,137,0,0,0.05,0.00132247,1000,122.68700000000001,468.589,0,0.015156799999999998,122.04,230.843,WAIT_DIE,0.067218,0,0,0,2.263,0,0.00233739,0.000633517,0,0,0,0,0,False,0,0,0,0,0,0,2.03615,95.954,2.0386,29,0,0.00717127,8.2986,0.0188907,0,57,0.00553843,0.0757453,0,0,1533.02,0,129,0,0.0,1.50515,0.0304735,0,1362.36,474,0,0,0,9,327,0,0,1977.28,232.507,0,267,0,0.0729414,0,0,0,0,809.12,TWO_PC,0.00690257,1695.35,0,0,39.6638,9,0,0,0,0,0.5,0,50.93,1708.39,90,0.00262014,0,172,568,383.077,0,0,166,0.9239229999999999,1074.59,0.00242045,2283.716
1911.38,0,888,0.0250457,225.303,0.00390856,0.9,0.00167178,0,0,628,0.00745329,0,4,2671.25,0,0.137944,888,875.556,0,0.219059,595,0,0,0.05,0.00133972,1000,290.54,571.5840000000001,0,0.027018900000000002,152.965,207.831,WAIT_DIE,0.260635,0,0,0,5.30629,0,0.00456569,0.00112302,0,0,0,0,0,False,0,0,0,0,0,0,4.05685,144.13,2.3806,40,0,0.00993962,9.60711,0.0610433,0,220,0.00893631,0.12443399999999999,0,0,1765.5,0,193,0,0.0,2.8855,0.049754400000000004,0,1494.7,886,0,0,0,22,927,0,0,1626.57,341.2,0,410,0,0.163968,0,0,0,0,543.947,TWO_PC,0.00934367,1644.68,0,0,25.6182,22,0,0,0,0,0.5,0,84.2634,1517.26,384,0.00518017,0,285,888,1200.28,0,0,628,0.9284309999999999,3321.86,0.0043887,3521.107
1950.19,0,948,0.110447,339.968,0.007986,0.9,0.00307542,0,0,2991,0.014136000000000001,0,8,2848.05,0,0.34721,948,889.439,0,0.261177,2780,0,0,0.05,0.0025195,1000,2108.88,577.193,0,0.0431574,280.695,246.68,WAIT_DIE,1.20089,0,0,0,0.992324,0,0.00661834,0.00168657,0,0,0,0,0,False,0,0,0,0,0,0,8.52672,151.015,2.4287900000000002,409,0,0.0267315,18.1167,0.30689299999999997,0,1608,0.010911399999999998,0.25879800000000003,0,0,1624.53,0,212,0,0.0,5.227609999999999,0.0634991,0,1634.95,2137,0,0,0,130,3512,0,0,1527.94,471.666,0,404,0,0.194984,0,0,0,0,154.64,TWO_PC,0.0181287,1590.9,0,0,152.273,130,0,0,0,0,0.5,0,91.5027,1433.92,1524,0.00757166,0,332,948,5118.66,0,0,2991,0.9838600000000001,12049.7,0.00497201,3861.602
2033.44,0,1080,0.13261199999999998,258.805,0.0104826,0.9,0.00446994,0,0,4685,0.0198607,0,12,3028.47,0,0.5252680000000001,1080,1015.89,0,0.265329,4220,0,0,0.05,0.00320312,1000,3372.08,701.574,0,0.05997,168.954,159.607,WAIT_DIE,1.9171099999999999,0,0,0,2.5487900000000003,0,0.008298999999999999,0.00285377,0,0,0,0,0,False,0,0,0,0,0,0,12.7573,135.404,1.9979900000000002,823,0,0.0409529,30.6174,0.500827,0,1865,0.0140411,0.356914,0,0,1846.4,0,249,0,0.0,7.801310000000001,0.10992,0,1736.5,3369,0,0,0,108,4765,0,0,1348.57,415.52099999999996,0,428,0,0.21188400000000002,0,0,0,0,158.111,TWO_PC,0.022711500000000003,1714.12,0,0,101.285,108,0,0,0,0,0.5,0,100.316,1494.97,2416,0.00954366,0,403,1080,7488.82,0,0,4685,0.9672440000000001,16488.0,0.00813229,4107.65
1923.37,0,1124,0.179792,342.20099999999996,0.0138393,0.9,0.00634642,0,0,6100,0.028314299999999997,0,16,2635.11,0,0.77905,1124,1013.38,0,0.288846,5765,0,0,0.05,0.00477833,1000,5323.15,624.626,0,0.0856844,312.308,250.55599999999998,WAIT_DIE,2.49729,0,0,0,1.9099099999999998,0,0.0108364,0.00384921,0,0,0,0,0,False,0,0,0,0,0,0,17.7465,176.012,2.9043400000000004,876,0,0.0557563,22.5169,0.7081069999999999,0,2899,0.0152839,0.582535,0,0,1688.67,0,239,0,0.0,10.5932,0.118096,0,1772.56,4072,0,0,0,156,6462,0,0,1509.64,430.54400000000004,0,476,0,0.29280100000000003,0,0,0,0,107.758,TWO_PC,0.029679400000000005,1535.47,0,0,105.71799999999999,156,0,0,0,0,0.5,0,135.564,1519.55,3097,0.012611399999999998,0,409,1124,10949.1,0,0,6100,0.986402,23894.8,0.0109293,4227.49
2008.39,0,1196,0.249511,577.4119999999999,0.0171423,0.9,0.00778884,0,0,8553,0.0330519,0,20,3082.64,0,1.1204100000000001,1196,1024.98,0,0.33960300000000004,7925,0,0,0.05,0.00380226,1000,4192.33,621.406,0,0.12573800000000002,319.847,550.544,WAIT_DIE,3.46484,0,0,0,3.4081300000000003,0,0.0153203,0.00483995,0,0,0,0,0,False,0,0,0,0,0,0,23.337,235.74099999999999,3.1042,2124,0,0.0813026,7.497660000000001,0.9777629999999999,0,4181,0.0176421,0.902424,0,0,1742.03,0,275,0,0.0,12.9361,0.159209,0,1911.53,5858,0,0,0,201,9320,0,0,1476.1,896.748,0,497,0,0.409292,0,0,0,0,79.0241,TWO_PC,0.041431199999999994,1505.24,0,0,223.975,201,0,0,0,0,0.5,0,184.995,1386.45,4638,0.0174507,0,424,1196,13935.1,0,0,8553,0.9929620000000001,34393.3,0.011662899999999999,
2047.8,0,1192,0.365501,406.686,0.019666,0.9,0.00808615,0,0,9557,0.037093400000000006,0,24,3066.95,0,1.44036,1192,999.993,0,0.394489,9069,0,0,0.05,0.00565826,1000,7307.79,665.096,0,0.132528,221.74,417.467,WAIT_DIE,3.99914,0,0,0,3.4209199999999997,0,0.0126846,0.00623981,0,0,0,0,0,False,0,0,0,0,0,0,28.6082,193.02,3.15769,1143,0,0.08380119999999999,15.2313,0.718097,0,4548,0.01755,1.196,0,0,1820.49,0,284,0,333.135,15.8991,0.183469,0,2043.21,5281,0,0,0,145,10098,0,0,1450.83,604.2669999999999,0,477,0,0.360509,0,0,0,0,77.8254,TWO_PC,0.044399,1584.98,0,0,82.3281,145,0,0,0,0,0.5,0,153.222,1482.36,5032,0.0162947,0,431,1192,16546.4,0,0,9557,1.00396,37454.6,0.0119741,3691.2740000000003
2381.6,0,899,0.542856,864.2180000000001,0.032739599999999994,0.9,0.0106199,0,0,13776,0.0670147,0,28,3415.67,0,1.48956,899,778.368,0,0.36645,13345,0,0,0.05,0.00975322,1000,12562.0,689.863,0,0.172599,481.719,897.3430000000001,WAIT_DIE,5.44281,0,0,0,2.8935400000000002,0,0.0162197,0.00825846,0,0,0,0,0,False,0,0,0,0,0,0,32.3395,277.85900000000004,3.12965,1260,0,0.168256,11.4077,1.0346899999999999,0,7089,0.0183672,1.28659,0,0,2010.19,0,205,0,0.0,17.8598,0.23935700000000001,0,2243.04,8056,0,0,0,273,14537,0,0,1841.9,1327.03,0,388,0,0.419548,0,0,0,0,42.284,TWO_PC,0.0772852,1894.89,0,0,281.202,273,0,0,0,0,0.5,0,217.31799999999998,1851.23,7084,0.0200234,0,306,899,28803.9,0,0,13776,0.9065190000000001,68695.1,0.0158191,4000.549
2280.83,0,690,0.856239,1291.95,0.052284500000000005,0.9,0.0106959,0,0,13926,0.11882999999999999,0,32,3798.17,0,2.26146,690,536.859,0,0.415963,13768,0,0,0.05,0.013924700000000002,1000,19704.6,755.18,0,0.172521,736.7130000000001,1099.84,WAIT_DIE,5.91325,0,0,0,2.4798299999999998,0,0.0164486,0.00833293,0,0,0,0,0,False,0,0,0,0,0,0,41.1281,476.805,2.72415,945,0,0.27156199999999997,25.5298,1.26986,0,5700,0.016007,2.04281,0,0,2165.9,0,167,0,0.0,20.5342,0.237481,0,2598.12,8768,0,0,0,316,15792,0,0,1312.61,2097.35,0,286,0,0.7380260000000001,0,0,0,0,32.7279,TWO_PC,0.125605,1748.1,0,0,637.798,316,0,0,0,0,0.5,0,439.417,1588.81,9791,0.021919,0,237,690,47956.6,0,0,13926,1.04482,115842.0,0.016096700000000002,2972.6940000000004
1782.75,0,912,0.00678961,163.661,0.00213832,0.9,0.00153075,0,0,270,0.00338845,0,2,2154.69,0,0.0645088,912,909.966,0,0.15929400000000002,236,0,0,0.05,0.00117011,1000,138.85,2.98555,0,0.0219757,100.854,199.46,WAIT_DIE,0.111522,0,0,0,0.9640299999999999,0,0.00286006,0.000766599,0,0,0,0,0,False,0,0,0,0,0,0,2.00447,100.272,2.45011,43,0,0.00443882,2.4346799999999997,0.00921898,0,97,0.00898661,0.06972830000000001,0,0,4.2051,0,203,0,0.0,1.42262,0.032680900000000006,0,790.555,764,0,0,0,13,243,0,0,1893.96,232.993,0,427,0,0.117203,0,0,0,0,0.0,ONE_PC,0.00430136,1526.83,0,0,6.461130000000001,13,0,0,0,0,0.5,0,51.4195,1484.25,146,0.00338034,0,282,912,188.924,0,0,270,0.900565,400.74300000000005,0.00265876,3595.146
2062.92,0,1747,0.0350905,289.629,0.00450658,0.9,0.00726851,0,0,5535,0.00868199,0,8,2971.25,0,0.267798,1747,1734.46,0,0.23677399999999998,5226,0,0,0.05,0.00217102,1000,1593.37,4.7445900000000005,0,0.11054000000000001,243.593,232.729,WAIT_DIE,2.27034,0,0,0,2.27223,0,0.016752200000000002,0.00417025,0,0,0,0,0,False,0,0,0,0,0,0,8.057830000000001,195.076,3.06642,470,0,0.0147466,3.8292699999999997,0.129605,0,2695,0.0220657,0.201847,0,0,6.93174,0,405,0,0.0,3.95515,0.169213,0,1059.46,5301,0,0,0,199,5569,0,0,1622.89,381.519,0,727,0,0.440075,0,0,0,0,0.0,ONE_PC,0.00880554,1666.81,0,0,71.2858,199,0,0,0,0,0.5,0,142.151,1539.67,2874,0.0187723,0,615,1747,2149.29,0,0,5535,0.8503809999999999,4221.83,0.010118799999999999,6858.700000000001
2064.81,0,1845,0.07273400000000001,272.607,0.00646987,0.9,0.0118958,0,0,10619,0.0118494,0,12,3032.11,0,0.452417,1845,1793.45,0,0.24260199999999998,9709,0,0,0.05,0.00320456,1000,3076.89,4.492719999999999,0,0.13686600000000002,198.675,208.74400000000003,WAIT_DIE,4.303640000000001,0,0,0,3.38925,0,0.0194409,0.00605176,0,0,0,0,0,False,0,0,0,0,0,0,12.3449,144.42700000000002,2.68243,1396,0,0.024409200000000002,3.6216,0.22172600000000003,0,5627,0.0260532,0.31840100000000005,0,0,6.77988,0,414,0,2.03767,5.26264,0.224886,0,1069.44,8391,0,0,0,301,11141,0,0,1512.6,407.909,0,799,0,0.388129,0,0,0,0,0.0,ONE_PC,0.012737,1659.0,0,0,85.4043,301,0,0,0,0,0.5,0,100.35799999999999,1585.81,5514,0.0224011,0,632,1845,4127.97,0,0,10619,0.844183,8159.53,0.017005000000000003,7095.8099999999995
2070.63,0,1892,0.107705,300.442,0.00845125,0.9,0.0165022,0,0,16539,0.017229400000000002,0,16,2976.44,0,0.579742,1892,1815.41,0,0.2647,15920,0,0,0.05,0.00453441,1000,4998.93,5.14222,0,0.219546,224.739,189.764,WAIT_DIE,6.795539999999999,0,0,0,2.22269,0,0.028193799999999998,0.00906308,0,0,0,0,0,False,0,0,0,0,0,0,16.675,139.066,2.8069900000000003,1182,0,0.0372667,4.15024,0.269429,0,8791,0.0329674,0.46469799999999994,0,0,7.75992,0,414,0,5.57391,6.17437,0.308361,0,1088.53,12791,0,0,0,360,16676,0,0,1429.38,458.72900000000004,0,804,0,0.478347,0,0,0,0,0.0,ONE_PC,0.015529499999999998,1698.95,0,0,97.9305,360,0,0,0,0,0.5,0,94.9088,1641.47,7885,0.032542,0,674,1892,6075.04,0,0,16539,0.755609,11086.8,0.0186828,7507.679999999999
