prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,CC (index) (in us),cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,prepare_phase_dist_write (in us),time_wait_buffer,num_home_txn,Throughput,time_waiting_for_job,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,average_local_latency,network (in us),abort_local (in us),commit_phase (in us),lock_phase_dist_write (in us),time_send_msg,execute_phase_local (in us),execute_phase_dist_readonly (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),commit_phase_dist_readonly (in us),num_aborts_remote,int_aborts_ws1,95%_latency,commit_phase_local (in us),max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,num_cache_evictions,num_ro_read,commit_phase_dist_write (in us),NETWORK_DELAY,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,num_renew,abort_dist_readonly (in us),time_idle,time_recv_msg,num_cache_hits,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,lock_phase_local (in us),prepare_phase_dist_readonly (in us),execute_phase_dist_write (in us),num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,COLLECT_LOCAL_LATENCY,int_inevitable,lock_phase_dist_readonly (in us),lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,average_distributed_latency,num_aborts,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,num_cache_updates,num_cache_remove,READ_PERC,num_pre_aborts,CC (row) (in us),prepare_phase_local (in us),num_aborts_rs,time_write_queue,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,COLLECT_DISTRIBUTED_LATENCY,time_output_idle,abort_dist_write (in us),time_write_output_queue
2475.8,0,6299,0.010393,409.371,0.00353786,0,0.00942292,0,121.947,0,5,0.00557452,0,28,2933.7,0.933908,6299,6109.16,0,0.335619,5,0,0,0.05,0.0013922,2375.52,0.617523,651.518,0,0.178919,224.286,501.217,WAIT_DIE,0.00149655,0,0,0,2.84252,0,0.021931,0.00900067,0,0,0,0,0,false,0,0,0,0,0,0,28.8701,213.87,6.47924,0,0,0.00659969,6.69249,0.0249099,0,4,0.0607902,0.853306,0,0,1894.27,0,0,1430,0,0,22.1825,0.22768,0,4314,0,0,0,0,2157,0,0,2893.36,582.018,0,2717,0,1.64107,false,0,0,0,0,1880.58,TWO_PC,0.00767263,5,1911.33,0,0,0,0,0,0,0,0,0.5,0,0,1893.34,1,0.0256619,0,2152,6299,1.16965,0,0,false,0.792555,2.64398,0.0172866
2506.58,0,6322,0.00849509,360.488,0.00358375,0.6,0.00962367,0,177.07,0,36,0.00560985,0,28,2843.28,0.86284,6322,6221.73,0,0.328763,36,0,0,0.05,0.00153138,2209.97,3.81227,710.077,0,0.176083,237.479,456.609,WAIT_DIE,0.0161029,0,0,0,2.64076,0,0.0189222,0.00869528,0,0,0,0,0,false,0,0,0,0,0,0,28.4512,227.918,6.46928,0,0,0.00605698,7.62876,0.0219991,0,20,0.0614973,0.79269,0,0,2082.61,0,0,1430,0,0,22.013,0.23996,0,4594,0,0,0,2,2185,0,0,2826.05,454.343,0,2751,0,1.7927,false,0,0,0,0,2032.54,TWO_PC,0.00759169,36,2102.61,0,0,0.522301,2,0,0,0,0,0.5,0,0,2078.48,19,0.0240938,0,2141,6322,6.60706,0,0,false,0.779534,14.6111,0.0164705
2316.97,0,3695,0.0822666,559.853,0.00695002,0.8,0.00945018,0,92.3705,0,6081,0.00910014,0,28,2882.79,1.13522,3695,3444.07,0,0.387117,6065,0,0,0.05,0.00248401,2079.6,1365.72,686.967,0,0.227696,325.186,593.811,WAIT_DIE,2.52605,0,0,0,4.04862,0,0.0175047,0.0125244,0,0,0,0,0,false,0,0,0,0,0,0,30.0401,213.813,5.09041,43,0,0.0202988,21.7603,0.363303,0,3523,0.040039,0.970431,0,0,2034.18,0,0,799,0,0,20.0985,0.221453,0,5986,0,0,0,113,7874,0,0,2190,856.508,0,1668,0,1.04487,false,0,0,0,0,319.15,TWO_PC,0.015922,6081,1930.94,0,0,113.186,113,0,0,0,0,0.5,0,0,1961.24,3032,0.0214297,0,1228,3695,3386.22,0,0,false,0.761937,8333.95,0.0161022
1961.61,0,1286,0.394821,1077.79,0.0220194,0.9,0.0104898,0,239.313,0,9752,0.0335581,0,28,3027.57,1.58248,1286,1093.56,0,0.372369,9734,0,0,0.05,0.00485992,1848.09,5527.55,642.527,0,0.162634,786.915,540.988,WAIT_DIE,4.16636,0,0,0,2.63106,0,0.0176454,0.0085036,0,0,0,0,0,false,0,0,0,0,0,0,32.9273,282.51,3.18721,18,0,0.0824534,19.3387,0.731091,0,6842,0.0212001,1.35552,0,0,1931.07,0,0,330,0,0,18.9672,0.23568,0,9981,0,0,0,292,13274,0,0,1297.81,1865.64,0,534,0,0.643334,false,0,0,0,0,60.4812,TWO_PC,0.0571515,9752,1593.68,0,0,642.611,292,0,0,0,0,0.5,0,0,1529.44,5917,0.0213297,0,422,1286,18337.5,0,0,false,0.94494,48886.9,0.017668
2236.73,0,469,0.6836,3566.84,0.0641909,0.99,0.00848624,0,247.27,0,11629,0.175899,0,28,3563.13,2.4633,469,343.498,0,0.450087,11595,0,0,0.05,0.0191478,2416.23,26277.2,673.917,0,0.137354,2972.45,1090.07,WAIT_DIE,4.67504,0,0,0,3.20581,0,0.01362,0.00667939,0,0,0,0,0,false,0,0,0,0,0,0,38.2302,318.973,2.15353,333,0,0.289081,37.7541,1.04227,0,6361,0.0122404,2.04288,0,0,1795.8,0,0,113,0,0,18.7745,0.202523,0,9067,0,0,0,487,15522,0,0,1222.58,5829.89,0,184,0,0.288386,false,0,0,0,0,20.1636,TWO_PC,0.141969,11629,1635.3,0,0,3082.75,487,0,0,0,0,0.5,0,0,1619.67,8945,0.0167813,0,172,469,57713.4,0,0,false,1.16678,129259,0.0137524
2776.74,0,147,1.26064,15208.2,0.229789,1.1,0.00871253,0,344.591,0,13738,0.642015,0,28,4311.71,4.26956,147,83.6243,0,0.56329,13685,0,0,0.05,0.102488,2919.48,139705,758.347,0,0.193868,20844.3,1442.47,WAIT_DIE,5.46038,0,0,0,4.56071,0,0.0194337,0.00770948,0,0,0,0,0,false,0,0,0,0,0,0,49.2202,586.033,1.53215,1546,0,0.877171,68.4536,1.31454,0,8494,0.0113574,3.45153,0,0,1855.05,0,0,33,0,0,17.9396,0.251646,0,18034,0,0,0,604,25459,0,0,947.449,17598.5,0,56,0,0.246234,false,0,0,0,0,4.33506,TWO_PC,0.42513,13738,1971.18,0,0,14846.7,604,0,0,0,0,0.5,0,0,2264.91,16889,0.0243469,0,58,147,211046,0,0,false,1.48807,400004,0.0150257
2688.23,0,5724,0.0181497,574.72,0.0039757,0,0.00870338,0,210.57,0,0,0.00573646,0,28,3158.32,0.85123,5724,5632.28,0,0.34563,0,0,0,0.05,0.00156088,2582.91,0,712.743,0,0.16138,261.219,654.222,WAIT_DIE,0,0,0,0,3.80356,0,0.0193579,0.00862588,0,0,0,0,0,false,0,0,0,0,0,0,28.456,245.865,6.38236,0,0,0.00722662,6.49222,0.0949878,0,0,0.0555863,0.817542,0,0,2065.95,0,0,1291,0,0,21.9095,0.177046,0,4087,0,0,0,1,1963,0,0,3081.68,916.907,0,2470,0,1.80933,false,0,0,0,0,2056.76,TWO_PC,0.00860236,0,2111.75,0,0,0.308369,1,0,0,0,0,0.5,0,0,2108.99,0,0.0218653,0,1963,5724,0,0,0,false,0.795669,0,0.0143711
2547.99,0,6173,0.0119593,400.395,0.00365362,0.6,0.00936416,0,223.225,0,60,0.00555826,0,28,2963.64,0.832463,6173,6085.31,0,0.332883,60,0,0,0.05,0.00153031,2316.58,5.43326,693.64,0,0.174581,275.521,502.488,WAIT_DIE,0.0251041,0,0,0,1.82641,0,0.0180293,0.00866603,0,0,0,0,0,false,0,0,0,0,0,0,28.4035,279.709,6.66745,0,0,0.00671027,7.6609,0.0501352,0,35,0.0599686,0.7749,0,0,2028.62,0,0,1392,0,0,21.7208,0.223869,0,4444,0,0,0,2,2158,0,0,2911.49,492.559,0,2685,0,2.13398,false,0,0,0,0,1961.94,TWO_PC,0.00778376,60,2021.72,0,0,0.521523,2,0,0,0,0,0.5,0,0,2035.06,25,0.0219043,0,2096,6173,11.6028,0,0,false,0.779024,27.2117,0.0166166
2269.49,0,4008,0.0625605,430.711,0.00632105,0.8,0.00988658,0,165.001,0,5424,0.00838939,0,28,2944.54,1.13748,4008,3726.35,0,0.356243,5421,0,0,0.05,0.00206979,2004.25,1060.26,667.019,0,0.169609,302.263,356.441,WAIT_DIE,2.24553,0,0,0,2.82755,0,0.0181073,0.0102667,0,0,0,0,0,false,0,0,0,0,0,0,30.1163,201.045,4.94198,3,0,0.0142783,12.9968,0.586973,0,3286,0.0430157,1.0117,0,0,1923.3,0,0,901,0,0,20.4834,0.230497,0,7195,0,0,0,146,7875,0,0,2195.06,640.929,0,1731,0,1.0608,false,0,0,0,0,336.035,TWO_PC,0.0144528,5424,1820.71,0,0,118.36,146,0,0,0,0,0.5,0,0,1771.62,3117,0.0221899,0,1376,4008,2953.83,0,0,false,0.840464,7270.1,0.0186032
2011.55,0,1368,0.330866,1023.33,0.0211466,0.9,0.0113717,0,122.84,0,10235,0.0338371,0,28,3115.57,1.5509,1368,1175.2,0,0.377983,10231,0,0,0.05,0.00553402,1965.01,6337.19,619.484,0,0.1697,780.026,495.854,WAIT_DIE,4.16099,0,0,0,4.41376,0,0.0195529,0.00865466,0,0,0,0,0,false,0,0,0,0,0,0,32.5935,252.156,3.40203,20,0,0.0896467,21.215,0.884308,0,5044,0.0212995,1.31013,0,0,1797.44,0,0,322,0,0,19.094,0.221445,0,9186,0,0,0,287,13044,0,0,1422.28,1694.55,0,582,0,0.522191,false,0,0,0,0,64.292,TWO_PC,0.0515643,10235,1553.4,0,0,647.744,287,0,0,0,0,0.5,0,0,1457.38,7444,0.0221137,0,464,1368,17492.3,0,0,false,0.932131,43623.3,0.0166132
