prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,CC (index) (in us),cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,prepare_phase_dist_write (in us),time_wait_buffer,num_home_txn,Throughput,time_waiting_for_job,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,average_local_latency,network (in us),abort_local (in us),commit_phase (in us),lock_phase_dist_write (in us),time_send_msg,execute_phase_local (in us),execute_phase_dist_readonly (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),commit_phase_dist_readonly (in us),num_aborts_remote,int_aborts_ws1,95%_latency,commit_phase_local (in us),max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,num_cache_evictions,num_ro_read,commit_phase_dist_write (in us),NETWORK_DELAY,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,num_renew,abort_dist_readonly (in us),time_idle,time_recv_msg,num_cache_hits,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,lock_phase_local (in us),prepare_phase_dist_readonly (in us),execute_phase_dist_write (in us),num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,COLLECT_LOCAL_LATENCY,int_inevitable,lock_phase_dist_readonly (in us),lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,average_distributed_latency,num_aborts,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,num_cache_updates,num_cache_remove,READ_PERC,num_pre_aborts,CC (row) (in us),prepare_phase_local (in us),num_aborts_rs,time_write_queue,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,COLLECT_DISTRIBUTED_LATENCY,time_output_idle,abort_dist_write (in us),time_write_output_queue
6817.45,0,1708,0.0961781,3870.79,0.0113398,0,0.00253032,0,145.748,0,0,0.0299442,0,28,10214.1,1.25353,1708,1561.87,0,0.403561,0,0,0,0.05,0.00147514,12703,0,651.579,0,0.0391431,208.395,6989.39,WAIT_DIE,0,0,0,0,2.76907,0,0.00352046,0.00199416,0,0,0,0,0,false,0,0,0,0,0,0,30.6196,197.093,5.99072,0,0,0.0437048,5.08895,0.105891,0,0,0.0164738,1.06537,0,0,1844.88,0,0,367,0,0,23.1117,0.031798,0,938,0,0,0,0,600,0,0,11006.8,6486.29,0,741,0,0.437846,false,0,0,0,0,1836.56,TWO_PC,0.0295566,0,1982.29,0,0,0,0,0,0,0,0,0.5,0,0,1992.26,0,0.00442574,0,600,1708,0,0,0,false,1.00863,0,0.00449801
6520.71,0,1777,0.10122,3905.46,0.011147,0.6,0.00271089,0,154.686,0,146,0.0282862,0,28,9974.25,1.34086,1777,1589.36,0,0.397767,146,0,0,0.05,0.00154085,12327.3,233.448,603.364,0,0.0493103,231.153,6797.77,WAIT_DIE,0.067537,0,0,0,2.33764,0,0.00430018,0.00230663,0,0,0,0,0,false,0,0,0,0,0,0,31.3057,221.292,6.30482,0,0,0.0369795,7.34909,0.146899,0,139,0.0171733,1.15014,0,0,1662.84,0,0,381,0,0,23.1207,0.0350631,0,1023,0,0,0,0,792,0,0,9996.38,6523.9,0,756,0,0.502928,false,0,0,0,0,1339,TWO_PC,0.0282129,146,1791.82,0,0,0,0,0,0,0,0,0.5,0,0,1845.44,13,0.00521268,0,640,1777,117.452,0,0,false,1.03653,50.351,0.0046474
13994.1,0,564,0.410957,10726.1,0.0426744,0.8,0.00117212,0,163.514,0,3155,0.120828,0,28,23297.5,4.60431,564,306.252,0,0.648099,3147,0,0,0.05,0.0114182,28013.1,12337.5,592.021,0,0.0216528,1263.07,16247.7,WAIT_DIE,1.29274,0,0,0,2.4203,0,0.00210137,0.00102713,0,0,0,0,0,false,0,0,0,0,0,0,51.5654,226.522,4.70828,8,0,0.167101,15.5676,0.784647,0,1221,0.00598168,3.76739,0,0,1672.81,0,0,125,0,0,22.1789,0.0197313,0,791,0,0,0,14,3379,0,0,19261.4,18847,0,242,0,0.172922,false,0,0,0,0,97.8227,TWO_PC,0.100903,3155,1618.83,0,0,730.386,14,0,0,0,0,0.5,0,0,3699.86,1954,0.00260416,0,197,564,17362.2,0,0,false,1.78184,34551.3,0.00209911
4578.83,0,667,0.772606,3548.25,0.0455116,0.9,0.00395143,0,254.709,0,7684,0.0901787,0,28,8396.6,5.93025,667,313.648,0,0.732238,7631,0,0,0.05,0.010366,7915.77,12604.7,690.268,0,0.0614661,1341,3289.46,WAIT_DIE,3.23223,0,0,0,2.91847,0,0.0056949,0.00287325,0,0,0,0,0,false,0,0,0,0,0,0,59.5444,318.758,3.02668,163,0,0.188554,26.5055,1.0588,0,4067,0.0096901,4.87003,0,0,1933.46,0,0,149,0,2539.31,20.1203,0.0676848,0,3677,0,0,0,93,9242,0,0,3818,6391.91,0,284,0,0.312353,false,0,0,0,0,49.3948,TWO_PC,0.110546,7684,1655.75,0,0,1119.44,93,0,0,0,0,0.5,0,0,1832.38,4890,0.00722895,0,234,667,36694.3,0,0,false,2.01166,87679.5,0.00683341
11376.5,0,151,1.52738,15685.5,0.222098,0.99,0.00196508,0,209.864,0,12042,0.612692,0,28,25134.1,4.67255,151,81.9127,0,0.641739,12005,0,0,0.05,0.0769549,26228.9,100290,796.819,0,0.0297161,8432.94,8564.77,WAIT_DIE,4.54714,0,0,0,2.67042,0,0.00303528,0.00147487,0,0,0,0,0,false,0,0,0,0,0,0,51.6159,419.419,1.5829,275,0,1.09638,151.759,1.54575,0,4002,0.0031483,3.75538,0,0,1876.49,0,0,29,0,0,19.0381,0.0495487,0,1973,0,0,0,71,12944,0,0,489.88,26929.7,0,63,0,0.114477,false,0,0,0,0,9.22063,TWO_PC,0.448422,12042,1966.47,0,0,7721.28,71,0,0,0,0,0.5,0,0,3503.66,8865,0.00372772,0,59,151,194239,0,0,false,1.77186,390030,0.00339136
10874.6,0,69,2.61554,50923.1,0.748145,1.1,0.00234374,0,469.309,0,22193,2.13234,0,28,22842.2,9.52555,69,23.3108,0,1.04823,22182,0,0,0.05,0.403799,15800.5,564716,727.307,0,0.0399595,42132.5,1027.97,WAIT_DIE,5.36583,0,0,0,3.02729,0,0.00472596,0.0019333,0,0,0,0,0,false,0,0,0,0,0,0,82.8799,869.759,0.6042,457,0,2.21835,7.07876,2.61554,0,7952,0.00278978,7.82564,0,0,1998.79,0,0,15,0,0,18.2247,0.0511509,0,4957,0,0,0,303,26013,0,0,730.585,91057.3,0,29,0,0.126097,false,0,0,0,0,1.91139,TWO_PC,1.35419,22193,2095.03,0,0,48473.2,303,0,0,0,0,0.5,0,0,5804.51,18029,0.00579712,0,25,69,685620,0,0,false,2.85495,1.23724e+06,0.00406787
16000.6,0,789,0.11114,8364.92,0.0252849,0,0.00122858,0,43.5912,0,0,0.0935112,0,28,26585.7,1.519,789,680.519,0,0.44716,0,0,0,0.05,0.00145807,29427.7,0,919.368,0,0.0156275,105.538,14273.2,WAIT_DIE,0,0,0,0,2.18385,0,0.00152755,0.000749076,0,0,0,0,0,false,0,0,0,0,0,0,32.4635,87.0684,4.5603,0,0,0.0975619,3.77812,0.159607,0,0,0.00761486,1.28836,0,0,2502.98,0,0,168,0,0,23.5208,0.0143487,0,443,0,0,0,0,289,0,0,25288.6,14418.6,0,332,0,0.120095,false,0,0,0,0,2495.63,TWO_PC,0.0665078,0,2326.27,0,0,0,0,0,0,0,0,0.5,0,0,2086.57,0,0.00194187,0,289,789,0,0,0,false,1.03757,0,0.00246611
13628.8,0,903,0.13075,8540.84,0.0228235,0.6,0.00141797,0,214.411,0,1,0.0990201,0,28,20980.1,1.51073,903,780.889,0,0.420539,1,0,0,0.05,0.00131496,25020.5,0,613.021,0,0.0216016,243.475,14720.9,WAIT_DIE,0.000331358,0,0,0,1.17851,0,0.00247012,0.00114723,0,0,0,0,0,false,0,0,0,0,0,0,32.3785,250.249,5.79345,0,0,0.107585,5.03568,0.16951,0,1,0.00872059,1.27879,0,0,1648.34,0,0,193,0,0,23.4138,0.0137282,0,562,0,0,0,1,373,0,0,24065.4,14310.5,0,376,0,0.281196,false,0,0,0,0,1468.47,TWO_PC,0.0594653,1,1833.94,0,0,3.36632,1,0,0,0,0,0.5,0,0,1741.41,38,0.0027697,0,334,903,40.89,0,0,false,1.10739,110.55,0.0029729
9797.02,0,778,0.451416,5849.14,0.0321578,0.8,0.00192198,0,263.346,0,5892,0.0862133,0,28,15618.9,3.71876,778,475.348,0,0.583989,5889,0,0,0.05,0.0102788,17782.1,12061.6,621.277,0,0.0270427,996.716,8162.38,WAIT_DIE,2.34556,0,0,0,2.44726,0,0.00258065,0.00143371,0,0,0,0,0,false,0,0,0,0,0,0,45.8275,292.18,4.41558,3,0,0.124586,42.8376,0.840495,0,2564,0.00819154,3.01584,0,0,1633.63,0,0,170,0,0,21.0153,0.0225908,0,836,0,0,0,15,6234,0,0,13517.9,9906.2,0,321,0,0.303085,false,0,0,0,0,76.811,TWO_PC,0.0695884,5892,1588.53,0,0,714.658,15,0,0,0,0,0.5,0,0,2621.23,3356,0.00322638,0,287,778,15890.3,0,0,false,1.5737,29585,0.00285178
21303.6,0,232,1.34577,16015.3,0.148749,0.9,0.00124695,0,357.523,0,6889,0.394913,0,28,42503.3,6.28256,232,105.594,0,0.773597,6889,0,0,0.05,0.0405624,40911.3,51647.7,562.586,0,0.0163525,3830.85,16366.1,WAIT_DIE,2.64518,0,0,0,3.27529,0,0.0017602,0.000813464,0,0,0,0,0,false,0,0,0,0,0,0,61.5185,452.811,3.43725,0,0,0.735816,16.6894,1.81401,0,2716,0.00291657,5.01268,0,0,1550.23,0,0,48,0,0,20.901,0.0152586,0,616,0,0,0,16,7015,0,0,20330.8,30639.3,0,101,0,0.148762,false,0,0,0,0,18.3952,TWO_PC,0.342964,6889,1575,0,0,2811.36,16,0,0,0,0,0.5,0,0,4344.33,4203,0.00221238,0,83,232,110868,0,0,false,2.13665,247046,0.00180797
