prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,CC (index) (in us),cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,prepare_phase_dist_write (in us),time_wait_buffer,num_home_txn,Throughput,time_waiting_for_job,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,average_local_latency,network (in us),abort_local (in us),commit_phase (in us),lock_phase_dist_write (in us),time_send_msg,execute_phase_local (in us),execute_phase_dist_readonly (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),commit_phase_dist_readonly (in us),num_aborts_remote,int_aborts_ws1,95%_latency,commit_phase_local (in us),max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,num_cache_evictions,num_ro_read,commit_phase_dist_write (in us),NETWORK_DELAY,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,num_renew,abort_dist_readonly (in us),time_idle,time_recv_msg,num_cache_hits,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,lock_phase_local (in us),prepare_phase_dist_readonly (in us),execute_phase_dist_write (in us),num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,COLLECT_LOCAL_LATENCY,int_inevitable,lock_phase_dist_readonly (in us),lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,average_distributed_latency,num_aborts,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,num_cache_updates,num_cache_remove,READ_PERC,num_pre_aborts,CC (row) (in us),prepare_phase_local (in us),num_aborts_rs,time_write_queue,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,COLLECT_DISTRIBUTED_LATENCY,time_output_idle,abort_dist_write (in us),time_write_output_queue
3804.27,0,4151,0.0122733,394.646,0.00531791,0,0.00625503,0,176.994,0,1,0.0082479,0,28,4207.09,0.565961,4151,4090.55,0,0.363369,1,0,0,0.05,0.00231359,3044.16,0,1117.91,0,0.0876507,213.256,529.32,WAIT_DIE,0.000811934,0,0,0,1.29037,0,0.0091477,0.00490566,0,0,0,0,0,false,0,0,0,0,0,0,28.4138,189.444,5.78034,0,0,0.00882138,6.05529,0.030889,0,0,0.0402741,0.528647,0,0,3195.82,1,0,929,0,0,14.6133,0.076533,0,2380,0,0,0,1,1449,0,0,4130.46,530.689,0,1775,0,10.684,false,0,0,0,0,3182.99,TWO_PC,0.0109321,1,3367.67,0,0,2.24058,1,0,0,0,0,0.5,0,0,3305.17,1,0.0115207,0,1447,4151,1.08083,0,0,false,0.883955,3.10058,0.00899503
5146.66,0,3183,0.0134336,528.702,0.00697024,0,0.0047715,0,182.136,0,2,0.0111282,0,28,6015.57,0.46816,3183,3111.49,0,0.362771,2,0,0,0.05,0.00272987,4144.27,0,1290.01,0,0.0769721,202.747,775.827,WAIT_DIE,0.000645415,0,0,0,1.20218,0,0.00644418,0.00355799,0,0,0,0,0,false,0,0,0,0,0,0,28.6435,193.812,6.04407,0,0,0.0117574,5.99909,0.0273145,0,0,0.0308133,0.426058,0,0,3711.33,2,0,705,0,0,10.8835,0.0587465,0,1820,0,0,0,0,1106,0,0,6178.05,777.082,0,1375,0,15.1967,false,0,0,0,0,3692.47,TWO_PC,0.0149666,2,4213.2,0,0,0,0,0,0,0,0,0.5,0,0,3920.81,2,0.00815905,0,1103,3183,4.86744,0,0,false,0.911762,14.0463,0.00714342
7236.8,0,2224,0.0424653,981.275,0.0102189,0,0.00344406,0,175.733,0,0,0.0153419,0,28,8480.88,0.434876,2224,2167.39,0,0.368176,0,0,0,0.05,0.00375783,6144.96,0,2000.84,0,0.0811935,199.918,1511,WAIT_DIE,0,0,0,0,1.37631,0,0.00475506,0.00280257,0,0,0,0,0,false,0,0,0,0,0,0,28.7314,206.091,5.81524,0,0,0.0177995,5.85233,0.0718339,0,0,0.02168,0.382835,0,0,5551.95,3,0,493,0,0,10.1106,0.0456945,0,1300,0,0,0,0,800,0,0,8418.56,1564.13,0,931,0,16.1538,false,0,0,0,0,5543.3,TWO_PC,0.0217196,0,5627.42,0,0,0,0,0,0,0,0,0.5,0,0,5541.97,0,0.00595374,0,800,2224,0,0,0,false,0.845369,0,0.00509561
8580.93,0,2053,0.0247383,530.168,0.0111528,0,0.00314904,0,34.7853,0,1,0.0175371,0,28,10482.8,0.356997,2053,1998.47,0,0.364711,1,0,0,0.05,0.00397427,6583.97,0,2036.41,0,0.0450302,55.7823,868.744,WAIT_DIE,0.000388557,0,0,0,1.43995,0,0.00411387,0.00209739,0,0,0,0,0,false,0,0,0,0,0,0,28.7639,53.175,5.35792,0,0,0.0187598,4.78333,0.0524826,0,4,0.0199148,0.312566,0,0,5733.7,4,0,464,0,0,7.6132,0.0606376,0,1194,0,0,0,0,734,0,0,10283.2,875.425,0,861,0,19.1086,false,0,0,0,0,5678.35,TWO_PC,0.024218,1,6418.74,0,0,0,0,0,0,0,0,0.5,0,0,6055.46,1,0.005085,0,728,2053,5.26836,0,0,false,0.952861,14.8571,0.00391365
10167.9,0,1711,0.0437814,822.404,0.0135126,0,0.00262127,0,190.725,0,0,0.0202291,0,28,12609.3,0.353223,1711,1649.47,0,0.361358,0,0,0,0.05,0.00482009,7991.86,0,2522.27,0,0.0547672,211.021,1060.75,WAIT_DIE,0,0,0,0,1.39924,0,0.0035866,0.00195355,0,0,0,0,0,false,0,0,0,0,0,0,29.0445,201.967,5.79831,0,0,0.022363,5.68119,0.102003,0,0,0.016603,0.311792,0,0,6995.69,5,0,369,0,0,6.78337,0.0358783,0,986,0,0,0,0,616,0,0,12220.3,1400.19,0,726,0,20.2186,false,0,0,0,0,6987.02,TWO_PC,0.0289643,0,7642.77,0,0,0,0,0,0,0,0,0.5,0,0,7053.27,0,0.00439753,0,616,1711,0,0,0,false,0.912382,0,0.00376087
3832.06,0,4098,0.0122724,456.649,0.00539883,0,0.00618528,0,40.3717,0,1,0.00845772,0,28,4161.83,0.575962,4098,4047.11,0,0.343012,1,0,0,0.05,0.00232175,3136.33,0,1109.19,0,0.113377,139.641,694.921,WAIT_DIE,0.00028175,0,0,0,1.53223,0,0.00878554,0.00463372,0,0,0,0,0,false,0,0,0,0,0,0,28.352,131.599,5.7748,0,0,0.00921686,5.94811,0.0271317,0,0,0.0398056,0.522082,0,0,3169.87,1,0,910,0,0,15.1638,0.0984963,0,2379,0,0,0,0,1431,0,0,4193.26,695.129,0,1759,0,10.0556,false,0,0,0,0,3156.78,TWO_PC,0.011146,1,3353.07,0,0,0,0,0,0,0,0,0.5,0,0,3377.29,1,0.0112194,0,1429,4098,0.930766,0,0,false,0.85833,2.66919,0.00867406
5340.83,0,3086,0.0240198,526.238,0.00726061,0,0.00463884,0,149.185,0,1,0.0112807,0,28,6319.31,0.407634,3086,3046.73,0,0.320517,1,0,0,0.05,0.00282902,4268.98,0,1391.28,0,0.0608047,184.403,683.878,WAIT_DIE,0.000549407,0,0,0,1.35577,0,0.00683793,0.00301826,0,0,0,0,0,false,0,0,0,0,0,0,28.3609,167.222,5.63869,0,0,0.0124633,5.55884,0.0569658,0,1,0.0298948,0.417388,0,0,3979.79,2,0,673,0,0,10.82,0.0708009,0,1760,0,0,0,1,1079,0,0,6314.8,852.393,0,1337,0,15.1602,false,0,0,0,0,3960.39,TWO_PC,0.015539,1,4329.78,0,0,1.01499,1,0,0,0,0,0.5,0,0,4063.09,1,0.00833838,0,1076,3086,2.26826,0,0,false,0.919506,6.50542,0.00689733
6808.67,0,2528,0.0219647,441.844,0.00899544,0,0.00383976,0,39.7666,0,0,0.0141669,0,28,8290.66,0.357067,2528,2478.42,0,0.36602,0,0,0,0.05,0.00331104,5329.76,0,1744.92,0,0.0585613,136.81,593.292,WAIT_DIE,0,0,0,0,1.43036,0,0.00542477,0.00275189,0,0,0,0,0,false,0,0,0,0,0,0,28.5601,130.035,5.74161,0,0,0.0153133,5.84738,0.0660506,0,3,0.0245209,0.350863,0,0,4923.56,3,0,557,0,0,8.51652,0.055774,0,1447,0,0,0,0,897,0,0,8157.76,714.959,0,1077,0,17.982,false,0,0,0,0,4898.08,TWO_PC,0.019385,0,5205.08,0,0,0,0,0,0,0,0,0.5,0,0,4880.78,0,0.00673466,0,894,2528,0,0,0,false,0.929254,0,0.00504222
8509.16,0,2068,0.0215404,526.997,0.0110624,0,0.00317267,0,53.1419,0,5,0.0174198,0,28,10271.3,0.34415,2068,2015.68,0,0.367788,5,0,0,0.05,0.00405321,6558.84,11.1727,2021.57,0,0.0488102,143.273,733.319,WAIT_DIE,0.00244357,0,0,0,1.5003,0,0.0042447,0.00229972,0,0,0,0,0,false,0,0,0,0,0,0,28.7268,155.121,5.82451,0,0,0.0184828,6.01222,0.041974,0,8,0.020055,0.30498,0,0,5692.59,4,0,469,0,0,7.40199,0.0417324,0,1208,0,0,0,0,746,0,0,10226.1,848.334,0,866,0,19.3996,false,0,0,0,0,5584.17,TWO_PC,0.0238281,5,6523.76,0,0,0,0,0,0,0,0,0.5,0,0,6087.85,5,0.00521247,0,733,2068,4.6787,0,0,false,0.946769,0,0.00447303
9844.87,0,1822,0.0241357,506.07,0.0127122,0,0.00278499,0,201.602,0,0,0.0199473,0,28,12190.8,0.312256,1822,1766,0,0.437232,0,0,0,0.05,0.0046157,7363.47,0,2361.24,0,0.0551691,223.934,706.066,WAIT_DIE,0,0,0,0,1.50427,0,0.00380148,0.002842,0,0,0,0,0,false,0,0,0,0,0,0,28.8879,213.017,5.62465,0,0,0.0213034,5.70897,0.0283879,0,0,0.0176724,0.273624,0,0,6628.88,5,0,398,0,0,5.78251,0.0371508,0,1053,0,0,0,0,648,0,0,12052.9,721.098,0,776,0,21.3641,false,0,0,0,0,6620.23,TWO_PC,0.0273808,0,7605.22,0,0,0,0,0,0,0,0,0.5,0,0,6753.39,0,0.00469099,0,648,1822,0,0,0,false,0.941857,0,0.00398399
