prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,CC (index) (in us),cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,prepare_phase_dist_write (in us),time_wait_buffer,num_home_txn,Throughput,time_waiting_for_job,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,average_local_latency,network (in us),abort_local (in us),commit_phase (in us),lock_phase_dist_write (in us),time_send_msg,execute_phase_local (in us),execute_phase_dist_readonly (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),commit_phase_dist_readonly (in us),num_aborts_remote,int_aborts_ws1,95%_latency,commit_phase_local (in us),max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,num_cache_evictions,num_ro_read,commit_phase_dist_write (in us),NETWORK_DELAY,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,num_renew,abort_dist_readonly (in us),time_idle,time_recv_msg,num_cache_hits,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,lock_phase_local (in us),prepare_phase_dist_readonly (in us),execute_phase_dist_write (in us),num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,COLLECT_LOCAL_LATENCY,int_inevitable,lock_phase_dist_readonly (in us),lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,average_distributed_latency,num_aborts,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,num_cache_updates,num_cache_remove,READ_PERC,num_pre_aborts,CC (row) (in us),prepare_phase_local (in us),num_aborts_rs,time_write_queue,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,COLLECT_DISTRIBUTED_LATENCY,time_output_idle,abort_dist_write (in us),time_write_output_queue
2577.76,0,6090,0.0108375,433.621,0.00369715,0,0.00916452,0,128.102,0,0,0.00563942,0,28,3057.99,0.883598,6090,5998.96,0,0.331349,0,0,0,0.05,0.00149323,2395.89,0,685.771,0,0.173149,231.306,535.846,WAIT_DIE,0,0,0,0,4.17883,0,0.0168653,0.00863615,0,0,0,0,0,false,0,0,0,0,0,0,28.4249,219.348,6.33418,0,0,0.00672366,6.64633,0.0644819,0,0,0.0590129,0.814917,0,0,2001.01,0,0,1373,0,0,22.084,0.215,0,4286,0,0,0,0,2074,0,0,2904.86,623.767,0,2643,0,1.64124,false,0,0,0,0,1991.72,TWO_PC,0.00796472,0,2064.31,0,0,0,0,0,0,0,0,0.5,0,0,2030.99,0,0.0204576,0,2074,6090,0,0,0,false,0.783826,0,0.0161354
3772.56,0,4035,0.0174739,611.941,0.00540003,0,0.00614295,0,158.404,0,0,0.00860928,0,28,4377.84,0.656088,4035,3894.73,0,0.358852,0,0,0,0.05,0.00213355,3796.14,0,1015.52,0,0.115544,232.852,821.392,WAIT_DIE,0,0,0,0,4.21781,0,0.0103403,0.00534537,0,0,0,0,0,false,0,0,0,0,0,0,29.0084,227.381,6.13409,0,0,0.00982192,6.29931,0.0417018,0,0,0.0391092,0.596455,0,0,2900.67,1,0,899,0,0,14.338,0.16728,0,2817,0,0,0,0,1407,0,0,4303.88,943.959,0,1729,0,11.0312,false,0,0,0,0,2891.83,TWO_PC,0.0115012,0,3023.46,0,0,0,0,0,0,0,0,0.5,0,0,3003.75,0,0.0133195,0,1407,4035,0,0,0,false,0.8719,0,0.0108262
5596.22,0,2699,0.0252489,885.262,0.00799365,0,0.00421245,0,155.338,0,0,0.0130589,0,28,6508.59,0.469427,2699,2653.14,0,0.369645,0,0,0,0.05,0.00307978,5708.42,0,1512.17,0,0.0762016,239.275,1266.54,WAIT_DIE,0,0,0,0,3.67085,0,0.00675326,0.00346288,0,0,0,0,0,false,0,0,0,0,0,0,28.484,227.733,6.49221,0,0,0.0149861,6.37256,0.0678866,0,0,0.0262986,0.428553,0,0,4257.5,2,0,586,0,0,11.7299,0.105968,0,1952,0,0,0,0,956,0,0,6481.48,1433.36,0,1157,0,14.166,false,0,0,0,0,4248.49,TWO_PC,0.0169527,0,4507.73,0,0,0,0,0,0,0,0,0.5,0,0,4393.99,0,0.00866643,0,956,2699,0,0,0,false,0.888581,0,0.00754588
7241.85,0,2079,0.0255429,1121.95,0.0103196,0,0.00329143,0,205.471,0,0,0.0174534,0,28,8498.02,0.415818,2079,2030.81,0,0.372355,0,0,0,0.05,0.00376012,7633.26,0,1955.82,0,0.0635431,274.79,1607.11,WAIT_DIE,0,0,0,0,4.2074,0,0.00557633,0.0029758,0,0,0,0,0,false,0,0,0,0,0,0,28.6645,260.937,6.20946,0,0,0.0194703,6.45969,0.0766014,0,0,0.0203199,0.392639,0,0,5498.11,3,0,467,0,0,9.81937,0.121866,0,1558,0,0,0,0,738,0,0,8539.11,1818.23,0,874,0,16.454,false,0,0,0,0,5489.04,TWO_PC,0.0222387,0,5613.07,0,0,0,0,0,0,0,0,0.5,0,0,5487.99,0,0.00727892,0,738,2079,0,0,0,false,0.925208,0,0.00613511
8713.33,0,1815,0.028405,1210.7,0.0121133,0,0.0028405,0,67.4851,0,0,0.0206238,0,28,10681.3,0.38499,1815,1762.07,0,0.368441,0,0,0,0.05,0.00420067,9010.59,0,2189.28,0,0.0541301,162.976,1743.79,WAIT_DIE,0,0,0,0,6.12442,0,0.00418606,0.00239041,0,0,0,0,0,false,0,0,0,0,0,0,28.841,159.69,5.6819,0,0,0.023167,5.6847,0.0578866,0,0,0.0176556,0.349436,0,0,6150.22,4,0,403,0,0,8.31389,0.0828163,0,1314,0,0,0,0,645,0,0,10272.6,2123.53,0,767,0,18.3834,false,0,0,0,0,6141.69,TWO_PC,0.0264665,0,6653.06,0,0,0,0,0,0,0,0,0.5,0,0,6239.14,0,0.00519789,0,645,1815,0,0,0,false,0.944089,0,0.00526021
10738.1,0,1411,0.0555355,2099.88,0.0154873,0,0.00219888,0,106.779,0,0,0.0263266,0,28,13466,0.411885,1411,1366.1,0,0.378007,0,0,0,0.05,0.00506166,11861.8,0,2649.35,0,0.0408667,177.187,3342.9,WAIT_DIE,0,0,0,0,5.43571,0,0.00321808,0.00181097,0,0,0,0,0,false,0,0,0,0,0,0,28.9204,171.894,5.63776,0,0,0.0319261,5.67403,0.126702,0,0,0.0137034,0.368486,0,0,7392.29,5,0,305,0,0,8.92013,0.0558259,0,1005,0,0,0,0,505,0,0,12705.6,3637.35,0,601,0,17.7108,false,0,0,0,0,7383.81,TWO_PC,0.0341916,0,7790.78,0,0,0,0,0,0,0,0,0.5,0,0,7447.53,0,0.00402053,0,505,1411,0,0,0,false,0.963321,0,0.00346737
2538.62,0,6276,0.00845594,325.128,0.00358426,0,0.0094539,0,104.79,0,1,0.00566799,0,28,2913.48,0.843481,6276,6215.79,0,0.328391,1,0,0,0.05,0.00153044,2246.13,0,719.715,0,0.179924,222.814,391.192,WAIT_DIE,0.000740617,0,0,0,5.12145,0,0.0171022,0.00924955,0,0,0,0,0,false,0,0,0,0,0,0,28.2712,213.098,6.55126,0,0,0.00644598,7.03441,0.0117625,0,0,0.0608854,0.776407,0,0,2110.22,0,0,1413,0,0,22.1675,0.220494,0,4475,0,0,0,0,2128,0,0,2841.1,412.847,0,2736,0,1.63604,false,0,0,0,0,2099.53,TWO_PC,0.00759051,1,2097.51,0,0,0,0,0,0,0,0,0.5,0,0,2090.98,1,0.0207775,0,2127,6276,0.796461,0,0,false,0.771312,2.35007,0.0170378
3918.11,0,3877,0.0226945,600.895,0.00565441,0,0.00597203,0,75.9322,0,1,0.00865035,0,28,4409.42,0.569663,3877,3817.61,0,0.342721,1,0,0,0.05,0.00232055,3865.84,0,1134.27,0,0.124363,170.808,716.814,WAIT_DIE,0.000835101,0,0,0,5.12934,0,0.00945395,0.00481468,0,0,0,0,0,false,0,0,0,0,0,0,28.4356,161.617,5.86996,0,0,0.0100697,6.01395,0.0996313,0,0,0.0377563,0.547991,0,0,3246.28,1,0,860,0,0,14.8319,0.135765,0,2811,0,0,0,0,1352,0,0,4265.73,1058.13,0,1667,0,10.4014,false,0,0,0,0,3232.8,TWO_PC,0.0118949,1,3258.96,0,0,0,0,0,0,0,0,0.5,0,0,3340.89,1,0.0123229,0,1350,3877,1.1389,0,0,false,0.79696,3.27075,0.00923989
5425.54,0,2793,0.0226053,789.5,0.00772404,0,0.00436673,0,151.249,0,0,0.0129315,0,28,6297.33,0.445794,2793,2749.67,0,0.359871,0,0,0,0.05,0.002963,5453.13,0,1508.99,0,0.0966687,181.91,1127.1,WAIT_DIE,0,0,0,0,3.73746,0,0.0061909,0.00339305,0,0,0,0,0,false,0,0,0,0,0,0,28.4412,171.952,6.21861,0,0,0.0144898,5.92511,0.0719215,0,0,0.0272712,0.405284,0,0,4267.74,2,0,612,0,0,11.3933,0.103046,0,2035,0,0,0,0,985,0,0,6238.9,1317.49,0,1196,0,14.5371,false,0,0,0,0,4258.93,TWO_PC,0.0164631,0,4384.97,0,0,0,0,0,0,0,0,0.5,0,0,4291.35,0,0.00769895,0,985,2793,0,0,0,false,0.863778,0,0.00728034
7265.99,0,2063,0.030359,1237.15,0.0103474,0,0.00318338,0,100.719,0,0,0.0174918,0,28,9110.06,0.463331,2063,2008.79,0,0.371028,0,0,0,0.05,0.00349469,8026.68,0,1844.3,0,0.0620882,226.33,1738.13,WAIT_DIE,0,0,0,0,2.8194,0,0.00519552,0.00284225,0,0,0,0,0,false,0,0,0,0,0,0,28.7556,216.555,6.18385,0,0,0.020212,6.37385,0.0998495,0,0,0.0199497,0.419051,0,0,5200.52,3,0,466,0,0,10.5111,0.0818738,0,1447,0,0,0,0,730,0,0,8332.01,2117.87,0,867,0,15.6736,false,0,0,0,0,5191.58,TWO_PC,0.0228607,0,5378.55,0,0,0,0,0,0,0,0,0.5,0,0,5140.33,0,0.00657769,0,730,2063,0,0,0,false,0.931399,0,0.00658054
