prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,CC (index) (in us),cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,prepare_phase_dist_write (in us),time_wait_buffer,num_home_txn,Throughput,time_waiting_for_job,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,average_local_latency,network (in us),abort_local (in us),commit_phase (in us),lock_phase_dist_write (in us),time_send_msg,execute_phase_local (in us),execute_phase_dist_readonly (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),commit_phase_dist_readonly (in us),num_aborts_remote,int_aborts_ws1,95%_latency,commit_phase_local (in us),max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,num_cache_evictions,num_ro_read,commit_phase_dist_write (in us),NETWORK_DELAY,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,num_renew,abort_dist_readonly (in us),time_idle,time_recv_msg,num_cache_hits,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,lock_phase_local (in us),prepare_phase_dist_readonly (in us),execute_phase_dist_write (in us),num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,COLLECT_LOCAL_LATENCY,int_inevitable,lock_phase_dist_readonly (in us),lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,average_distributed_latency,num_aborts,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,num_cache_updates,num_cache_remove,READ_PERC,num_pre_aborts,CC (row) (in us),prepare_phase_local (in us),num_aborts_rs,time_write_queue,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,COLLECT_DISTRIBUTED_LATENCY,time_output_idle,abort_dist_write (in us),time_write_output_queue,sum_throughput
2559.14,0,6174,0.0104626,372.272,0.00365425,0,0.00925318,0,42.3809,0,0,0.00566352,0,28,2974.22,0.860735,6174,6081.57,0,0.331306,0,0,0,0.05,0.00140591,2376.8,0.0,722.84,0,0.142601,74.0706,551.756,WAIT_DIE,0.0,0,0,0,1.69373,0,0.013734200000000002,0.006634,0,0,0,0,0,False,0,0,0,0,0,0,28.4256,71.2047,4.2975900000000005,0,0,0.00688046,4.1672,0.069246,0,0,0.05966609999999999,0.772772,0,0,2105.97,0,0,1391,0,0,23.1026,0.20083800000000002,0,4270,0,0,0,0,2111,0,0,2888.85,631.4540000000001,0,2672,0,0.6245609999999999,False,0,0,0,0,2099.52,TWO_PC,0.0079816,0,2102.24,0,0,0,0,0,0,0,0,0.5,0,0,2059.57,0,0.017765,0,2111,6174,0.0,0,0,False,0.8195819999999999,0.0,0.0125735,23762.17
3809.67,0,4015,0.014756,585.285,0.00546933,0,0.00612814,0,181.977,0,0,0.00872239,0,28,4374.77,0.655345,4015,3883.42,0,0.359428,0,0,0,0.05,0.00223731,3738.86,0.0,1074.38,0,0.113568,267.731,741.9810000000001,WAIT_DIE,0.0,0,0,0,3.89935,0,0.0105705,0.00592991,0,0,0,0,0,False,0,0,0,0,0,0,28.9487,257.11,6.31466,0,0,0.0099554,6.59817,0.0396139,0,0,0.0389505,0.595251,0,0,3066.83,1,0,890,0,0,14.331,0.148652,0,2822,0,0,0,0,1401,0,0,4260.0,876.508,0,1724,0,11.0328,False,0,0,0,0,3057.81,TWO_PC,0.011499700000000002,0,3135.78,0,0,0,0,0,0,0,0,0.5,0,0,3117.97,0,0.013558500000000001,0,1401,4015,0.0,0,0,False,0.8735959999999999,0.0,0.010528399999999999,15295.13
5726.94,0,2636,0.025260499999999998,988.262,0.00821241,0,0.00416717,0,212.713,0,25,0.0134148,0,28,6732.38,0.47308,2636,2591.01,0,0.36077800000000004,25,0,0,0.05,0.0031590999999999998,5901.51,0.0,1486.96,0,0.0798721,259.13,1551.78,WAIT_DIE,0.00233414,0,0,0,3.8963400000000004,0,0.00665145,0.00383259,0,0,0,0,0,False,0,0,0,0,0,0,28.4862,244.555,6.1011,0,0,0.015367500000000001,6.26227,0.07135280000000001,0,25,0.025808299999999996,0.435946,0,0,4180.81,2,0,573,0,0,11.8713,0.128829,0,1963,0,0,0,0,960,0,0,6504.66,1522.56,0,1128,0,14.0395,False,0,0,0,0,4063.07,TWO_PC,0.017405700000000003,25,4554.77,0,0,0,0,0,0,0,0,0.5,0,0,4498.46,0,0.00853865,0,935,2636,10.2523,0,0,False,0.899774,28.9037,0.00736769,10624.36
7262.2,0,2097,0.0253226,1124.26,0.010337299999999999,0,0.00331507,0,163.203,0,0,0.017754,0,28,8657.91,0.419034,2097,2048.44,0,0.290497,0,0,0,0.05,0.00367289,7527.43,0.0,1950.8,0,0.0526428,246.421,1694.16,WAIT_DIE,0.0,0,0,0,4.24967,0,0.00520884,0.00226672,0,0,0,0,0,False,0,0,0,0,0,0,28.6638,241.53,6.3122,0,0,0.020031599999999997,6.429930000000001,0.0762169,0,0,0.020450599999999996,0.393339,0,0,5508.99,3,0,478,0,0,9.933019999999999,0.0948993,0,1556,0,0,0,0,741,0,0,8483.03,1796.78,0,878,0,16.4051,False,0,0,0,0,5499.62,TWO_PC,0.0225328,0,5713.63,0,0,0,0,0,0,0,0,0.5,0,0,5419.63,0,0.00671422,0,741,2097,0.0,0,0,False,0.943995,0.0,0.00647028,8232.06
8716.89,0,1799,0.027398200000000004,1261.04,0.0122316,0,0.00282822,0,108.366,0,0,0.020885499999999998,0,28,10598.2,0.382594,1799,1747.02,0,0.372123,0,0,0,0.05,0.00430956,8969.54,0.0,2253.65,0,0.0558014,226.68900000000002,2243.51,WAIT_DIE,0.0,0,0,0,3.5675,0,0.00430362,0.00241279,0,0,0,0,0,False,0,0,0,0,0,0,28.8331,215.05700000000002,6.18182,0,0,0.023305799999999998,6.21526,0.047252999999999996,0,0,0.017505700000000003,0.345574,0,0,6294.16,4,0,393,0,0,8.27475,0.0775991,0,1318,0,0,0,0,643,0,0,10338.2,1887.95,0,763,0,18.4395,False,0,0,0,0,6284.96,TWO_PC,0.026474,0,6714.26,0,0,0,0,0,0,0,0,0.5,0,0,6296.39,0,0.00554913,0,643,1799,0.0,0,0,False,0.939142,0.0,0.00528042,7033.969999999999
10817.5,0,1368,0.06404800000000001,2135.7,0.0159725,0,0.00216471,0,144.14,0,0,0.027028700000000003,0,28,12605.4,0.413076,1368,1326.54,0,0.437249,0,0,0,0.05,0.0056292,11663.3,0.0,3019.24,0,0.047183499999999996,219.03,3459.39,WAIT_DIE,0.0,0,0,0,5.74291,0,0.00328896,0.00173563,0,0,0,0,0,False,0,0,0,0,0,0,28.8752,197.555,5.88927,0,0,0.033444,5.83754,0.140543,0,0,0.013368000000000001,0.382228,0,0,8453.21,5,0,297,0,0,8.5957,0.06114069999999999,0,1018,0,0,0,0,488,0,0,12876.7,3619.88,0,583,0,17.9717,False,0,0,0,0,8444.32,TWO_PC,0.034624300000000004,0,8418.47,0,0,0,0,0,0,0,0,0.5,0,0,8272.03,0,0.00406861,0,488,1368,0.0,0,0,False,0.8548040000000001,0.0,0.00389958,5406.0599999999995
2574.81,0,6206,0.00868601,331.19300000000004,0.00363951,0,0.00941616,0,103.583,0,0,0.00575868,0,28,2963.71,0.83339,6206,6145.85,0,0.337424,0,0,0,0.05,0.0015402,2253.69,0.0,733.5160000000001,0,0.182988,221.78799999999998,407.6,WAIT_DIE,0.0,0,0,0,1.9852599999999998,0,0.0178533,0.00896643,0,0,0,0,0,False,0,0,0,0,0,0,28.2741,211.22299999999998,6.4069400000000005,0,0,0.00653538,6.7742,0.0130209,0,0,0.06030459999999999,0.770991,0,0,2151.65,0,0,1399,0,0,22.2324,0.224253,0,4484,0,0,0,0,2103,0,0,2891.45,421.034,0,2704,0,1.5999700000000001,False,0,0,0,0,2142.53,TWO_PC,0.00773532,0,2168.07,0,0,0,0,0,0,0,0,0.5,0,0,2108.51,0,0.0225388,0,2103,6206,0.0,0,0,False,0.763183,0.0,0.0162078,24935.410000000003
3918.44,0,4013,0.020033000000000002,511.77,0.00547435,0,0.00608838,0,45.0098,0,1,0.00864862,0,28,4583.56,0.5896520000000001,4013,3951.65,0,0.345357,1,0,0,0.05,0.00211912,3800.51,0.0,1042.87,0,0.0963149,71.7613,764.388,WAIT_DIE,0.000846745,0,0,0,2.36002,0,0.00836216,0.00434571,0,0,0,0,0,False,0,0,0,0,0,0,28.4347,72.6984,4.30273,0,0,0.00993147,4.2128,0.08747360000000001,0,0,0.038860000000000006,0.5286569999999999,0,0,3000.65,1,0,896,0,0,15.0275,0.131211,0,2790,0,0,0,0,1393,0,0,4379.24,895.0260000000001,0,1726,0,10.2114,False,0,0,0,0,2989.8,TWO_PC,0.0117989,1,3120.32,0,0,0,0,0,0,0,0,0.5,0,0,3143.22,1,0.010257200000000001,0,1391,4013,1.27094,0,0,False,0.8766930000000001,3.6666199999999995,0.00853605,15424.900000000001
5380.7,0,2849,0.0167067,804.242,0.00759463,0,0.0044076,0,166.601,0,0,0.012805700000000001,0,28,6379.25,0.45453000000000005,2849,2804.03,0,0.35790700000000003,0,0,0,0.05,0.00283595,5395.33,0.0,1409.68,0,0.08340189999999999,197.757,1042.12,WAIT_DIE,0.0,0,0,0,4.88885,0,0.00673995,0.00390809,0,0,0,0,0,False,0,0,0,0,0,0,28.449,188.606,6.04269,0,0,0.0140623,5.89248,0.0839261,0,0,0.027721600000000002,0.410084,0,0,4013.21,2,0,625,0,0,11.2993,0.113544,0,2037,0,0,0,0,998,0,0,6341.55,1400.31,0,1226,0,14.6934,False,0,0,0,0,4004.53,TWO_PC,0.0164206,0,4253.34,0,0,0,0,0,0,0,0,0.5,0,0,4078.03,0,0.00881233,0,998,2849,0.0,0,0,False,0.894077,0.0,0.00759557,11150.27
7863.92,0,1884,0.039822199999999995,1374.35,0.0114664,0,0.00303868,0,380.02099999999996,0,0,0.019688499999999998,0,28,9371.8,0.42204200000000003,1884,1834.53,0,0.367033,0,0,0,0.05,0.00439018,8280.87,0.0,2228.1,0,0.0603096,398.77099999999996,1813.41,WAIT_DIE,0.0,0,0,0,4.76466,0,0.00584681,0.00257607,0,0,0,0,0,False,0,0,0,0,0,0,28.7551,444.00699999999995,6.30406,0,0,0.023415400000000003,6.4119,0.0995333,0,0,0.018565900000000003,0.411984,0,0,6272.43,3,0,415,0,0,9.87394,0.0645994,0,1497,0,0,0,0,668,0,0,8533.38,2271.4,0,801,0,16.4138,False,0,0,0,0,6263.01,TWO_PC,0.0243476,0,6261.96,0,0,0,0,0,0,0,0,0.5,0,0,6259.57,0,0.0067449,0,668,1884,0.0,0,0,False,0.86964,0.0,0.00500959,7839.55
