prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,network (in us),commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,num_pre_aborts
32574.6,0,77,0.108397,112.471,0.0356908,0,0.000181644,0,0,0,0.0571877,0,16,0,461,0,432.021,0.000966578,0,0,0,0,0.01,0,7416.86,0.266134,0.0034743,26.7078,WAIT_DIE,0,0,0,0,2.16395,0,0.00089361,0.000129408,0,0,0.165025,0,0,false,0,0,0,0,0,0,17.0733,79.7717,0.00838217,0,0.0753058,0.115577,0,0,0.00397052,0.150021,0,0,0,34,15.689,0,81,0,0,0,0,0,0,0,381,0,0.0479926,0,0,0,31363.9,ONE_PC,0,30522.8,0,0,0,0,0,0,0.228446,0.5,0.000375458,0,0,0,0,46,461,0,0,0,0,1.0528,0
32501.6,0,96,0.0907448,176.303,0.0379152,0,0.000294556,0,0,0,0.0750703,0,16,0,432,0,410.849,0.00118685,0,0,0,0,0.02,0,13019.8,0.473315,0.00399552,35.8117,WAIT_DIE,0,0,0,0,2.17206,0,0.0011213,0.000157998,0,0,0.162557,0,0,false,0,0,0,0,0,0,16.8237,116.141,0.00316039,0,0.08245,0.129808,0,0,0.00381096,0.124251,0,0,0,48,15.6739,0,119,0,0,0,0,0,0,0,311,0,0.0627423,0,0,0,28894.2,ONE_PC,0,27630,0,0,0,0,0,0,0.187713,0.5,0.000467762,0,0,0,0,73,432,0,0,0,0,1.03667,0
40303.9,0,252,0.166753,195.574,0.0509739,0,0.000437308,0,0,0,0.0831484,0,16,0,324,0,302.139,0.00067139,0,0,0,0,0.04,0,24349.1,0.698525,0.00486368,38.3739,WAIT_DIE,0,0,0,0,2.26133,0,0.000601198,0.000216154,0,0,0.165524,0,0,false,0,0,0,0,0,0,17.1577,115.627,0.00415494,0,0.0992415,0.175231,0,0,0.0030819,0.159578,0,0,0,47,15.688,0,156,0,0,0,0,0,0,0,168,0,0.0481116,0,0,0,38095.7,ONE_PC,0,34253.9,0,0,0,0,0,0,0.244032,0.5,0.000610042,0,0,0,0,109,324,0,0,0,0,1.0562,0
37715.2,0,78,0.101268,252.461,0.0512,0,0.000614828,0,0,0,0.075387,0,16,0,321,0,303.643,0.00127296,0,0,0,0,0.06,0,27866.8,1.22003,0.00601072,47.1205,WAIT_DIE,0,0,0,0,2.32581,0,0.00118384,0.00032663,0,0,0.164024,0,0,false,0,0,0,0,0,0,16.9146,150.064,0.00495556,0,0.0835841,0.101607,0,0,0.00323318,0.134345,0,0,0,64,15.6748,0,200,0,0,0,0,0,0,0,114,0,0.0618789,0,0,0,39124,ONE_PC,0,34170.5,0,0,0,0,0,0,0.202211,0.5,0.000936282,0,0,0,0,143,321,0,0,0,0,1.03978,0
38379.1,0,269,0.0921678,269.882,0.0555214,0,0.00075082,0,0,0,0.0754702,0,16,0,297,0,278.999,0.0014059,0,0,0,0,0.08,0,33338.9,1.32162,0.00532606,53.99,WAIT_DIE,0,0,0,0,2.13329,0,0.00130115,0.00029798,0,0,0.164359,0,0,false,0,0,0,0,0,0,17.0323,180.91,0.00477437,0,0.0837665,0.0922069,0,0,0.00320106,0.146206,0,0,0,67,15.6675,0,227,0,0,0,0,0,0,0,68,0,0.0690272,0,0,0,42382,ONE_PC,0,34426.8,0,0,0,0,0,0,0.222527,0.5,0.000990042,0,0,0,0,162,297,0,0,0,0,1.04766,0
39783.1,0,174,0.133641,311.967,0.0600791,0,0.000826096,0,0,0,0.0836032,0,16,0,276,0,263.056,0.00124416,0,0,0,0,0.1,0,41249.4,1.51262,0.00607112,32.5859,WAIT_DIE,0,0,0,0,1.97018,0,0.00114441,0.000294678,0,0,0.161142,0,0,false,0,0,0,0,0,0,16.7873,90.5061,0.00478265,0,0.102124,0.133661,0,0,0.00308296,0.121733,0,0,0,57,15.7001,0,228,0,0,0,0,0,0,0,41,0,0.036759,0,0,0,45571.6,ONE_PC,0,35952.8,0,0,0,0,0,0,0.181174,0.5,0.00107011,0,0,0,0,178,276,0,0,0,0,1.03192,0
32082.5,0,16,0.118406,135.573,0.0395109,0,0.000169136,0,0,0,0.0833214,0,16,0,416,0,381.414,0.000912354,0,0,0,0,0.01,0,7484.75,1.658e+16,0.00320574,35.6996,WAIT_DIE,0,0,0,0,2.40063,0,0.000861752,0.000124528,0,0,0.171086,0,0,false,0,0,0,0,0,0,17.4508,114.807,0.00518158,0,0.110154,0.145148,0,0,0.00355414,0.186402,0,0,0,31,15.6815,0,77,0,0,0,0,0,0,0,343,0,0.0578968,0,0,0,34097.5,TWO_PC,0,30510,0,0,0,0,0,0,0.278239,0.5,0.000354942,0,0,0,0,42,416,0,0,0,0,1.07623,0
31761.6,0,243,0.131805,203.073,0.0439935,0,0.000262792,0,0,0,0.106906,0,16,0,382,0,347.828,0.000550968,0,0,0,0,0.02,0,12487.7,1.5208e+16,0.00449088,52.796,WAIT_DIE,0,0,0,0,2.27834,0,0.00049049,0.000199008,0,0,0.17217,0,0,false,0,0,0,0,0,0,17.5719,174.539,0.00282595,0,0.115669,0.166094,0,0,0.00336422,0.198804,0,0,0,40,15.6599,0,106,0,0,0,0,0,0,0,275,0,0.0784508,0,0,0,34614.5,TWO_PC,0,29017.9,0,0,0,0,0,0,0.295603,0.5,0.000566492,0,0,0,0,67,382,0,0,0,0,1.08229,0
35853.8,0,143,0.249624,227.051,0.066725,0,0.00034398,0,0,0,0.1304,0,16,0,247,0,228.724,0.000936502,0,0,0,0,0.04,0,33823.6,1.18724e+16,0.00417408,49.9404,WAIT_DIE,0,0,0,0,2.24539,0,0.000882748,0.000209408,0,0,0.169897,0,0,false,0,0,0,0,0,0,17.2784,162.08,0.00578138,0,0.214751,0.24963,0,0,0.00237688,0.167931,0,0,0,35,15.6881,0,122,0,0,0,0,0,0,0,124,0,0.0501409,0,0,0,40303.3,TWO_PC,0,29114.6,0,0,0,0,0,0,0.25156,0.5,0.000603522,0,0,0,0,88,247,0,0,0,0,1.06436,0
36190.3,0,261,0.130876,225.948,0.0662292,0,0.000488868,0,0,0,0.114198,0,16,0,255,0,232.882,0.000674588,0,0,0,0,0.06,0,31807.9,1.03428e+16,0.00480352,39.9524,WAIT_DIE,0,0,0,0,2.36635,0,0.000607164,0.00022385,0,0,0.170701,0,0,false,0,0,0,0,0,0,17.5196,117.788,0.00362747,0,0.122511,0.155899,0,0,0.00256206,0.193291,0,0,0,49,15.6972,0,156,0,0,0,0,0,0,0,94,0,0.0412913,0,0,0,45185.5,TWO_PC,0,31957.9,0,0,0,0,0,0,0.287657,0.5,0.000636346,0,0,0,0,112,255,0,0,0,0,1.07872,0
