LOG_NODE,COMMIT_ALG,READ_PERC,PERC_REMOTE,ZIPF_THETA,NUM_SERVER_THREADS,CC_ALG,log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,bytes_received,int_aborts_maat_resolve_failure,cache,prepare_phase_1 (in us),num_aborts_restart,90%_latency,num_cache_misses,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,num_cache_evictions,network (in us),commit_phase (in us),time_send_msg,average_distributed_latency,CC (index) (in us),time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,int_aborts_ws1,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,average_local_latency,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,prepare_phase_2 (in us),num_pre_aborts
false,ONE_PC,0.5,0,0,28,WAIT_DIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
false,ONE_PC,0.5,0.01,0,28,WAIT_DIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
false,ONE_PC,0.5,0.02,0,28,WAIT_DIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
false,ONE_PC,0.5,0.04,0,28,WAIT_DIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
false,ONE_PC,0.5,0.06,0,28,WAIT_DIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
false,ONE_PC,0.5,0,0,28,WAIT_DIE,0,9300,0.0150831,130.979,0.00299705,0.00037204,0,0,2865.04,14,0.00387195,0,0,9300,0,9213.18,0.00534433,0.344731,14,0,0,0,0,0.107475,0.0654351,-nan,38.7633,0.00662962,0,0,0,1.26917,0,0.00434416,0.0028503,0,0,0,0,0,0,0,0,0,0,0,28.2639,130.1,0.029217,0,0,0.00392961,0.035383,0,14,0.076477,0.754453,0.00299705,0,0,0,22.3551,0,0,0,0,0,0,14,9300,0,9300,0,1.4214,0,0,0,2856.46,0,2856.52,0,0,0,0,0,0,0.826768,0.00582672,0,0,0,0,0,9300,0.892558,0,0,14,0.8557,0.0309842,0
false,ONE_PC,0.5,0.01,0,28,WAIT_DIE,0,8696,0.0175227,296.77,0.00312784,0.0028523,0,0,2829,22,0.00386982,0,0,8696,0,8471.9,0.0101257,0.376089,22,0,0,0,502.396,0.302353,0.0888645,0.00482624,42.7477,0.0115787,0,0,0,1.49828,0,0.00794244,0.00450889,0,0,0,0,0,0,0,0,0,0,0,28.7407,145.746,0.0691112,0,0,0.00437272,0.083755,0,4,0.0744136,0.811027,0.00283979,0,0,605,22.2854,0,1283,0,0,0,1,22,9987,0,7435,0,1.49984,0,0,0,2419.16,0,2768.99,0,0,0.211462,1,0,0,0.923246,0.00835759,0,18,0,0,656,8696,1.70279,0,0,22,0.833733,0.0645221,0
false,ONE_PC,0.5,0.02,0,28,WAIT_DIE,0,9572,0.00476989,259.705,0.0028428,0.00589496,0,0,2581.53,14,0.00385506,0,0,9572,0,9538.09,0.0174664,0.335123,14,0,0,0,630.699,0.442156,0.13348,0.00375487,143.566,0.00607133,0,0,0,1.37473,0,0.0143545,0.00701075,0,0,0,0,0,0,0,0,0,0,0,28.0995,166.434,0.0992251,0,0,0.00397245,0.0189999,0,8,0.0840806,0.762439,0.00250033,0,0,1216,21.9846,0,2651,0,0,0,0,14,12225,0,6959,0,1.88095,0,0,0,1947.41,0,2487.14,0,0,0,0,0,0,0.797246,0.0139437,0,6,0,0,1397,9572,1.01494,0,0,14,0.822545,0.0996689,0
false,ONE_PC,0.5,0.04,0,28,WAIT_DIE,0,8558,0.00697932,341.148,0.00310342,0.0103555,0,0,2760.77,7,0.0039777,0,0,8558,0,8437.42,0.0259464,0.388289,7,0,0,0,1283.55,0.730923,0.196658,0.00383095,42.1356,0.00207443,0,0,0,1.45323,0,0.0217525,0.0129606,0,0,0,0,0,0,0,0,0,0,0,28.4001,135.041,0.145722,0,0,0.00438685,0.0301716,0,7,0.0807102,0.78874,0.00241106,0,0,1782,22.2771,0,4222,0,0,0,0,7,12789,0,4385,0,1.5241,0,0,0,1643.12,0,2453.3,0,0,0,0,0,0,0.846938,0.0160773,0,0,0,0,2391,8558,0.635339,0,0,7,0.747204,0.126682,0
false,ONE_PC,0.5,0.06,0,28,WAIT_DIE,0,8548,0.00617337,331.918,0.00307951,0.014547,0,0,2745.98,12,0.00390401,0,0,8548,0,8520.43,0.0230933,0.323525,12,0,0,0,1594.13,0.852427,0.169298,0.00354822,33.8426,0.00438101,0,0,0,1.21136,0,0.0189614,0.00911685,0,0,0,0,0,0,0,0,0,0,0,28.0906,51.6427,0.147877,0,0,0.00402986,0.023272,0,0,0.0844494,0.757872,0.00230356,0,0,2111,23.0551,0,5265,0,0,0,0,12,13818,0,3219,0,0.689252,0,0,0,1447.7,0,2339.19,0,0,0,0,0,0,0.807418,0.0163049,0,12,0,0,3218,8548,0.622222,0,0,12,0.783579,0.130601,0
