log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,prepare_phase_1 (in us),num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,network (in us),commit_phase (in us),time_send_msg,average_distributed_latency,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,int_aborts_ws1,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,average_local_latency,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,COLLECT_LOCAL_LATENCY,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,num_aborts,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,COLLECT_DISTRIBUTED_LATENCY,time_output_idle,prepare_phase_2 (in us),num_pre_aborts
0,7869,0.00652241,451.847,0.00328779,0,0.021691,0,0,2828.68,0,0.00381224,0,28,0,7869,0,7842.77,0.0328557,0.271025,0,0,0,0.1,0,2297.87,7.11843,0.169264,0.00351258,36.543,WAIT_DIE,0,0,0,0,1.27757,0,0.0276827,0.008767,0,0,0,0,0,false,0,0,0,0,0,0,28.0936,111.361,0.183592,0,0,0.00400878,0.023184,0,0,0.0857941,0.778008,0.00230844,0,0,1999,22.5838,0,6384,0,0,0,1,14,0,0,1469,0,1.22749,false,0,0,0,1968.38,ONE_PC,0,0,2300.19,0,0,0.436548,1,0,0,0.802791,0.5,0.0224105,0,0,0,0,4401,7869,0,0,0,false,0.777648,0.14775,0
0,5116,0.00947632,389.252,0.00409205,0,0.0142223,0,0,2660.51,1,0.00558094,0,28,0,5116,0,5024.27,0.0211989,0.342853,1,0,0,0.1,0,3188.45,1040.85,0.141919,0.00449373,184.965,WAIT_DIE,0.000657275,0,0,0,1.35302,0,0.016997,0.00797408,0,0,0,0,0,false,0,0,0,0,0,0,28.5112,187.682,0.125444,0,0,0.00620507,0.0638766,0,0,0.0558229,0.785822,0.00227449,0,0,1308,22.4118,0,4212,0,0,0,0,5779,0,0,926,0,1.31261,false,0,0,0,915.297,TWO_PC,0,1,2111.13,0,0,0,0,0,0,0.875366,0.5,0.0154569,0,1,0,0,2882,5116,1.17192,0,0,false,0.825074,0.264877,0
0,7267,0.0150314,522.782,0.00357338,0,0.0202757,0,0,3042.65,5,0.00403486,0,28,0,7267,0,7149.64,0.0287215,0.322059,4,0,0,0.1,0,2561.37,6.87859,0.183036,0.00387277,74.614,WAIT_DIE,0.00316411,0,0,0,1.31755,0,0.0225818,0.0104973,0,0,0,0,0,false,0,0,0,0,0,0,28.4596,86.9782,0.176154,0,0,0.00455959,0.0927087,0,0,0.0798219,0.854187,0.00227185,0,0,1847,22.7754,1,6111,0,0,0,2,18,0,0,1359,0,0.922678,false,0,0,0,1057.84,ONE_PC,0,5,2222.39,0,0,0.652569,2,0,0,0.865225,0.5,0.0193134,0,4,0,0,4061,7267,0.922534,0,0,false,0.776302,0.145783,0
0,4917,0.00910086,433.268,0.0042732,0,0.0137184,0,0,2779.13,10,0.00594891,0,28,0,4917,0,4839.05,0.0185211,0.341104,10,0,0,0.1,0,3421.74,1058.33,0.125739,0.00474933,58.582,WAIT_DIE,0.00495633,0,0,0,1.47185,0,0.0152184,0.00769643,0,0,0,0,0,false,0,0,0,0,0,0,28.451,149.93,0.131214,0,0,0.00671101,0.0565448,0,0,0.0538096,0.778679,0.00209498,0,0,1254,22.7776,0,4053,0,0,0,0,5587,0,0,882,0,0.983929,false,0,0,0,925.129,TWO_PC,0,10,2049.39,0,0,0,0,0,0,0.871573,0.5,0.0153281,0,10,0,0,2781,4917,2.22168,0,0,false,0.842566,0.248411,0
0,6827,0.0194136,658.424,0.00360552,0,0.0189409,0,0,2939.7,0,0.00382912,0,28,0,6827,0,6804.63,0.0304101,0.352847,0,0,0,0.1,0,2761.77,7.23641,0.192998,0.00382052,159.603,WAIT_DIE,0,0,0,0,1.29104,0,0.0251928,0.0110822,0,0,0,0,0,false,0,0,0,0,0,0,28.092,164.864,0.212874,0,0,0.00417051,0.0695708,0,0,0.0746901,0.785077,0.00266749,0,0,1729,22.2796,0,5642,0,0,0,0,39,0,0,1273,0,1.47786,false,0,0,0,23368.8,ONE_PC,0,0,2400.75,0,0,0,0,0,0,0.804347,0.5,0.0202292,0,0,0,0,3825,6827,0,0,0,false,0.672034,0.161436,0
0,5134,0.0102857,416.349,0.0040647,0,0.014224,0,0,2623.48,0,0.00567491,0,28,0,5134,0,5098.59,0.0219463,0.331217,0,0,0,0.1,0,3196.99,1024.6,0.150562,0.00449812,168.89,WAIT_DIE,0,0,0,0,1.25555,0,0.0185623,0.00842652,0,0,0,0,0,false,0,0,0,0,0,0,28.1944,177.489,0.120808,0,0,0.00638903,0.0417747,0,0,0.0558974,0.760007,0.0021106,0,0,1304,22.5642,0,4164,0,0,0,0,5769,0,0,932,0,1.21022,false,0,0,0,905.582,TWO_PC,0,0,1972.48,0,0,0,0,0,0,0.831713,0.5,0.0165109,0,0,0,0,2898,5134,0,0,0,false,0.80522,0.275297,0
0,7842,0.00680216,459.911,0.00331377,0,0.0217634,0,0,2846.3,2,0.00389829,0,28,0,7842,0,7809.1,0.0304553,0.323667,2,0,0,0.1,0,2321.2,7.02977,0.220247,0.00354517,37.2168,WAIT_DIE,0.000799446,0,0,0,1.32573,0,0.0238526,0.0125693,0,0,0,0,0,false,0,0,0,0,0,0,28.1179,113.099,0.193892,0,0,0.00458974,0.0236047,0,1,0.0858717,0.779323,0.00230396,0,0,1999,22.5205,0,6488,0,0,0,1,15,0,0,1462,0,1.26775,false,0,0,0,308.555,ONE_PC,0,2,2184.79,0,0,0.199198,1,0,0,0.811983,0.5,0.0208795,0,7,0,0,4381,7842,0.364936,0,0,false,0.7205,0.161257,0
0,4808,0.0242067,465.466,0.00437334,0,0.0133594,0,0,2768.79,10,0.00575503,0,28,0,4808,0,4669.81,0.0198496,0.348073,10,0,0,0.1,0,3387.72,1137.96,0.12925,0.00481863,174.144,WAIT_DIE,0.00342116,0,0,0,1.31319,0,0.0163263,0.00781483,0,0,0,0,0,false,0,0,0,0,0,0,28.8286,179.206,0.183178,0,0,0.00629562,0.0636333,0,0,0.0524574,0.831606,0.0023407,0,0,1220,22.6014,0,3911,0,0,0,0,5441,0,0,864,0,1.12368,false,0,0,0,999.315,TWO_PC,0,10,2235.27,0,0,0,0,0,0,0.934251,0.5,0.01553,0,10,0,0,2724,4808,0.86842,0,0,false,0.849549,0.256892,0
0,8200,0.00516132,449.255,0.00316091,0,0.0224013,0,0,2703.25,7,0.00369231,0,28,0,8200,0,8057.39,0.0328568,0.3105,7,0,0,0.1,0,2144.15,7.37065,0.232783,0.00333666,165.118,WAIT_DIE,0.00322493,0,0,0,1.32008,0,0.0271233,0.0132698,0,0,0,0,0,false,0,0,0,0,0,0,28.4956,170.105,0.175058,0,0,0.00383744,0.0491723,0,0,0.0889699,0.834604,0.00239535,0,0,2089,22.0252,0,6509,0,0,0,0,22,0,0,1531,0,1.81533,false,0,0,0,976.724,ONE_PC,0,7,2260.29,0,0,0,0,0,0,0.869903,0.5,0.0238847,0,7,0,0,4580,8200,0.8676,0,0,false,0.71903,0.16638,0
0,5173,0.00866072,381.011,0.00404505,0,0.0143567,0,0,2590.45,2,0.00560338,0,28,0,5173,0,5099.64,0.0202148,0.334857,2,0,0,0.1,0,3143.24,1072.13,0.141199,0.00447232,73.6026,WAIT_DIE,0.0011015,0,0,0,1.33989,0,0.0159974,0.00773049,0,0,0,0,0,false,0,0,0,0,0,0,28.4028,101.049,0.153478,0,0,0.00624052,0.0235675,0,1,0.0563717,0.775962,0.00211095,0,0,1314,22.9541,0,4217,0,0,0,0,5832,0,0,936,0,0.767465,false,0,0,0,944.862,TWO_PC,0,2,2097.79,0,0,0,0,0,0,0.864813,0.5,0.0155157,0,1,0,0,2923,5173,1.19964,0,0,false,0.823998,0.260083,0
