log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,prepare_phase_1 (in us),num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,network (in us),commit_phase (in us),time_send_msg,average_distributed_latency,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,int_aborts_ws1,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,average_local_latency,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,prepare_phase_2 (in us),num_pre_aborts
0,7753,0.00597036,494.332,0.00330212,0,0.0213779,0,0,2803.87,12,0.0038027,0,28,0,7753,0,7725.74,0.0316131,0.307925,12,0,0,0.1,0,2337.27,1.34711,0.213002,0.00350781,157.237,WAIT_DIE,0.00548089,0,0,0,1.15831,0,0.0256811,0.0125786,0,0,0,0,0,false,0,0,0,0,0,0,28.0988,163.821,0.166019,0,0,0.00401442,0.0392687,0,4,0.0845206,0.782341,0.00240952,0,0,1970,22.0877,0,6315,0,0,0,1,12,14095,0,1452,0,1.66847,0,0,0,1271.75,ONE_PC,0,2306.58,0,0,0.054867,1,0,0,0.815925,0.5,0.0225447,0,8,0,0,4331,7753,2.40231,0,0,12,0.708474,0.16729,0
0,5147,0.0082442,343.996,0.00409952,0,0.0142888,0,0,2653.66,0,0.0057553,0,28,0,5147,0,5034.78,0.0201917,0.358832,0,0,0,0.1,0,3107.49,1101.64,0.137795,0.00452551,40.871,WAIT_DIE,0,0,0,0,1.39075,0,0.016076,0.00861526,0,0,0,0,0,false,0,0,0,0,0,0,28.6241,125.169,0.146431,0,0,0.00661546,0.0226517,0,0,0.056098,0.801546,0.00216787,0,0,1307,22.8742,0,4189,0,0,0,0,0,15135,0,930,0,0.893614,0,0,0,1085.7,TWO_PC,0,2097.77,0,0,0,0,0,0,0.898709,0.5,0.0153779,0,0,0,0,2910,5147,0,0,0,0,0.827606,0.224617,0
0,7730,0.00628923,477.66,0.00334146,0,0.0214049,0,0,2861.33,5,0.00383212,0,28,0,7730,0,7612.91,0.0319666,0.311346,5,0,0,0.1,0,2337.56,1.37467,0.211904,0.00355595,163.261,WAIT_DIE,0.00164551,0,0,0,1.29847,0,0.025443,0.0121012,0,0,0,0,0,false,0,0,0,0,0,0,28.4306,168.359,0.191898,0,0,0.00401763,0.0439447,0,2,0.0844545,0.816483,0.00240055,0,0,1965,22.0612,0,6326,0,0,0,0,5,14067,0,1435,0,1.70072,0,0,0,1243.42,ONE_PC,0,2261.29,0,0,0,0,0,0,0.859037,0.5,0.0226304,0,3,0,0,4330,7730,0.931271,0,0,5,0.739758,0.168255,0
0,4900,0.00888474,406.579,0.00429512,0,0.0136701,0,0,2762.54,1,0.00613475,0,28,0,4900,0,4871.42,0.022427,0.34343,1,0,0,0.1,0,3297.42,1124.99,0.135554,0.00471507,185.252,WAIT_DIE,0.000485686,0,0,0,1.56239,0,0.0177481,0.00754907,0,0,0,0,0,false,0,0,0,0,0,0,28.1643,187.486,0.145818,0,0,0.00679194,0.0163643,0,0,0.0535418,0.756788,0.00236064,0,0,1245,22.5657,0,4025,0,0,0,3,1,14485,0,874,0,1.20803,0,0,0,1122.93,TWO_PC,0,2201.66,0,0,2.97966,3,0,0,0.830682,0.5,0.0150674,0,1,0,0,2781,4900,0.784898,0,0,1,0.818516,0.216587,0
0,7997,0.00614595,430.95,0.00325677,0,0.0220468,0,0,2823.65,4,0.00378305,0,28,0,7997,0,7880.35,0.029547,0.314152,4,0,0,0.1,0,2234.29,1.40272,0.210551,0.00347169,38.0554,WAIT_DIE,0.00174818,0,0,0,1.39808,0,0.0241216,0.0126691,0,0,0,0,0,false,0,0,0,0,0,0,28.4145,116.675,0.177975,0,0,0.00397622,0.0229263,0,4,0.087212,0.819163,0.00232049,0,0,2027,22.4947,0,6501,0,0,0,2,8,14501,0,1493,0,1.30214,0,0,0,1264.18,ONE_PC,0,2291.44,0,0,0.694277,2,0,0,0.852783,0.5,0.0228987,0,4,0,0,4477,7997,0.607144,0,0,4,0.741716,0.159481,0
0,5144,0.00769701,362.167,0.00408873,0,0.0142171,0,0,2596.55,0,0.0057111,0,28,0,5144,0,5017.98,0.0212554,0.339578,0,0,0,0.1,0,3059.97,1129.77,0.144305,0.00449042,178.728,WAIT_DIE,0,0,0,0,1.21998,0,0.0161399,0.00803887,0,0,0,0,0,false,0,0,0,0,0,0,28.7032,183.103,0.137796,0,0,0.00632215,0.0281162,0,0,0.0559704,0.839026,0.00227573,0,0,1306,22.5028,0,4173,0,0,0,0,0,15098,0,933,0,1.22279,0,0,0,1090.14,TWO_PC,0,2076.92,0,0,0,0,0,0,0.908497,0.5,0.0161365,0,0,0,0,2905,5144,0,0,0,0,0.829349,0.238468,0
0,7704,0.0068435,453.894,0.00337661,0,0.0214229,0,0,2921.21,0,0.00392678,0,28,0,7704,0,7673.3,0.033249,0.323007,0,0,0,0.1,0,2358.89,1.35067,0.184609,0.00363029,34.985,WAIT_DIE,0,0,0,0,1.37353,0,0.0271427,0.0121703,0,0,0,0,0,false,0,0,0,0,0,0,28.112,106.262,0.195301,0,0,0.00471312,0.0237646,0,0,0.0845454,0.769327,0.00227871,0,0,1956,22.6251,0,6441,0,0,0,0,3,14163,0,1446,0,1.16048,0,0,0,1227.28,ONE_PC,0,2250.45,0,0,0,0,0,0,0.809588,0.5,0.0220887,0,3,0,0,4302,7704,0,0,0,0,0.758444,0.152146,0
0,4264,0.0382961,862.624,0.00500246,0,0.011927,0,0,2865.28,0,0.00617405,0,28,0,4264,0,4136.7,0.0163114,0.353444,0,0,0,0.1,0,4010.01,1274.32,0.153845,0.0055403,64.2382,WAIT_DIE,0,0,0,0,1.27151,0,0.0129142,0.00608582,0,0,0,0,0,false,0,0,0,0,0,0,28.8617,84.6065,0.106661,0,0,0.0070201,0.137986,0,0,0.0466479,0.831193,0.00248249,0,0,1084,23.1357,0,3508,0,0,0,0,0,12631,0,750,0,0.540092,0,0,0,1173.52,TWO_PC,0,2208.68,0,0,0,0,0,0,0.940633,0.5,0.0126041,0,0,0,0,2430,4264,0,0,0,0,0.727251,0.229017,0
0,7706,0.00748656,471.039,0.00336691,0,0.0212577,0,0,2893.29,7,0.00380026,0,28,0,7706,0,7582.19,0.0325254,0.322292,5,0,0,0.1,0,2335.78,1.42676,0.207028,0.00358559,170.329,WAIT_DIE,0.00197039,0,0,0,1.42023,0,0.0258643,0.0124736,0,0,0,0,0,false,0,0,0,0,0,0,28.4572,175.222,0.177854,0,0,0.00400671,0.0324493,0,11,0.0840748,0.815428,0.00241291,0,0,1969,22.0137,2,6307,0,0,0,2,13,14018,0,1437,0,1.79796,0,0,0,1274.68,ONE_PC,0,2315.22,0,0,0.0809737,2,0,0,0.873674,0.5,0.0221483,0,2,0,0,4300,7706,0.999125,0,0,7,0.748961,0.161083,0
0,4743,0.0181612,398.445,0.00444344,0,0.0132439,0,0,2927.93,0,0.00612174,0,28,0,4743,0,4712.15,0.0189357,0.314442,0,0,0,0.1,0,3438.68,1116.86,0.120392,0.00489777,45.9265,WAIT_DIE,0,0,0,0,1.47964,0,0.0152619,0.00695479,0,0,0,0,0,false,0,0,0,0,0,0,28.1833,147.013,0.143523,0,0,0.0072904,0.048142,0,0,0.0519528,0.789117,0.00233855,0,0,1219,22.6421,0,3926,0,0,0,1,0,14059,0,842,0,0.952302,0,0,0,1153.52,TWO_PC,0,2309.39,0,0,0.765723,1,0,0,0.815492,0.5,0.0148024,0,0,0,0,2682,4743,0,0,0,0,0.840162,0.207241,0
