log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,prepare_phase_1 (in us),num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,network (in us),commit_phase (in us),time_send_msg,average_distributed_latency,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,int_aborts_ws1,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,average_local_latency,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,COLLECT_LOCAL_LATENCY,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,num_aborts,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,COLLECT_DISTRIBUTED_LATENCY,time_output_idle,prepare_phase_2 (in us),num_pre_aborts
0,8332,0.00580104,407.336,0.00311176,0,0.0227455,0,0,2702.74,2,0.00370054,0,28,0,8332,0,8303.25,0.0270988,0.309896,2,0,0,0.1,0,2138.68,1.20065,0.195537,0.00332081,30.7544,WAIT_DIE,0.00116797,0,0,0,1.33688,0,0.0219924,0.011128,0,0,0,0,0,false,0,0,0,0,0,0,28.097,46.735,0.190415,0,0,0.0039462,0.00927294,0,2,0.0902946,0.766806,0.00220068,0,0,2119,23.0778,0,6599,0,0,0,0,2,14944,0,1555,0,0.655715,true,0,0,0,1258.8,ONE_PC,0,2,2255.23,0,0,0,0,0,0,0.814037,0.5,0.0200332,0,0,0,0,4658,8332,0.357878,0,0,false,0.748821,0.124937,0
0,4822,0.019383,501.51,0.00435157,0,0.0134542,0,0,2794.05,1,0.00562299,0,28,0,4822,0,4741.28,0.0194281,0.336981,1,0,0,0.1,0,3535.18,1054.56,0.126541,0.0048463,73.3269,WAIT_DIE,0.000696188,0,0,0,1.3889,0,0.0153923,0.00735299,0,0,0,0,0,false,0,0,0,0,0,0,28.4767,113.443,0.127691,0,0,0.00690464,0.0788243,0,0,0.0527182,0.786108,0.00208517,0,0,1222,22.9503,0,3953,0,0,0,1,1,14244,0,864,0,0.769537,true,0,0,0,1049.98,TWO_PC,0,1,2050.85,0,0,1.08335,1,0,0,0.892466,0.5,0.0149373,0,1,0,0,2736,4822,1.24602,0,0,false,0.84011,0.19916,0
0,7830,0.00758138,473.901,0.00330852,0,0.0213214,0,0,2832.56,4,0.00381022,0,28,0,7830,0,7803.39,0.0291223,0.308644,4,0,0,0.1,0,2260.88,1.37555,0.193395,0.00351602,66.8172,WAIT_DIE,0.00238698,0,0,0,1.29357,0,0.0240325,0.0121416,0,0,0,0,0,false,0,0,0,0,0,0,28.0955,96.4324,0.192724,0,0,0.00427467,0.0423063,0,4,0.0847106,0.767595,0.00239703,0,0,2004,22.6474,0,6163,0,0,0,0,4,14006,0,1452,0,1.08185,true,0,0,0,1308.26,ONE_PC,0,4,2334.54,0,0,0,0,0,0,0.803564,0.5,0.0223323,0,0,0,0,4374,7830,0.522695,0,0,false,0.725667,0.154682,0
0,5023,0.0153833,377.727,0.00415481,0,0.0140001,0,0,2729.97,1,0.00569278,0,28,0,5023,0,4977.93,0.0185451,0.33511,1,0,0,0.1,0,3316.92,1046.08,0.130091,0.00460503,73.0844,WAIT_DIE,0.000275848,0,0,0,1.39636,0,0.015263,0.00735035,0,0,0,0,0,false,0,0,0,0,0,0,28.2535,94.0869,0.11491,0,0,0.00615456,0.0545323,0,5,0.0548994,0.749488,0.00208952,0,0,1283,23.0445,0,4139,0,0,0,1,6,14849,0,899,0,0.710104,true,0,0,0,1052.86,TWO_PC,0,1,2070.07,0,0,0.90946,1,0,0,0.852407,0.5,0.0151143,0,1,0,0,2841,5023,0.839024,0,0,false,0.830774,0.197588,0
0,7946,0.00641748,435.201,0.00325486,0,0.0216431,0,0,2814.78,2,0.00381335,0,28,0,7946,0,7918.11,0.031091,0.302285,2,0,0,0.1,0,2209.03,1.38549,0.191684,0.00345613,40.107,WAIT_DIE,0.0248121,0,0,0,1.57702,0,0.02773,0.0118865,0,0,0,0,0,false,0,0,0,0,0,0,28.0986,125.673,0.138807,0,0,0.00438739,0.0337235,0,2,0.0860818,0.765563,0.00238132,0,0,2019,22.4038,0,6295,0,0,0,2,4,14263,0,1488,0,1.37763,true,0,0,0,1325.78,ONE_PC,0,2,2374.84,0,0,0.816177,2,0,0,0.794711,0.5,0.0218665,0,2,0,0,4439,7946,3.33514,0,0,false,0.752841,0.163893,0
0,5364,0.0073041,357.265,0.00394013,0,0.0148209,0,0,2539.1,3,0.00544443,0,28,0,5364,0,5336.75,0.021779,0.338754,3,0,0,0.1,0,2973.24,1040.92,0.158779,0.00432999,169.718,WAIT_DIE,0.000842616,0,0,0,1.33783,0,0.017971,0.00913227,0,0,0,0,0,false,0,0,0,0,0,0,28.143,175.081,0.135498,0,0,0.00609824,0.0234935,0,1,0.0583708,0.749263,0.00220262,0,0,1358,22.5542,0,4346,0,0,0,2,3,15729,0,983,0,1.23011,true,0,0,0,1048.81,TWO_PC,0,3,2038.5,0,0,0.282772,2,0,0,0.825049,0.5,0.0174608,0,2,0,0,3023,5364,2.62303,0,0,false,0.789718,0.229039,0
0,7749,0.00736762,483.102,0.00331566,0,0.0214627,0,0,2830.57,3,0.00389462,0,28,0,7749,0,7637.83,0.0328717,0.34385,3,0,0,0.1,0,2334.76,1.312,0.265976,0.00354162,40.971,WAIT_DIE,0.00119895,0,0,0,1.39366,0,0.0270779,0.0172514,0,0,0,0,0,false,0,0,0,0,0,0,28.4075,123.612,0.183486,0,0,0.00490387,0.0501715,0,7,0.0847805,0.811403,0.00233656,0,0,1974,22.4417,0,6408,0,0,0,0,7,14160,0,1453,0,1.32152,true,0,0,0,1217.75,ONE_PC,0,3,2223.77,0,0,0,0,0,0,0.860288,0.5,0.0213225,0,0,0,0,4322,7749,0.527859,0,0,false,0.679026,0.149976,0
0,4846,0.0185297,457.55,0.00431459,0,0.0135191,0,0,2732.66,5,0.00609492,0,28,0,4846,0,4739.7,0.018817,0.337705,5,0,0,0.1,0,3390.55,1119.21,0.144546,0.00474403,43.6824,WAIT_DIE,0.00334817,0,0,0,1.49081,0,0.0152652,0.00744017,0,0,0,0,0,false,0,0,0,0,0,0,28.628,134.417,0.140549,0,0,0.00689528,0.0621533,0,2,0.0529594,0.850506,0.00233259,0,0,1230,22.8228,0,3975,0,0,0,0,5,14326,0,863,0,0.896007,true,0,0,0,1095.28,TWO_PC,0,5,2122.61,0,0,0,0,0,0,0.889001,0.5,0.0151511,0,3,0,0,2753,4846,4.94997,0,0,false,0.814642,0.218265,0
0,7872,0.00630871,456.96,0.00330083,0,0.0217436,0,0,2841.96,2,0.0038358,0,28,0,7872,0,7853.57,0.0322175,0.312488,2,0,0,0.1,0,2275.31,1.42739,0.219904,0.00351046,168.18,WAIT_DIE,0.000729211,0,0,0,1.24241,0,0.0254945,0.012568,0,0,0,0,0,false,0,0,0,0,0,0,28.0657,172.974,0.186672,0,0,0.00408034,0.0232028,0,0,0.085965,0.772237,0.00239168,0,0,2001,22.0288,0,6452,0,0,0,1,5,14344,0,1475,0,1.7774,true,0,0,0,1228.2,ONE_PC,0,2,2232.83,0,0,0.235226,1,0,0,0.806555,0.5,0.0227339,0,5,0,0,4396,7872,0.302535,0,0,false,0.716661,0.174374,0
0,5112,0.00896388,391.464,0.00411512,0,0.0142388,0,0,2680.12,0,0.0057493,0,28,0,5112,0,5022.98,0.022034,0.343215,0,0,0,0.1,0,3196.73,1043.32,0.135411,0.00453378,193.827,WAIT_DIE,0,0,0,0,1.1742,0,0.0169704,0.00897156,0,0,0,0,0,false,0,0,0,0,0,0,28.4963,197.345,0.120207,0,0,0.0063238,0.0341512,0,0,0.0558219,0.802204,0.00221003,0,0,1294,22.4795,0,4186,0,0,0,0,0,15088,0,921,0,1.29298,true,0,0,0,1057.37,TWO_PC,0,0,2081.45,0,0,0,0,0,0,0.878519,0.5,0.0160652,0,0,0,0,2897,5112,0,0,0,false,0.827902,0.222725,0
