prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,CC (index) (in us),cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,prepare_phase_dist_write (in us),time_wait_buffer,num_home_txn,Throughput,time_waiting_for_job,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,average_local_latency,network (in us),abort_local (in us),commit_phase (in us),lock_phase_dist_write (in us),time_send_msg,execute_phase_local (in us),execute_phase_dist_readonly (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),commit_phase_dist_readonly (in us),num_aborts_remote,int_aborts_ws1,95%_latency,commit_phase_local (in us),max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,num_cache_evictions,num_ro_read,commit_phase_dist_write (in us),int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,num_renew,abort_dist_readonly (in us),time_idle,time_recv_msg,num_cache_hits,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,lock_phase_local (in us),prepare_phase_dist_readonly (in us),execute_phase_dist_write (in us),num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,COLLECT_LOCAL_LATENCY,int_inevitable,lock_phase_dist_readonly (in us),lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,average_distributed_latency,num_aborts,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,num_cache_updates,num_cache_remove,READ_PERC,num_pre_aborts,CC (row) (in us),prepare_phase_local (in us),num_aborts_rs,time_write_queue,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,COLLECT_DISTRIBUTED_LATENCY,time_output_idle,abort_dist_write (in us),time_write_output_queue
2699.9,0,4916,0.00997556,426.597,0.00427086,0,0.0137107,0,107.385,0,3,0.00583629,0,28,2816.22,0.845792,4916,4878.68,0,0.381163,3,0,0,0.1,0.000941735,3308.47,7.83243,1141.13,0,0.17459,156.659,525.309,WAIT_DIE,0.00152351,0,0,0,1.28909,0,0.017332,0.0103079,0,0,0,0,0,false,0,0,0,0,0,0,28.2142,140.172,5.75966,0,0,0.00680747,5.69903,0.0630306,0,1,0.0537252,0.746764,0,0,2004.15,0,1246,0,0,22.8045,0.135554,0,4027,0,0,0,1,2796,0,0,2854.72,467.321,0,877,0,0.936175,false,0,0,0,0,1994.05,TWO_PC,0.00680137,3,2166.7,0,0,1.34123,1,0,0,0,0,0.5,0,0,2109.52,2,0.0212184,0,2793,4916,3.22995,0,0,false,0.744554,3.22571,0.0160577
2739.23,0,5047,0.00866032,357.458,0.0041543,0,0.014056,0,45.8363,0,1,0.0058652,0,28,2896.71,0.896659,5047,4939.47,0,0.351597,1,0,0,0.1,0.000861346,3286.18,0,1056.78,0,0.128408,67.1301,412.482,WAIT_DIE,0.000340978,0,0,0,1.43681,0,0.0140743,0.00773315,0,0,0,0,0,false,0,0,0,0,0,0,28.6095,61.1072,5.21343,0,0,0.00657784,5.05173,0.0215291,0,0,0.0550938,0.800328,0,0,1862.89,0,1288,0,0,23.225,0.126524,0,4142,0,0,0,0,2858,0,0,2894.2,424.314,0,902,0,0.502035,false,0,0,0,0,1854.39,TWO_PC,0.00667847,1,2093.53,0,0,0,0,0,0,0,0,0.5,0,0,2019.11,1,0.0173151,0,2857,5047,0.837131,0,0,false,0.844779,1.47882,0.013883
2623.33,0,5269,0.00739803,360.642,0.00401103,0,0.0146268,0,182.866,0,1,0.00562895,0,28,2759.68,0.830835,5269,5236.92,0,0.330903,1,0,0,0.1,0.000929766,3076.41,0,1025.63,0,0.152054,202.231,394.659,WAIT_DIE,0.000705932,0,0,0,1.4044,0,0.0169732,0.00829957,0,0,0,0,0,false,0,0,0,0,0,0,28.1715,186.852,5.79379,0,0,0.00616626,5.93352,0.0223963,0,0,0.0574527,0.754166,0,0,1813.8,0,1338,0,0,22.5071,0.12916,0,4312,0,0,0,0,2973,0,0,2753.74,396.444,0,959,0,1.28235,false,0,0,0,0,1804.85,TWO_PC,0.00639248,1,2045.24,0,0,0,0,0,0,0,0,0.5,0,0,2018.81,1,0.021654,0,2972,5269,1.42561,0,0,false,0.800987,2.52744,0.0168172
2649.11,0,5197,0.00823457,350.478,0.00407348,0,0.0144231,0,61.7546,0,0,0.00582857,0,28,2805.57,0.896212,5197,5090.47,0,0.33519,0,0,0,0.1,0.000880331,3099.58,0,1073.89,0,0.139826,88.3306,411.812,WAIT_DIE,0,0,0,0,1.2645,0,0.0157511,0.00817318,0,0,0,0,0,false,0,0,0,0,0,0,28.586,85.0829,5.37879,0,0,0.00653744,5.38278,0.0234183,0,0,0.0566294,0.812541,0,0,1901.26,0,1325,0,0,23.0441,0.130165,0,4242,0,0,0,0,2929,0,0,2748.45,407.132,0,943,0,0.659553,false,0,0,0,0,1893.4,TWO_PC,0.00654602,0,2112.64,0,0,0,0,0,0,0,0,0.5,0,0,2023.56,0,0.0197571,0,2929,5197,0,0,0,false,0.832892,0,0.0160197
2706.81,0,5112,0.00856028,399.737,0.00417173,0,0.0142024,0,221.071,0,1,0.00569117,0,28,2864.1,0.902932,5112,4980.3,0,0.318866,1,0,0,0.1,0.0009393,3151.99,0,1062.05,0,0.126946,262.642,432.73,WAIT_DIE,0.000660096,0,0,0,1.32632,0,0.0175222,0.0073392,0,0,0,0,0,false,0,0,0,0,0,0,28.7405,224.897,5.87347,0,0,0.00660058,5.93908,0.0439397,0,0,0.0557435,0.810102,0,0,1875.37,0,1300,0,0,22.3567,0.116047,0,4183,0,0,0,1,2889,0,0,2865.27,428.749,0,924,0,1.45693,false,0,0,0,0,1866.3,TWO_PC,0.00666097,1,2107.01,0,0,0.322968,1,0,0,0,0,0.5,0,0,1992.24,1,0.0209734,0,2888,5112,3.14067,0,0,false,0.848048,5.55924,0.0167788
2845.82,0,4548,0.0237659,640.452,0.00467933,0,0.0127418,0,181.917,0,0,0.00593354,0,28,2988.06,0.892479,4548,4463.99,0,0.369384,0,0,0,0.1,0.0010072,3693.28,0,1193.06,0,0.146694,195.571,738.625,WAIT_DIE,0,0,0,0,1.39933,0,0.0152327,0.00784724,0,0,0,0,0,false,0,0,0,0,0,0,28.527,185.017,5.77026,0,0,0.0067616,5.75314,0.0986956,0,0,0.0498502,0.806013,0,0,2090.64,0,1149,0,0,22.5999,0.113039,0,3772,0,0,0,0,2590,0,0,2954.29,735.861,0,809,0,1.09806,false,0,0,0,0,2082.49,TWO_PC,0.0074554,0,2191.68,0,0,0,0,0,0,0,0,0.5,0,0,2236.37,0,0.0188961,0,2590,4548,0,0,0,false,0.742626,0,0.0142422
2816.81,0,4706,0.0194857,450.517,0.00435604,0,0.013156,0,184.203,0,2,0.00580275,0,28,3059.67,0.867642,4706,4637.71,0,0.344925,2,0,0,0.1,0.000903707,3642.09,0,1087.05,0,0.121167,209.625,514.809,WAIT_DIE,0.000654665,0,0,0,1.32794,0,0.0155554,0.00732405,0,0,0,0,0,false,0,0,0,0,0,0,28.4123,189.318,5.75578,0,0,0.00651595,5.87183,0.104573,0,0,0.0514861,0.776255,0,0,1906.57,0,1193,0,0,22.5961,0.122687,0,3874,0,0,0,0,2680,0,0,2859.77,497.094,0,836,0,1.16746,false,0,0,0,0,1896.16,TWO_PC,0.0069727,2,1983.97,0,0,0,0,0,0,0,0,0.5,0,0,1977.83,2,0.0192182,0,2677,4706,1.66185,0,0,false,0.845064,2.92143,0.0152041
2581.95,0,5228,0.00745238,359.873,0.00398799,0,0.0145258,0,171.507,0,0,0.00570931,0,28,2704.7,0.826058,5228,5198.87,0,0.328544,0,0,0,0.1,0.0009271,3086.81,0,1046.16,0,0.154616,189.388,384.157,WAIT_DIE,0,0,0,0,1.23294,0,0.0170247,0.00830644,0,0,0,0,0,false,0,0,0,0,0,0,28.1569,176.217,5.74819,0,0,0.00628269,5.88944,0.0151352,0,0,0.0570289,0.751489,0,0,1847.03,0,1325,0,0,22.5797,0.118704,0,4279,0,0,0,0,2954,0,0,2706.29,403.75,0,949,0,1.20846,false,0,0,0,0,1838.9,TWO_PC,0.00634427,0,2022.54,0,0,0,0,0,0,0,0,0.5,0,0,2026.25,0,0.0206475,0,2954,5228,0,0,0,false,0.798531,0,0.0166394
2807.2,0,4647,0.0191035,568.36,0.0045442,0,0.0129925,0,27.9799,0,1,0.00604144,0,28,2933.39,0.88485,4647,4552.12,0,0.365241,1,0,0,0.1,0.000938823,3600.46,0,1167.47,0,0.146339,86.3847,667.608,WAIT_DIE,0.000351347,0,0,0,1.22465,0,0.0147753,0.00733368,0,0,0,0,0,false,0,0,0,0,0,0,28.5836,77.4827,5.13178,0,0,0.00713007,5.04454,0.0773996,0,1,0.0509055,0.809436,0,0,2057.36,0,1185,0,0,23.1348,0.125918,0,3849,0,0,0,0,2633,0,0,2960.78,675.666,0,830,0,0.550155,false,0,0,0,0,2049.09,TWO_PC,0.0073044,1,2177.62,0,0,0,0,0,0,0,0,0.5,0,0,2187.76,0,0.0186976,0,2632,4647,1.17414,0,0,false,0.769939,2.07304,0.0129429
2787.23,0,4840,0.0182315,435.084,0.00432363,0,0.0134096,0,178.512,0,1,0.0057982,0,28,2941.17,0.879609,4840,4762.33,0,0.337579,1,0,0,0.1,0.000950303,3380.98,0,1100.11,0,0.13743,190.833,492.458,WAIT_DIE,0.000658835,0,0,0,1.32087,0,0.0169494,0.00770589,0,0,0,0,0,false,0,0,0,0,0,0,28.4567,182.993,5.90179,0,0,0.00658267,5.94998,0.095217,0,0,0.0527206,0.783191,0,0,1935.91,0,1229,0,0,22.5935,0.129852,0,3910,0,0,0,0,2745,0,0,2927.93,486.561,0,867,0,1.15437,false,0,0,0,0,1926.87,TWO_PC,0.00690034,1,2197.47,0,0,0,0,0,0,0,0,0.5,0,0,2100.61,1,0.0205012,0,2744,4840,1.1979,0,0,false,0.830023,2.11291,0.0156562
