prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,network (in us),commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,num_pre_aborts
31583.4,0,164,0.091198,185.367,0.0344908,0,0.000201192,0,0,0,0.0578235,0,16,0,473,0,449.691,0.00102445,0,0,0,0,0.01,0,6811.18,1.04976,0.00481794,50.9921,WAIT_DIE,0,0,0,0,2.23377,0,0.000954028,0.000248308,0,0,0.162284,0,0,false,0,0,0,0,0,0,16.8294,172.397,0.00350531,0,0.0679843,0.0981995,0,0,0.00408952,0.122517,0,0,0,36,15.6449,0,80,0,0,0,0,0,0,0,391,0,0.0941863,0,0,0,29557.3,ONE_PC,0,29114.5,0,0,0,0,0,0,0.18662,0.5,0.000975052,0,0,0,0,46,473,0,0,0,0,1.03573,0
31777.6,0,448,0.0890331,245.765,0.0372292,0,0.000314264,0,0,0,0.0716717,0,16,0,438,0,405.921,0.00108223,0,0,0,0,0.02,0,11586.4,0.72421,0.00638705,61.4291,WAIT_DIE,0,0,0,0,2.42727,0,0.000994076,0.000289442,0,0,0.166345,0,0,false,0,0,0,0,0,0,17.2644,213.743,0.00717959,0,0.0753301,0.112235,0,0,0.00389,0.167625,0,0,0,48,15.6299,0,122,0,0,0,0,0,0,0,316,0,0.106288,0,0,0,30119.7,ONE_PC,0,28473.8,0,0,0,0,0,0,0.258377,0.5,0.000586486,0,0,0,0,74,438,0,0,0,0,1.06064,0
36129.4,0,397,0.128054,250.333,0.0460757,0,0.000511748,0,0,0,0.0753002,0,16,0,355,0,335.316,0.0014,0,0,0,0,0.04,0,20555,1.22984,0.00635696,54.1682,WAIT_DIE,0,0,0,0,2.13683,0,0.00130366,0.000302442,0,0,0.16359,0,0,false,0,0,0,0,0,0,16.9392,180.195,0.00432692,0,0.0809556,0.128142,0,0,0.00341862,0.134373,0,0,0,54,15.6615,0,180,0,0,0,0,0,0,0,179,0,0.0771231,0,0,0,37877.1,ONE_PC,0,34003.5,0,0,0,0,0,0,0.203933,0.5,0.000927068,0,0,0,0,122,355,0,0,0,0,1.04084,0
37405.6,0,359,0.108574,227.279,0.0506663,0,0.00064018,0,0,0,0.0753323,0,16,0,325,0,309.54,0.00145181,0,0,0,0,0.06,0,26475.8,1.17738,0.00612166,33.1992,WAIT_DIE,0,0,0,0,2.12337,0,0.00133844,0.000279744,0,0,0.159333,0,0,false,0,0,0,0,0,0,16.7991,99.5445,0.00470218,0,0.0779785,0.108655,0,0,0.00331461,0.118432,0,0,0,63,15.6954,0,211,0,0,0,0,0,0,0,116,0,0.0436865,0,0,0,40615.6,ONE_PC,0,35305.2,0,0,0,0,0,0,0.181958,0.5,0.000863452,0,0,0,0,146,325,0,0,0,0,1.03248,0
39336.7,0,52,0.112137,290.288,0.0560382,0,0.000745036,0,0,0,0.0754923,0,16,0,293,0,274.061,0.00114541,0,0,0,0,0.08,0,33887.9,1.59668,0.00641076,51.4471,WAIT_DIE,0,0,0,0,2.26058,0,0.00102735,0.000327486,0,0,0.164401,0,0,false,0,0,0,0,0,0,17.1057,159.492,0.00895986,0,0.0824634,0.112174,0,0,0.00316242,0.150699,0,0,0,66,15.677,0,226,0,0,0,0,0,0,0,67,0,0.0617705,0,0,0,43706.9,ONE_PC,0,36339.8,0,0,0,0,0,0,0.232106,0.5,0.000908812,0,0,0,0,160,293,0,0,0,0,1.05129,0
38256.5,0,204,0.100374,276.542,0.061089,0,0.000820188,0,0,0,0.0835478,0,16,0,270,0,256.548,0.00161093,0,0,0,0,0.1,0,43047.5,1.43359,0.00628182,43.956,WAIT_DIE,0,0,0,0,2.2638,0,0.00150127,0.000305724,0,0,0.162158,0,0,false,0,0,0,0,0,0,16.839,136.196,0.00579968,0,0.0955844,0.120529,0,0,0.00305113,0.123052,0,0,0,56,15.6883,0,230,0,0,0,0,0,0,0,41,0,0.0498727,0,0,0,43627.1,ONE_PC,0,33679.7,0,0,0,0,0,0,0.188121,0.5,0.000770516,0,0,0,0,173,270,0,0,0,0,1.03462,0
31163.1,0,0,0.17396,214.43,0.0646355,0,0.00010848,0,0,0,0.115549,0,16,0,253,0,233.604,0.000495722,0,0,0,0,0.01,0,7865.23,29254.3,0.00294641,58.7709,WAIT_DIE,0,0,0,0,2.21366,0,0.000450828,0.00024088,0,0,0.170223,0,0,false,0,0,0,0,0,0,17.3284,203.607,0.0020052,0,0.133291,0.199031,0,0,0.00216156,0.172731,0,0,0,15,15.6776,0,45,0,0,0,0,0,0,0,212,0,0.0606959,0,0,0,58664.4,TWO_PC,0,29410.7,0,0,0,0,0,0,0.259065,0.5,0.000862464,0,0,0,0,26,253,0,0,0,0,1.06863,0
31907.7,0,0,0.123978,198.574,0.0667426,0,0.000176648,0,0,0,0.114287,0,16,0,247,0,227.648,0.000728814,0,0,0,0,0.02,0,13854.1,27664.6,0.00293554,54.3936,WAIT_DIE,0,0,0,0,2.22462,0,0.000671462,0.000145476,0,0,0.16986,0,0,false,0,0,0,0,0,0,17.3601,172.787,0.00262141,0,0.116166,0.135062,0,0,0.00219098,0.179893,0,0,0,20,15.6856,0,65,0,0,0,0,0,0,0,182,0,0.0527612,0,0,0,56620.4,TWO_PC,0,28956.6,0,0,0,0,0,0,0.266638,0.5,0.000582848,0,0,0,0,45,247,0,0,0,0,1.07074,0
36362.9,0,18,0.13234,211.382,0.0798581,0,0.000288348,0,0,0,0.123939,0,16,0,212,0,191.233,0.00114216,0,0,0,0,0.04,0,27056.4,29189.6,0.00362408,45.2761,WAIT_DIE,0,0,0,0,2.23116,0,0.00107106,0.00013013,0,0,0.172974,0,0,false,0,0,0,0,0,0,17.7375,149.455,0.0113986,0,0.125438,0.149834,0,0,0.00204036,0.21684,0,0,0,28,15.6953,0,106,0,0,0,0,0,0,0,110,0,0.0415599,0,0,0,61410.2,TWO_PC,0,32221.5,0,0,0,0,0,0,0.321915,0.5,0.000378284,0,0,0,0,74,212,0,0,0,0,1.093,0
37745.4,0,0,0.163471,236.541,0.0822546,0,0.000374364,0,0,0,0.123233,0,16,0,203,0,183.874,0.000823332,0,0,0,0,0.06,0,32289.7,28408.8,0.00391664,49.1632,WAIT_DIE,0,0,0,0,2.2144,0,0.000764188,0.000215276,0,0,0.17288,0,0,false,0,0,0,0,0,0,17.6642,154.865,0.00346446,0,0.131963,0.163478,0,0,0.00203441,0.211267,0,0,0,40,15.6985,0,121,0,0,0,0,0,0,0,79,0,0.041006,0,0,0,59714.5,TWO_PC,0,31306.9,0,0,0,0,0,0,0.312608,0.5,0.000601502,0,0,0,0,84,203,0,0,0,0,1.08871,0
36587.3,0,28,0.133791,263.018,0.0866627,0,0.0004439,0,0,0,0.122888,0,16,0,189,0,171.886,0.000690064,0,0,0,0,0.08,0,41578.9,27262.3,0.00351209,127.617,WAIT_DIE,0,0,0,0,2.0966,0,0.00062825,0.00020796,0,0,0.170549,0,0,false,0,0,0,0,0,0,17.5931,153.428,0.00384824,0,0.128037,0.133841,0,0,0.00199945,0.204657,0,0,0,46,15.6995,0,141,0,0,0,0,0,0,0,47,0,0.0390807,0,0,0,56735.2,TWO_PC,0,29474.3,0,0,0,0,0,0,0.299758,0.5,0.000887398,0,0,0,0,96,189,0,0,0,0,1.08414,0
42638.5,0,0,0.151767,306.041,0.094852,0,0.000515816,0,0,0,0.113082,0,16,0,172,0,162.788,0.00105031,0,0,0,0,0.1,0,40916.8,31680.7,0.00449809,50.5266,WAIT_DIE,0,0,0,0,2.22287,0,0.000977872,0.000247804,0,0,0.165395,0,0,false,0,0,0,0,0,0,16.9055,155.466,0.00413351,0,0.133659,0.151864,0,0,0.00192276,0.128335,0,0,0,38,15.7012,0,148,0,0,0,0,0,0,0,26,0,0.037831,0,0,0,71091.6,TWO_PC,0,39412.6,0,0,0,0,0,0,0.19331,0.5,0.000825018,0,0,0,0,108,172,0,0,0,0,1.04105,0
33239.7,0,24,0.0849346,238.726,0.0362381,0,0.000198908,0,0,0,0.058473,0,16,0,452,0,425.019,0.000992388,0,0,0,0,0.01,0,6852.53,0.871496,0.00497649,63.0531,WAIT_DIE,0,0,0,0,2.32533,0,0.000919152,0.00029857,0,0,0.164836,0,0,false,0,0,0,0,0,0,17.0157,219.03,0.00625791,0,0.0706504,0.124883,0,0,0.0039118,0.142498,0,0,0,34,15.6273,0,83,0,0,0,0,0,0,0,373,0,0.111657,0,0,0,31669,ONE_PC,0,31219.7,0,0,0,0,0,0,0.217,0.5,0.000806788,0,0,0,0,45,452,0,0,0,0,1.04722,0
34913.7,0,293,0.0893941,234.512,0.040254,0,0.000294772,0,0,0,0.0641437,0,16,0,406,0,386.204,0.00116074,0,0,0,0,0.02,0,10916.9,0.957877,0.00522569,58.3855,WAIT_DIE,0,0,0,0,2.30297,0,0.0010689,0.000343444,0,0,0.161239,0,0,false,0,0,0,0,0,0,16.8201,204.308,0.0113977,0,0.0788578,0.104025,0,0,0.00360602,0.120924,0,0,0,42,15.6425,0,119,0,0,0,0,0,0,0,294,0,0.0958289,0,0,0,35160.8,ONE_PC,0,33686.7,0,0,0,0,0,0,0.186107,0.5,0.000889124,0,0,0,0,70,406,0,0,0,0,1.0347,0
38207.1,0,268,0.108774,240.428,0.0490204,0,0.000475564,0,0,0,0.083548,0,16,0,338,0,312.124,0.00105624,0,0,0,0,0.04,0,23046.7,1.13896,0.00552705,34.9445,WAIT_DIE,0,0,0,0,2.22411,0,0.000968596,0.00032622,0,0,0.174557,0,0,false,0,0,0,0,0,0,17.3265,104.373,0.00636057,0,0.0943358,0.111376,0,0,0.00324213,0.177411,0,0,0,49,15.6933,0,166,0,0,0,0,0,0,0,174,0,0.0461371,0,0,0,38004.5,ONE_PC,0,34242.6,0,0,0,0,0,0,0.264199,0.5,0.000773454,0,0,0,0,115,338,0,0,0,0,1.06446,0
39510.4,0,219,0.110052,309.135,0.0532769,0,0.000591492,0,0,0,0.0769128,0,16,0,303,0,289.046,0.00148726,0,0,0,0,0.06,0,28291.4,1.50954,0.0066386,55.5097,WAIT_DIE,0,0,0,0,2.14006,0,0.0013955,0.000379554,0,0,0.160536,0,0,false,0,0,0,0,0,0,16.7724,170.685,0.0133006,0,0.0852977,0.110099,0,0,0.00307833,0.115649,0,0,0,59,15.6705,0,196,0,0,0,0,0,0,0,109,0,0.0663742,0,0,0,41309.6,ONE_PC,0,35185.5,0,0,0,0,0,0,0.179709,0.5,0.00098012,0,0,0,0,135,303,0,0,0,0,1.03021,0
45931.7,0,318,0.166888,246.04,0.0623992,0,0.000670888,0,0,0,0.086708,0,16,0,265,0,247.607,0.000818328,0,0,0,0,0.08,0,33497.6,1.53909,0.0058626,34.3558,WAIT_DIE,0,0,0,0,2.17456,0,0.000720304,0.00031457,0,0,0.164454,0,0,false,0,0,0,0,0,0,17.1239,98.4954,0.00658935,0,0.116792,0.191957,0,0,0.0028526,0.152866,0,0,0,60,15.7013,0,203,0,0,0,0,0,0,0,61,0,0.0375937,0,0,0,49694,ONE_PC,0,42706.9,0,0,0,0,0,0,0.2329,0.5,0.000826292,0,0,0,0,144,265,0,0,0,0,1.05304,0
39295,0,259,0.108631,279.291,0.0601983,0,0.00082606,0,0,0,0.0774078,0,16,0,270,0,256.09,0.00124927,0,0,0,0,0.1,0,40347,1.67183,0.00607045,33.6236,WAIT_DIE,0,0,0,0,2.26412,0,0.00112496,0.00029519,0,0,0.162294,0,0,false,0,0,0,0,0,0,16.8691,94.4429,0.00509351,0,0.0839399,0.108672,0,0,0.00305383,0.125989,0,0,0,57,15.7024,0,234,0,0,0,0,0,0,0,41,0,0.0373355,0,0,0,44871.2,ONE_PC,0,34903.9,0,0,0,0,0,0,0.194185,0.5,0.00104715,0,0,0,0,172,270,0,0,0,0,1.03695,0
30406.2,0,24,0.128795,116.848,0.0616356,0,0.00011298,0,0,0,0.10217,0,16,0,270,0,246.929,0.00072382,0,0,0,0,0.01,0,8386.52,26947.9,0.00331395,32.7247,WAIT_DIE,0,0,0,0,2.1615,0,0.000678694,0.000167784,0,0,0.171845,0,0,false,0,0,0,0,0,0,17.4949,102.658,0.00221791,0,0.118963,0.14979,0,0,0.00229122,0.191597,0,0,0,16,15.7034,0,43,0,0,0,0,0,0,0,225,0,0.035723,0,0,0,55517.9,TWO_PC,0,28570.4,0,0,0,0,0,0,0.284676,0.5,0.000500056,0,0,0,0,29,270,0,0,0,0,1.07887,0
34016.1,0,24,0.129379,139.012,0.069048,0,0.000175548,0,0,0,0.106844,0,16,0,241,0,216.753,0.000694772,0,0,0,0,0.02,0,10594.6,29823,0.00279462,34.5648,WAIT_DIE,0,0,0,0,2.14809,0,0.00064794,0.00013344,0,0,0.174369,0,0,false,0,0,0,0,0,0,17.7898,108.61,0.00239216,0,0.110478,0.147548,0,0,0.00215074,0.226078,0,0,0,20,15.705,0,69,0,0,0,0,0,0,0,179,0,0.0341619,0,0,0,62009.8,TWO_PC,0,32187.4,0,0,0,0,0,0,0.328838,0.5,0.000470478,0,0,0,0,42,241,0,0,0,0,1.09758,0
35813.8,0,0,0.150854,197.488,0.0785395,0,0.000292056,0,0,0,0.121675,0,16,0,213,0,192.51,0.000894632,0,0,0,0,0.04,0,26931.8,28809.6,0.0034987,37.1404,WAIT_DIE,0,0,0,0,2.41929,0,0.000839052,0.000147814,0,0,0.170773,0,0,false,0,0,0,0,0,0,17.703,116.539,0.00583936,0,0.122224,0.150961,0,0,0.00205633,0.212854,0,0,0,29,15.7062,0,108,0,0,0,0,0,0,0,110,0,0.0330926,0,0,0,59293.6,TWO_PC,0,30484.7,0,0,0,0,0,0,0.316039,0.5,0.000455762,0,0,0,0,74,213,0,0,0,0,1.09144,0
35738.8,0,9,0.148147,209.809,0.081748,0,0.000393612,0,0,0,0.121151,0,16,0,209,0,188.2,0.00084022,0,0,0,0,0.06,0,33188.2,28035.4,0.00326425,34.2512,WAIT_DIE,0,0,0,0,2.41883,0,0.000776158,0.000164334,0,0,0.174625,0,0,false,0,0,0,0,0,0,17.7684,102.449,0.00372446,0,0.122274,0.148161,0,0,0.00211614,0.220117,0,0,0,41,15.7091,0,130,0,0,0,0,0,0,0,79,0,0.0297295,0,0,0,56837.1,TWO_PC,0,28802.5,0,0,0,0,0,0,0.326774,0.5,0.000532496,0,0,0,0,89,209,0,0,0,0,1.09576,0
34931.3,0,27,0.159276,270.784,0.0836645,0,0.000494932,0,0,0,0.121627,0,16,0,200,0,181.567,0.00101425,0,0,0,0,0.08,0,40265.8,26668.1,0.00439496,53.7897,WAIT_DIE,0,0,0,0,2.26956,0,0.000941074,0.000190384,0,0,0.172259,0,0,false,0,0,0,0,0,0,17.6244,168.638,0.00351961,0,0.128219,0.159439,0,0,0.00214166,0.206652,0,0,0,49,15.6946,0,154,0,0,0,0,0,0,0,48,0,0.0449463,0,0,0,54150.4,TWO_PC,0,27483.6,0,0,0,0,0,0,0.304755,0.5,0.000666408,0,0,0,0,103,200,0,0,0,0,1.0856,0
40537.9,0,0,0.152076,257.014,0.0960453,0,0.000514748,0,0,0,0.12068,0,16,0,172,0,158.949,0.000872256,0,0,0,0,0.1,0,45680.4,31394,0.00397237,52.3913,WAIT_DIE,0,0,0,0,2.32525,0,0.000811906,0.000221408,0,0,0.167258,0,0,false,0,0,0,0,0,0,17.3138,155.84,0.00398869,0,0.125558,0.152234,0,0,0.0019268,0.171259,0,0,0,36,15.7011,0,148,0,0,0,0,0,0,0,27,0,0.0374071,0,0,0,66453.1,TWO_PC,0,35061.1,0,0,0,0,0,0,0.255333,0.5,0.00061692,0,0,0,0,109,172,0,0,0,0,1.06676,0
34179.7,0,127,0.0883982,164.982,0.0372551,0,0.00018702,0,0,0,0.0628875,0,16,0,439,0,412.972,0.000595192,0,0,0,0,0.01,0,6577.61,0.780761,0.00406352,41.3434,WAIT_DIE,0,0,0,0,2.22484,0,0.000531222,0.00023175,0,0,0.164413,0,0,false,0,0,0,0,0,0,17.0084,130.363,0.0032555,0,0.071533,0.12923,0,0,0.00377703,0.140555,0,0,0,32,15.6705,0,76,0,0,0,0,0,0,0,362,0,0.0690598,0,0,0,33771.9,ONE_PC,0,32888.6,0,0,0,0,0,0,0.214826,0.5,0.00064484,0,0,0,0,45,439,0,0,0,0,1.0479,0
34301,0,354,0.0918872,256.327,0.0395075,0,0.000292252,0,0,0,0.0628138,0,16,0,411,0,386.903,0.00096109,0,0,0,0,0.02,0,11104.1,0.768852,0.0044188,62.7054,WAIT_DIE,0,0,0,0,2.40798,0,0.00087179,0.000198902,0,0,0.164585,0,0,false,0,0,0,0,0,0,16.9965,214.898,0.00641443,0,0.0803496,0.10707,0,0,0.00363443,0.139849,0,0,0,43,15.6358,0,114,0,0,0,0,0,0,0,297,0,0.101503,0,0,0,33311.2,ONE_PC,0,32013,0,0,0,0,0,0,0.214486,0.5,0.000567,0,0,0,0,71,411,0,0,0,0,1.04667,0
40347.9,0,364,0.137361,218.784,0.0512846,0,0.000445068,0,0,0,0.0897736,0,16,0,320,0,300.814,0.000935634,0,0,0,0,0.04,0,23997.5,0.933294,0.00458895,43.6946,WAIT_DIE,0,0,0,0,2.32143,0,0.00085463,0.000266456,0,0,0.16327,0,0,false,0,0,0,0,0,0,17.0205,134.719,0.00455831,0,0.120427,0.175658,0,0,0.00306302,0.144433,0,0,0,45,15.6843,0,155,0,0,0,0,0,0,0,167,0,0.0546487,0,0,0,38044.6,ONE_PC,0,35114.2,0,0,0,0,0,0,0.21766,0.5,0.00056707,0,0,0,0,108,320,0,0,0,0,1.04794,0
38508.4,0,229,0.106248,214.419,0.053059,0,0.000614684,0,0,0,0.0801933,0,16,0,314,0,288.986,0.00118497,0,0,0,0,0.06,0,29866.8,1.32411,0.00499262,33.4962,WAIT_DIE,0,0,0,0,2.01859,0,0.00108899,0.000356542,0,0,0.168074,0,0,false,0,0,0,0,0,0,17.3849,99.0577,0.00696427,0,0.083623,0.106403,0,0,0.00318776,0.183509,0,0,0,62,15.6961,0,200,0,0,0,0,0,0,0,112,0,0.0430003,0,0,0,39743.2,ONE_PC,0,34084.6,0,0,0,0,0,0,0.273004,0.5,0.00094004,0,0,0,0,140,314,0,0,0,0,1.07003,0
37736.3,0,229,0.0983291,360.125,0.0581504,0,0.0007151,0,0,0,0.0835475,0,16,0,283,0,266.855,0.00090441,0,0,0,0,0.08,0,39045.1,1.65722,0.00496009,87.4544,WAIT_DIE,0,0,0,0,2.11906,0,0.00080463,0.000454504,0,0,0.16502,0,0,false,0,0,0,0,0,0,16.968,257.583,0.00485485,0,0.0836599,0.0983685,0,0,0.00303643,0.136689,0,0,0,65,15.632,0,214,0,0,0,0,0,0,0,64,0,0.101112,0,0,0,40049.7,ONE_PC,0,31958.4,0,0,0,0,0,0,0.20876,0.5,0.000960602,0,0,0,0,154,283,0,0,0,0,1.04386,0
42784.6,0,207,0.109378,275.069,0.0623838,0,0.000812808,0,0,0,0.0836376,0,16,0,269,0,242.722,0.00144429,0,0,0,0,0.1,0,38599.7,1.91404,0.00624252,51.9649,WAIT_DIE,0,0,0,0,2.31694,0,0.00132967,0.000380038,0,0,0.169544,0,0,false,0,0,0,0,0,0,17.7322,157.192,0.00496178,0,0.0838787,0.109672,0,0,0.0030234,0.2202,0,0,0,57,15.6786,0,226,0,0,0,0,0,0,0,41,0,0.0572701,0,0,0,49905,ONE_PC,0,40234.1,0,0,0,0,0,0,0.334025,0.5,0.00101722,0,0,0,0,171,269,0,0,0,0,1.08994,0
