log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,prepare_phase_1 (in us),num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,LOG_TIMEOUT,commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,prepare_phase_2 (in us),num_pre_aborts
0,66,0.0551805,226.245,0.031036,0,9.1604e-05,0,0,23505.6,0,0.0516112,0,2,0,66,0,64.4143,0.000166468,0,0,0,0,0.05,0,1000,0.825379,0.00151756,87.1076,WAIT_DIE,0,0,0,0,2.81795,0,0.000143098,3.7461e-05,0,0,0.148212,0,0,false,0,0,0,0,0,0,2.04924,190.885,0.00659727,0,0.0517161,0.0551805,0,0,0.000629524,0.0743307,0,0,0,11,1.62134,0,14974.3,35,0,0,0,0,0,136,0,31,0,0.0150397,0,0,0,11551.2,ONE_PC,0,21087.6,0,0,0,0,0,0,0.0757714,0.5,0.000128247,0,0,0,0,24,66,0,0,0,0,0.949455,0.0919242,0
0,108,0.120242,150.693,0.0377439,0,0.000176892,0,0,29105.3,0,0.0574228,0,4,0,108,0,103.423,0.000308554,0,0,0,0,0.05,0,1000,0.966296,0.00248014,40.3407,WAIT_DIE,0,0,0,0,2.4947,0,0.000252982,9.3408e-05,0,0,0.209357,0,0,false,0,0,0,0,0,0,4.17703,56.8516,0.00237845,0,0.116387,0.13717,0,0,0.00106421,0.130524,0,0,0,23,3.2757,0,18609,65,0,0,0,0,0,232,0,44,0,0.00982188,0,0,0,12615.6,ONE_PC,0,24325.7,0,0,0,0,0,0,0.165685,0.5,0.000298946,0,0,0,0,41,108,0,0,0,0,0.99039,0.111417,0
0,203,0.189086,240.022,0.0402807,0,0.000365268,0,0,28761.6,0,0.0573947,0,8,0,203,0,196.851,0.000725894,0,0,0,0,0.05,0,1000,2.05885,0.00494096,60.9931,WAIT_DIE,0,0,0,0,2.04488,0,0.000645859,0.000273656,0,0,0.247254,0,0,false,0,0,0,0,0,0,8.24991,199.556,0.00451415,0,0.0613664,0.194209,0,0,0.00202427,0.217593,0,0,0,37,6.54291,0,22628.9,127,0,0,0,0,0,475,0,76,0,0.0518841,0,0,0,11706,ONE_PC,0,22740.9,0,0,0,0,0,0,0.315076,0.5,0.000749867,0,0,0,0,90,203,0,0,0,0,0.994864,0.191015,0
0,475,0.073485,225.309,0.0341745,0,0.000785528,0,0,25528.2,0,0.0518485,0,16,0,475,0,459.654,0.00144705,0,0,0,0,0.05,0,1000,0.951537,0.0103071,33.9503,WAIT_DIE,0,0,0,0,1.575,0,0.00129976,0.000370223,0,0,0.33543,0,0,false,0,0,0,0,0,0,16.5342,82.907,0.00764874,0,0.0574367,0.0958425,0,0,0.00464568,0.492917,0,0,0,91,13.4009,0,17844.3,277,0,0,0,0,0,1032,0,194,0,0.0580928,0,0,0,12092.3,ONE_PC,0,22977.3,0,0,0,0,0,0,0.56002,0.5,0.000740291,0,0,0,0,190,475,0,0,0,0,0.993245,0.103248,0
0,895,0.0801219,539.639,0.0364589,0,0.00139645,0,0,27065.5,0,0.0621774,0,32,0,895,0,843.586,0.00262275,0,0,0,0,0.05,0,1000,1.18529,0.0221079,208.668,WAIT_DIE,0,0,0,0,1.30087,0,0.00209211,0.00106511,0,0,0.386086,0,0,false,0,0,0,0,0,0,33.9503,238.395,0.0182913,0,0.0655475,0.110897,0,0,0.00865314,1.22502,0,0,0,187,26.6307,0,19682.1,519,0,0,0,0,0,1897,0,381,0,0.264032,0,0,0,12496.8,ONE_PC,0,23205.4,0,0,0,0,0,0,1.17252,0.5,0.00210466,0,0,0,0,327,895,0,0,0,0,1.00673,0.158858,0
0,554,0.347049,26460.6,0.114813,0,0.000795896,0,0,62163.8,0,0.223437,0,64,0,554,0,465.28,0.00138551,0,0,0,0,0.05,0,1000,1.16476,0.0121562,1098.25,WAIT_DIE,0,0,0,0,1.28454,0,0.00108099,0.000626019,0,0,0.61405,0,0,false,0,0,0,0,0,0,76.2035,3211.18,0.493327,0,0.261024,0.46881,0,0,0.0052461,4.13354,0,0,0,121,46.3825,0,77470,307,0,0,0,0,0,1236,0,245,0,4.14882,0,0,0,22455,ONE_PC,0,37223,0,0,0,0,0,0,3.17175,0.5,0.00108198,0,0,0,0,188,554,0,0,0,0,0.753938,0.248181,0
0,455,1.3366,129653,0.291963,0,0.000558644,0,0,118107,30,0.60641,0,128,0,455,0,314.656,0.00108902,0,30,0,0,0.05,0,1000,27.4368,0.00779583,20124,WAIT_DIE,0.0284325,0,0,0,0.917908,0,0.000816589,0.000433052,0,0,0.713505,0,0,false,0,0,0,0,0,0,185.091,24606.4,0.970337,0,0.900403,1.41627,0,0,0.00414049,17.6724,0,0,0,97,73.3126,0,208768,188,0,0,0,0,30,887,0,214,0,17.3961,0,0,0,38932.6,ONE_PC,0,58998.5,0,0,0,0,0,0,8.05493,0.5,0.000863662,0,30,0,0,144,455,68.4232,0,0,30,0.724411,0.146114,0
0,63,0.0695078,323.382,0.0329276,0,8.8756e-05,0,0,20463.5,0,0.0584027,0,2,0,63,0,60.2258,0.000112228,0,0,0,0,0.05,0,1000,5955.84,0.00142981,113.082,WAIT_DIE,0,0,0,0,1.03974,0,9.5242e-05,4.5648e-05,0,0,0.152905,0,0,false,0,0,0,0,0,0,2.09213,253.837,0.00169647,0,0.068807,0.0695078,0,0,0.000600076,0.0814642,0,0,0,11,1.61835,0,11813.2,32,0,0,0,0,0,141,0,29,0,0.0185624,0,0,0,11431.6,TWO_PC,0,19631.7,0,0,0,0,0,0,0.0818391,0.5,0.000149227,0,0,0,0,23,63,0,0,0,0,0.968528,0.157079,0
0,133,0.0913864,241.73,0.0305835,0,0.00020772,0,0,18171.4,0,0.0630559,0,4,0,133,0,130.014,0.000423726,0,0,0,0,0.05,0,1000,5374.22,0.0029176,76.1857,WAIT_DIE,0,0,0,0,2.24713,0,0.000369303,0.000124411,0,0,0.204935,0,0,false,0,0,0,0,0,0,4.09188,162.263,0.00302861,0,0.0696516,0.0975708,0,0,0.00129798,0.118831,0,0,0,31,3.26147,0,13144.7,78,0,0,0,0,0,306,0,54,0,0.0265344,0,0,0,9295.27,TWO_PC,0,16014.3,0,0,0,0,0,0,0.151927,0.5,0.000336473,0,0,0,0,48,133,0,0,0,0,0.969766,0.161865,0
0,190,0.109201,207.59,0.0434417,0,0.000339832,0,0,24028.7,0,0.0742471,0,8,0,190,0,179.53,0.000703321,0,0,0,0,0.05,0,1000,8754.36,0.00441624,41.7976,WAIT_DIE,0,0,0,0,1.92338,0,0.000636077,0.000142514,0,0,0.252053,0,0,false,0,0,0,0,0,0,8.46653,130.415,0.0112381,0,0.0797293,0.109267,0,0,0.00189734,0.242582,0,0,0,35,6.56519,0,19834.4,118,0,0,0,0,0,473,0,73,0,0.0325883,0,0,0,11775.5,TWO_PC,0,20563.8,0,0,0,0,0,0,0.345536,0.5,0.000431741,0,0,0,0,82,190,0,0,0,0,1.02205,0.161426,0
