log_size,num_log_yes,execute_phase (in us),ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,prepare_phase_1 (in us),num_aborts_restart,num_cache_misses,NUM_SERVER_THREADS,network_log,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,num_renew,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,LOG_TIMEOUT,commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug7,time_debug4,time_read_queue,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,time_debug1 (in us),num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,time_debug5 (in us),COMMIT_ALG,time_debug6 (in us),num_cache_updates,total_log_yes (in us),time_write_output_queue,num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,total logs,CC (row) (in us),num_aborts_rs,time_write_queue,num_no_need_to_renewal,num_remote_write_txn,num_commits,total msgs,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,time_debug2 (in us),prepare_phase_2 (in us),num_pre_aborts
0,0,0,0,0.000544,0,0,0,0,0,2,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.000463852,0,WAIT_DIE,0,0,0,0,1.01893,0,1.3928e-05,0.106346,0,true,0,0,0,0,0,0,0,0,0.0012921,0,0,0,5.96e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,149,60,0,16588.7,0,0,0,0,0,0,3625.66,ONE_PC,21482,0,0,0,0,0,0,0,0,0,0,0.5,60,0,0,0,0,0,0,149,0,0,0,0,0.925943,15699.6,0,0
0,0,0,0,0.000896636,0,0,0,0,0,4,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.00062007,0,WAIT_DIE,0,0,0,0,1.3144,0,2.1317e-05,0.106586,0,true,0,0,0,0,0,0,0,0,0.00208044,0,0,0,1.02e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,255,53,0,18320.6,0,0,0,0,0,0,2893.31,ONE_PC,23695.5,0,0,0,0,0,0,0,0,0,0,0.5,53,0,0,0,0,0,0,255,0,0,0,0,0.944613,17373.9,0,0
0,0,0,0,0.00168053,0,0,0,0,0,8,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.000993127,0,WAIT_DIE,0,0,0,0,1.02289,0,4.4871e-05,0.106903,0,true,0,0,0,0,0,0,0,0,0.00382481,0,0,0,2.04e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,510,52,0,17412.4,0,0,0,0,0,0,2383.27,ONE_PC,22286.9,0,0,0,0,0,0,0,0,0,0,0.5,52,0,0,0,0,0,0,510,0,0,0,0,0.93161,16421.9,0,0
0,0,0,0,0.00391153,0,0,0,0,0,16,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.00189777,0,WAIT_DIE,0,0,0,0,1.17175,0,4.9779e-05,0.106453,0,true,0,0,0,0,0,0,0,0,0.00724392,0,0,0,4.524e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,59,0,17457.6,0,0,0,0,0,0,1316.78,ONE_PC,23241.3,0,0,0,0,0,0,0,0,0,0,0.5,59,0,0,0,0,0,0,1024,0,0,0,0,0.932268,16422.6,0,0
0,0,0,0,0.00733676,0,0,0,0,0,32,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.00282438,0,WAIT_DIE,0,0,0,0,1.04309,0,0.000134816,0.110041,0,true,0,0,0,0,0,0,0,0,0.0124549,0,0,0,8.288e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,60,0,17448.6,0,0,0,0,0,0,1604.02,ONE_PC,22326.2,0,0,0,0,0,0,0,0,0,0,0.5,60,0,0,0,0,0,0,1024,0,0,0,0,0.955943,16436.7,0,0
0,0,0,0,0.00449767,0,0,0,0,0,64,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.00143396,0,WAIT_DIE,0,0,0,0,1.17149,0,5.5706e-05,0.122693,0,true,0,0,0,0,0,0,0,0,0.00733969,0,0,0,4.944e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,67,0,17187.4,0,0,0,0,0,0,1507.31,ONE_PC,23249.2,0,0,0,0,0,0,0,0,0,0,0.5,67,0,0,0,0,0,0,1024,0,0,0,0,1.07145,16181.1,0,0
0,0,0,0,0.00365148,0,0,0,0,0,128,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.00157978,0,WAIT_DIE,0,0,0,0,1.43671,0,6.1131e-05,0.152978,0,true,0,0,0,0,0,0,0,0,0.00548164,0,0,0,3.548e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,887,68,0,17417.5,0,0,0,0,0,0,1368.57,ONE_PC,23544.6,0,0,0,0,0,0,0,0,0,0,0.5,68,0,0,0,0,0,0,887,0,0,0,0,1.30847,16487.5,0,0
0,0,0,0,0.000519088,0,0,0,0,0,2,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.000365321,0,WAIT_DIE,0,0,0,0,1.52826,0,1.309e-05,0.107246,0,true,0,0,0,0,0,0,0,0,0.00123236,0,0,0,5.64e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,141,64,0,15272.2,0,0,0,0,0,0,3581.57,TWO_PC,19258.3,0,0,0,0,0,0,0,0,0,0,0.5,64,0,0,0,0,0,0,141,0,0,0,0,0.946271,14451.9,0,0
0,0,0,0,0.00110258,0,0,0,0,0,4,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.000700088,0,WAIT_DIE,0,0,0,0,1.45581,0,1.8597e-05,0.10678,0,true,0,0,0,0,0,0,0,0,0.00251647,0,0,0,1.224e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,306,71,0,13686.1,0,0,0,0,0,0,1598,TWO_PC,15499.4,0,0,0,0,0,0,0,0,0,0,0.5,71,0,0,0,0,0,0,306,0,0,0,0,0.923378,12811.6,0,0
0,0,0,0,0.0015776,0,0,0,0,0,8,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.00105096,0,WAIT_DIE,0,0,0,0,1.09046,0,8.7225e-05,0.110186,0,true,0,0,0,0,0,0,0,0,0.00287329,0,0,0,1.892e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,473,66,0,15948.9,0,0,0,0,0,0,2178.84,TWO_PC,20642.3,0,0,0,0,0,0,0,0,0,0,0.5,66,0,0,0,0,0,0,473,0,0,0,0,0.956636,14922.9,0,0
