log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,prepare_phase_1 (in us),num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,LOG_TIMEOUT,commit_phase (in us),time_send_msg,average_distributed_latency,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,int_aborts_ws1,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,average_local_latency,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,prepare_phase_2 (in us),num_pre_aborts
0,8223,0.005142,310.13,0.00288315,0,0.0122213,0,0,2571.8,4,0.00371214,0,25,0,8223,0,8192.92,0.0235987,0.336911,4,0,0,0.05,0,1000,0.808705,0.167766,0.00334068,135.423,WAIT_DIE,0.0017858,0,0,0,1.29268,0,0.0187176,0.00949734,0,0,0,0,0,false,0,0,0,0,0,0,25.0918,150.241,0.141489,0,0,0.00386324,0.0194038,0,2,0.0797676,0.698318,0.00228356,0,0,1860,19.629,0,1341.88,4720,0,0,0,0,4,12951,0,3559,0,1.52874,0,0,0,1386.78,ONE_PC,0,2182.67,0,0,0,0,0,0,0.732024,0.5,0.0170275,0,2,0,0,2804,8223,0.271176,0,0,4,0.77591,0.137751,0
0,8145,0.00666027,324.845,0.00301672,0,0.0120074,0,0,2690.16,10,0.00392187,0,26,0,8145,0,8116.37,0.022768,0.328212,10,0,0,0.05,0,1000,0.830103,0.146666,0.00355251,33.0916,WAIT_DIE,0.00345793,0,0,0,1.43944,0,0.0179967,0.00837731,0,0,0,0,0,false,0,0,0,0,0,0,26.0917,99.2066,0.147393,0,0,0.00414192,0.0193901,0,0,0.0787333,0.695455,0.00231449,0,0,1851,20.9376,0,1436.07,4575,0,0,0,0,12,12726,0,3525,0,1.06877,0,0,0,1483.47,ONE_PC,0,2316.51,0,0,0,0,0,0,0.763024,0.5,0.0159959,0,12,0,0,2769,8145,0.740334,0,0,10,0.80503,0.142084,0
0,7952,0.0135961,421.849,0.00321325,0,0.0118353,0,0,2789.68,9,0.00389422,0,27,0,7952,0,7924.58,0.0235032,0.288664,9,0,0,0.05,0,1000,0.905017,0.127662,0.00374343,185.692,WAIT_DIE,0.00363855,0,0,0,1.28922,0,0.0190353,0.00679943,0,0,0,0,0,false,0,0,0,0,0,0,27.0934,202.223,0.129615,0,0,0.00401362,0.0419918,0,8,0.0771296,0.761523,0.0025175,0,0,1807,20.9789,0,1511.81,4602,0,0,0,0,9,12559,0,3439,0,1.95832,0,0,0,1541.2,ONE_PC,0,2430.24,0,0,0,0,0,0,0.769429,0.5,0.0187163,0,1,0,0,2706,7952,0.655193,0,0,9,0.803266,0.159141,0
0,8763,0.00688659,352.561,0.0029896,0,0.0128321,0,0,2635.44,8,0.00373949,0,28,0,8763,0,8736.88,0.0248417,0.325833,8,0,0,0.05,0,1000,0.788978,0.168564,0.00356866,28.0481,WAIT_DIE,0.00479187,0,0,0,1.31276,0,0.0196598,0.00912221,0,0,0,0,0,false,0,0,0,0,0,0,28.0837,89.7568,0.15678,0,0,0.00418585,0.0407231,0,0,0.084703,0.755643,0.00223961,0,0,2000,22.5696,0,1467.72,4941,0,0,0,0,8,13708,0,3818,0,1.06384,0,0,0,1464.12,ONE_PC,0,2289.51,0,0,0,0,0,0,0.812427,0.5,0.0168118,0,8,0,0,2945,8763,0.659939,0,0,8,0.782496,0.14305,0
0,7573,0.0188477,545.613,0.00346468,0,0.0111251,0,0,2916.46,8,0.00392984,0,29,0,7573,0,7342.1,0.0212251,0.368998,5,0,0,0.05,0,1000,1.29922,0.157852,0.00407881,77.9597,WAIT_DIE,0.00305456,0,0,0,1.48458,0,0.016638,0.00786227,0,0,0,0,0,false,0,0,0,0,0,0,29.912,94.9633,0.131104,0,0,0.00519555,0.0658632,0,6,0.0731556,0.922714,0.00266735,0,0,1724,23.5499,3,1842.42,4278,0,0,0,1,12,11862,0,3295,0,0.994,0,0,0,1686.63,ONE_PC,0,2631.23,0,0,0.365974,1,0,0,0.955733,0.5,0.0141298,0,6,0,0,2554,7573,1.18383,0,0,8,0.68384,0.128547,0
0,8952,0.00669747,347.672,0.00316145,0,0.0132007,0,0,2812.39,6,0.0040216,0,30,0,8952,0,8766.81,0.0258867,0.331852,6,0,0,0.05,0,1000,0.85636,0.173006,0.00373966,33.6873,WAIT_DIE,0.00188564,0,0,0,1.19002,0,0.0203586,0.00941534,0,0,0,0,0,false,0,0,0,0,0,0,30.6337,111.776,0.160598,0,0,0.00425822,0.020403,0,3,0.0866753,0.891634,0.0024056,0,0,2051,24.1586,0,1488.49,5076,0,0,0,0,6,14036,0,3880,0,1.35054,0,0,0,7.6775e+07,ONE_PC,0,2471.35,0,0,0,0,0,0,0.940958,0.5,0.0178294,0,3,0,0,3021,8952,0.374264,0,0,6,0.790867,0.151044,0
,,,,,0,,,,,,,,31,,,,,,,,,,0.05,,1000,,,,,WAIT_DIE,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ONE_PC,,,,,,,,,,0.5,,,,,,,,,,,,,,
0,7912,0.00617793,322.191,0.00299276,0,0.0117151,0,0,2669.32,1,0.00386363,0,25,0,7912,0,7894.32,0.0202304,0.318575,1,0,0,0.05,0,1000,0.696892,0.152156,0.00358909,18.6739,WAIT_DIE,0.00040294,0,0,0,1.44677,0,0.0175335,0.00730698,0,0,0,0,0,false,0,0,0,0,0,0,25.056,56.6099,0.107427,0,0,0.00403896,0.0538334,0,1,0.0765545,0.656047,0.00220991,0,0,1788,20.486,0,1465.33,4482,0,0,0,0,1,12401,0,3421,0,0.667864,0,0,0,1407.61,ONE_PC,0,2204.84,0,0,0,0,0,0,0.734555,0.5,0.0135149,0,0,0,0,2703,7912,0.449404,0,0,1,0.802768,0.103928,0
0,8571,0.00593032,335.224,0.00285105,0,0.0126612,0,0,2514.32,5,0.00366566,0,26,0,8571,0,8541.32,0.0245696,0.295192,5,0,0,0.05,0,1000,0.858579,0.162939,0.00337413,40.226,WAIT_DIE,0.00363471,0,0,0,1.46035,0,0.0206485,0.00888145,0,0,0,0,0,false,0,0,0,0,0,0,26.0903,129.376,0.142594,0,0,0.00391849,0.0269194,0,0,0.082973,0.723531,0.0021657,0,0,1946,20.6014,0,1384.39,4870,0,0,0,0,8,13448,0,3710,0,1.41829,0,0,0,1359.07,ONE_PC,0,2130.17,0,0,0,0,0,0,0.743881,0.5,0.0182116,0,8,0,0,2915,8571,0.515068,0,0,5,0.79038,0.13905,0
0,8025,0.0132452,443.988,0.00316854,0,0.0118167,0,0,2721.03,25,0.00384267,0,27,0,8025,0,7890.88,0.0240587,0.386449,25,0,0,0.05,0,1000,0.820413,0.2106,0.00375871,159.38,WAIT_DIE,0.00769003,0,0,0,1.23962,0,0.0192383,0.0125098,0,0,0,0,0,false,0,0,0,0,0,0,27.4589,173.682,0.13915,0,0,0.00399315,0.067659,0,0,0.0776709,0.777408,0.00240438,0,0,1817,21.2419,0,1559.54,4537,0,0,0,0,25,12579,0,3497,0,1.69522,0,0,0,1476.59,ONE_PC,0,2307.35,0,0,0,0,0,0,0.835461,0.5,0.016763,0,25,0,0,2711,8025,2.56353,0,0,25,0.691501,0.136123,0
