log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,prepare_phase_1 (in us),num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,LOG_TIMEOUT,commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,prepare_phase_2 (in us),num_pre_aborts
0,833,0.005849,208.666,0.00240181,0,0.00120231,0,0,1697.53,0,0.00375316,0,2,0,833,0,830.37,0.00284676,0,0,0,0,0.05,0,1000,0.60119,0.016532,59.0853,WAIT_DIE,0,0,0,0,2.79396,0,0.00251947,0.000656382,0,0,0.156517,0,0,false,0,0,0,0,0,0,2.00633,166.428,0.0159182,0,0.00443525,0.00770755,0,0,0.00807262,0.0661055,0,0,0,183,1.49932,0,1128.1,456,0,0,0,0,0,1701,0,376,0,0.161566,0,0,0,850.155,ONE_PC,0,1524.69,0,0,0,0,0,0,0.063844,0.5,0.00265443,0,0,0,0,274,833,0,0,0,0,0.906071,0.076066,0
0,1574,0.00656569,171.715,0.00254172,0,0.00233834,0,0,1799.44,3,0.00433233,0,4,0,1574,0,1569.64,0.00456713,0,3,0,0,0.05,0,1000,0.595172,0.0301523,66.3645,WAIT_DIE,0.00225912,0,0,0,2.17908,0,0.00402667,0.00110215,0,0,0.20456,0,0,false,0,0,0,0,0,0,4.01111,129.28,0.0375496,0,0.00498671,0.0089442,0,3,0.0153607,0.109404,0,0,0,353,3.07764,0,1263.03,889,0,0,0,0,3,3334,0,689,0,0.242063,0,0,0,864.614,ONE_PC,0,1561.72,0,0,0,0,0,0,0.130585,0.5,0.00371399,0,0,0,0,532,1574,1.798,0,0,3,0.919256,0.0812427,0
0,2843,0.00701986,231.668,0.00281884,0,0.00431123,0,0,1957.86,0,0.00478868,0,8,0,2843,0,2823.79,0.00864001,0,0,0,0,0.05,0,1000,0.699915,0.0533706,49.36,WAIT_DIE,0,0,0,0,1.85801,0,0.00768602,0.00250166,0,0,0.253983,0,0,false,0,0,0,0,0,0,8.05442,165.3,0.0605152,0,0.00528381,0.0120282,0,0,0.0276654,0.196581,0,0,0,656,6.11598,0,1437.33,1643,0,0,0,0,0,6102,0,1204,0,0.558069,0,0,0,919.437,ONE_PC,0,1674.29,0,0,0,0,0,0,0.266209,0.5,0.00727125,0,0,0,0,983,2843,0,0,0,0,0.912092,0.114809,0
0,4939,0.00756918,253.953,0.00323919,0,0.00743882,0,0,2291.25,0,0.00520837,0,16,0,4939,0,4918.68,0.0146528,0,0,0,0,0.05,0,1000,0.881301,0.0857823,40.5438,WAIT_DIE,0,0,0,0,1.60143,0,0.0127261,0.00442103,0,0,0.266532,0,0,false,0,0,0,0,0,0,16.0661,130.26,0.0898438,0,0.00574733,0.0218034,0,0,0.0478063,0.415609,0,0,0,1136,12.6595,0,1699.03,2843,0,0,0,0,0,10354,0,2115,0,0.807592,0,0,0,1006.22,ONE_PC,0,1842.91,0,0,0,0,0,0,0.495255,0.5,0.0139634,0,0,0,0,1688,4939,0,0,0,0,0.882931,0.12911,0
0,7291,0.0211424,386.141,0.00439448,0,0.0109043,0,0,2964.39,3,0.00749758,0,32,0,7291,0,7148.88,0.0186521,0,3,0,0,0.05,0,1000,0.826383,0.145519,42.3257,WAIT_DIE,0.00185002,0,0,0,1.35543,0,0.0145956,0.00834738,0,0,0.344124,0,0,false,0,0,0,0,0,0,32.6361,60.7995,0.119751,0,0.00824448,0.0358399,0,0,0.070884,1.01814,0,0,0,1674,26.2567,0,2562.73,4270,0,0,0,0,5,15774,0,3143,0,0.68208,0,0,0,1232.56,ONE_PC,0,2218.26,0,0,0,0,0,0,0.968957,0.5,0.0135985,0,5,0,0,2474,7291,1.78168,0,0,3,0.822505,0.132944,0
0,3333,0.0800325,2486.73,0.0109145,0,0.00496753,0,0,5774.83,1,0.0234528,0,36,0,3333,0,3156.02,0.00872516,0,1,0,0,0.05,0,1000,0.936386,0.0635612,85.5814,WAIT_DIE,0.000190075,0,0,0,1.46886,0,0.00714853,0.00355615,0,0,0.375538,0,0,false,0,0,0,0,0,0,38.0188,108.748,0.0999171,0,0.0319519,0.175992,0,0,0.0321149,1.44791,0,0,0,742,29.6508,0,7694.61,1849,0,0,0,0,1,7045,0,1426,0,0.540667,0,0,0,1757.28,ONE_PC,0,3220.61,0,0,0,0,0,0,1.20734,0.5,0.0227783,0,1,0,0,1165,3333,0.0787759,0,0,1,0.939894,0.131266,0
0,1807,0.129701,5989.08,0.0228832,0,0.00274147,0,0,11809.1,5,0.0638207,0,40,0,1807,0,1593.66,0.00481907,0,5,0,0,0.05,0,1000,9.85585,0.035066,289.952,WAIT_DIE,0.0020886,0,0,0,1.11924,0,0.0038252,0.0018224,0,0,0.547363,0,0,false,0,0,0,0,0,0,45.3547,305.456,0.333273,0,0.0917668,0.22609,0,0,0.0173945,2.13478,0,0,0,389,32.5322,0,16142,1001,0,0,0,0,5,3898,0,771,0,1.0163,0,0,0,4157,ONE_PC,0,7209.68,0,0,0,0,0,0,1.88619,0.5,0.00348501,0,5,0,0,647,1807,17.3934,0,0,5,0.80939,0.139956,0
0,1116,0.184567,12903.4,0.0443435,0,0.00164996,0,0,21445.4,0,0.0994914,0,48,0,1116,0,955.643,0.0255333,0,0,0,0,0.05,0,1000,1.04992,0.0852824,254.694,WAIT_DIE,0,0,0,0,1.4733,0,0.0248912,0.00123426,0,0,0.695699,0,0,false,0,0,0,0,0,0,56.0544,428.044,0.194622,0,0.123685,0.225941,0,0,0.0106296,3.25448,0,0,0,238,38.5511,0,31712,610,0,0,0,0,0,2422,0,492,0,0.721824,0,0,0,8750.49,ONE_PC,0,14285.1,0,0,0,0,0,0,2.42985,0.5,0.0162641,0,0,0,0,386,1116,0,0,0,0,0.416008,0.145674,0
0,1276,0.191175,11497.7,0.043279,0,0.00191422,0,0,21337.7,0,0.107727,0,56,0,1276,0,1138.26,0.0032041,0,0,0,0,0.05,0,1000,0.999375,0.0355523,852.214,WAIT_DIE,0,0,0,0,1.21011,0,0.00252192,0.00138155,0,0,0.521862,0,0,false,0,0,0,0,0,0,62.7765,934.034,0.346638,0,0.137267,0.241755,0,0,0.0122639,3.13306,0,0,0,273,42.2476,0,32012.3,737,0,0,0,0,0,2860,0,560,0,2.71079,0,0,0,4900.32,ONE_PC,0,8420.83,0,0,0,0,0,0,2.20339,0.5,0.0024174,0,0,0,0,443,1276,0,0,0,0,0.754857,0.133673,0
0,664,0.00938878,218.524,0.00302213,0,0.000966372,0,0,1709.54,0,0.00542672,0,2,0,664,0,660.965,0.00178276,0,0,0,0,0.05,0,1000,465.843,0.0117119,64.3848,WAIT_DIE,0,0,0,0,2.36695,0,0.00151691,0.000412602,0,0,0.152138,0,0,false,0,0,0,0,0,0,2.00918,143.903,0.0251176,0,0.00683381,0.0103568,0,0,0.00641547,0.0671331,0,0,0,151,1.54059,0,1321.23,370,0,0,0,0,0,1470,0,295,0,0.112611,0,0,0,881.723,TWO_PC,0,1488.55,0,0,0,0,0,0,0.0658439,0.5,0.00144881,0,0,0,0,218,664,0,0,0,0,0.915827,0.12825,0
