log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,prepare_phase_1 (in us),num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,LOG_TIMEOUT,commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,prepare_phase_2 (in us),num_pre_aborts
0,842,0.0058241,189.545,0.00237433,0,0.00122142,0,0,1674.17,0,0.00382005,0,2,0,842,0,840.244,0.00285754,0,0,0,0,0.05,0,1000,0.645171,0.0189836,66.7666,WAIT_DIE,0,0,0,0,2.5903,0,0.00256641,0.000781337,0,0,0.152579,0,0,false,0,0,0,0,0,0,2.00418,140.774,0.02105,0,0.00454991,0.00853984,0,0,0.00816955,0.0666766,0,0,0,186,1.51508,0,1181.68,464,0,0,0,0,0,1783,0,379,0,0.141536,0,0,0,811.41,ONE_PC,0,1451.67,0,0,0,0,0,0,0.0634898,0.5,0.00278711,0,0,0,0,277,842,0,0,0,0,0.905013,0.0858432,0
0,1532,0.00685766,235.247,0.00261152,0,0.00226271,0,0,1825.25,0,0.00417919,0,4,0,1532,0,1525.62,0.00402299,0,0,0,0,0.05,0,1000,0.676653,0.0279521,125.749,WAIT_DIE,0,0,0,0,1.97222,0,0.00351223,0.00137497,0,0,0.21103,0,0,false,0,0,0,0,0,0,4.01672,203.781,0.0316368,0,0.00475245,0.00874449,0,0,0.0149446,0.106801,0,0,0,348,2.98406,0,1266.29,868,0,0,0,0,0,3215,0,673,0,0.360306,0,0,0,873.311,ONE_PC,0,1588.79,0,0,0,0,0,0,0.127058,0.5,0.00292014,0,0,0,0,511,1532,0,0,0,0,0.921168,0.0952631,0
0,2734,0.00723245,197.526,0.00292476,0,0.00413028,0,0,2073.96,10,0.00495451,0,8,0,2734,0,2727.82,0.0112241,0,10,0,0,0.05,0,1000,0.661244,0.046777,47.0275,WAIT_DIE,0.0039124,0,0,0,1.73697,0,0.0102433,0.00190385,0,0,0.24197,0,0,false,0,0,0,0,0,0,8.01812,116.418,0.0550662,0,0.00540023,0.0100012,0,0,0.0265735,0.194416,0,0,0,633,6.25757,0,1485.21,1580,0,0,0,0,10,5832,0,1158,0,0.391321,0,0,0,955.539,ONE_PC,0,1749.99,0,0,0,0,0,0,0.263925,0.5,0.00538036,0,10,0,0,943,2734,1.77212,0,0,10,0.918489,0.108082,0
0,4007,0.00661598,228.723,0.00299381,0,0.00598918,0,0,2129.03,0,0.0048812,0,12,0,4007,0,3993.15,0.0134777,0,0,0,0,0.05,0,1000,0.75041,0.0627547,42.5959,WAIT_DIE,0,0,0,0,1.79681,0,0.00994155,0.00354809,0,0,0.261049,0,0,false,0,0,0,0,0,0,12.0416,140.774,0.0568686,0,0.00523065,0.0100752,0,0,0.0387724,0.278375,0,0,0,933,9.30432,0,1480.64,2294,0,0,0,0,0,8393,0,1713,0,0.684736,0,0,0,1008.06,ONE_PC,0,1840.01,0,0,0,0,0,0,0.401839,0.5,0.0101673,0,0,0,0,1361,4007,0,0,0,0,0.90598,0.121517,0
0,4924,0.00743716,252.052,0.00325029,0,0.00742086,0,0,2283.06,0,0.00538601,0,16,0,4924,0,4894.98,0.0143348,0,0,0,0,0.05,0,1000,0.799175,0.090241,41.3863,WAIT_DIE,0,0,0,0,1.65206,0,0.0126171,0.00460888,0,0,0.281726,0,0,false,0,0,0,0,0,0,16.0948,136.159,0.0903761,0,0.0058136,0.0130598,0,0,0.0476272,0.393473,0,0,0,1132,12.5588,0,1726.48,2844,0,0,0,0,0,10552,0,2109,0,0.827888,0,0,0,1013.69,ONE_PC,0,1840.25,0,0,0,0,0,0,0.52293,0.5,0.0119623,0,0,0,0,1683,4924,0,0,0,0,0.877517,0.136201,0
0,5787,0.00749241,236.65,0.00345419,0,0.00871522,0,0,2453.85,0,0.00567288,0,20,0,5787,0,5764.45,0.0169456,0,0,0,0,0.05,0,1000,0.845888,0.0908419,30.5579,WAIT_DIE,0,0,0,0,1.48764,0,0.0144507,0.00514239,0,0,0.27418,0,0,false,0,0,0,0,0,0,20.0782,94.7248,0.100967,0,0.00609427,0.0207385,0,0,0.0560766,0.555693,0,0,0,1335,16.137,0,1836.56,3350,0,0,0,0,0,12289,0,2471,0,0.728377,0,0,0,1086.7,ONE_PC,0,1990.18,0,0,0,0,0,0,0.60318,0.5,0.0145293,0,0,0,0,1981,5787,0,0,0,0,0.872656,0.132337,0
0,6583,0.00980391,353.6,0.00364616,0,0.00976803,0,0,2512.7,0,0.0055691,0,24,0,6583,0,6499.21,0.0205319,0,0,0,0,0.05,0,1000,0.886532,0.140989,150.306,WAIT_DIE,0,0,0,0,1.43092,0,0.0161916,0.00751335,0,0,0.337672,0,0,false,0,0,0,0,0,0,24.3094,166.407,0.121616,0,0.00632206,0.0538883,0,0,0.0636382,0.675329,0,0,0,1504,18.9715,0,1984.43,3745,0,0,0,0,0,13656,0,2834,0,1.34679,0,0,0,1100.45,ONE_PC,0,2009.97,0,0,0,0,0,0,0.751677,0.5,0.0146263,0,0,0,0,2245,6583,0,0,0,0,0.820621,0.142922,0
0,6524,0.018021,470.529,0.00428616,0,0.00964892,0,0,2872.53,7,0.00629856,0,28,0,6524,0,6401.47,0.0215206,0,7,0,0,0.05,0,1000,0.877478,0.142474,63.9877,WAIT_DIE,0.00275424,0,0,0,1.25284,0,0.0143804,0.0390166,0,0,0.325574,0,0,false,0,0,0,0,0,0,28.536,86.2895,0.119057,0,0.00718286,0.132429,0,6,0.0631068,0.849519,0,0,0,1486,22.8931,0,2406.1,3735,0,0,0,0,7,13774,0,2831,0,0.778016,0,0,0,1371.21,ONE_PC,0,2428.18,0,0,0,0,0,0,0.874792,0.5,0.0144165,0,1,0,0,2207,6524,0.508275,0,0,7,0.762532,0.136775,0
0,6443,0.0262265,699.709,0.00501343,0,0.00949065,0,0,3220.24,1,0.00743622,0,32,0,6443,0,6249.88,0.0166086,0,1,0,0,0.05,0,1000,0.87474,0.120151,31.0828,WAIT_DIE,0.000236846,0,0,0,1.52599,0,0.0136127,0.00687819,0,0,0.346804,0,0,false,0,0,0,0,0,0,32.9888,93.3066,0.103497,0,0.0188289,0.107824,0,1,0.0622192,1.07565,0,0,0,1468,26.2311,0,3002.98,3612,0,0,0,0,4,13384,0,2786,0,0.819561,0,0,0,7.28464e+07,ONE_PC,0,2371.33,0,0,0,0,0,0,0.999136,0.5,0.0124924,0,3,0,0,2189,6443,0.572843,0,0,1,0.863942,0.144435,0
0,3062,0.0986314,2368.95,0.0118643,0,0.0047198,0,0,6448.27,0,0.0285557,0,36,0,3062,0,2938.98,0.00815833,0,0,0,0,0.05,0,1000,0.971515,0.0629469,109.416,WAIT_DIE,0,0,0,0,1.3914,0,0.00637161,0.00356596,0,0,0.370353,0,0,false,0,0,0,0,0,0,37.5069,126.302,0.146014,0,0.0382011,0.155545,0,0,0.0298217,1.32328,0,0,0,690,29.5965,0,8556.74,1794,0,0,0,0,0,6721,0,1290,0,0.570029,0,0,0,1552.99,ONE_PC,0,2863.41,0,0,0,0,0,0,1.22874,0.5,0.00640459,0,0,0,0,1082,3062,0,0,0,0,0.94539,0.141149,0
