prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,network (in us),commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,num_pre_aborts
33429,0,24,0.0753286,224.046,0.0448954,0,7.3424e-05,0,0,0,0.0752642,0,2,0,46,0,44.0001,0.000192416,0,0,0,0,0.05,0,23173.8,1.60109,0.000900536,133.202,WAIT_DIE,0,0,0,0,2.98477,0,0.000177164,3.5288e-05,0,0,0.0345234,0,0,false,0,0,0,0,0,0,2.0909,206.453,0.00111303,0,0.0753123,0.0753286,0,0,0.000454572,0.0211909,0,0,0,6,1.95453,0,25,0,0,0,0,0,0,0,21,0,0.0111769,0,0,0,36410.7,ONE_PC,0,30752.6,0,0,0,0,0,0,0.0203601,0.5,0.00014604,0,0,0,0,19,46,0,0,0,0,1.02732,0
35077.4,0,117,0.11689,173.93,0.0481035,0,0.000141452,0,0,0,0.0753511,0,4,0,84,0,79.819,0.000360562,0,0,0,0,0.05,0,24674.1,0.935762,0.00175905,61.3953,WAIT_DIE,0,0,0,0,1.90203,0,0.00033538,5.6562e-05,0,0,0.0637581,0,0,false,0,0,0,0,0,0,4.20952,104.52,0.0017201,0,0.0836667,0.11689,0,0,0.000839144,0.0372895,0,0,0,16,3.9222,0,51,0,0,0,0,0,0,0,36,0,0.0114929,0,0,0,36884.9,ONE_PC,0,31364.4,0,0,0,0,0,0,0.0464368,0.5,0.000160634,0,0,0,0,32,84,0,0,0,0,1.03492,0
35214.3,0,160,0.125586,214.591,0.0484443,0,0.000302984,0,0,0,0.075377,0,8,0,170,0,160.431,0.000535802,0,0,0,0,0.05,0,25564.3,1.1332,0.00287933,53.878,WAIT_DIE,0,0,0,0,1.80733,0,0.000484134,0.000117858,0,0,0.107473,0,0,false,0,0,0,0,0,0,8.47718,161.884,0.00294098,0,0.0809976,0.125603,0,0,0.00169248,0.0725,0,0,0,29,7.83345,0,102,0,0,0,0,0,0,0,67,0,0.0341882,0,0,0,38185.7,ONE_PC,0,32456.7,0,0,0,0,0,0,0.102249,0.5,0.000327836,0,0,0,0,74,170,0,0,0,0,1.0432,0
36319.6,0,129,0.0978431,281.631,0.0489839,0,0.00056692,0,0,0,0.0754977,0,16,0,337,0,316.043,0.00166641,0,0,0,0,0.05,0,25469.8,1.17323,0.00575308,44.7381,WAIT_DIE,0,0,0,0,2.12519,0,0.00154804,0.000242894,0,0,0.163758,0,0,false,0,0,0,0,0,0,17.061,143.315,0.0052499,0,0.0836875,0.100371,0,0,0.0032846,0.147919,0,0,0,56,15.6777,0,192,0,0,0,0,0,0,0,141,0,0.0606222,0,0,0,38260,ONE_PC,0,33735.7,0,0,0,0,0,0,0.224487,0.5,0.00071474,0,0,0,0,140,337,0,0,0,0,1.04915,0
39363,0,364,0.126937,345.632,0.0513531,0,0.000990936,0,0,0,0.0815464,0,32,0,643,0,593.805,0.00192338,0,0,0,0,0.05,0,26840.6,1.27807,0.0136093,68.6688,WAIT_DIE,0,0,0,0,2.24341,0,0.00173374,0.000638622,0,0,0.225344,0,0,false,0,0,0,0,0,0,34.6511,226.634,0.0108769,0,0.0895027,0.127434,0,0,0.00622295,0.339015,0,0,0,123,31.2941,0,356,0,0,0,0,0,0,0,286,0,0.175811,0,0,0,38779.2,ONE_PC,0,35154.7,0,0,0,0,0,0,0.53648,0.5,0.00165703,0,0,0,0,234,643,0,0,0,0,1.05863,0
30979.2,0,0,0.115355,277.622,0.0700728,0,3.6232e-05,0,0,0,0.115066,0,2,0,29,0,28.1468,9.6232e-05,0,0,0,0,0.05,0,21000.1,27839.5,0.000734872,155.873,WAIT_DIE,0,0,0,0,2.11169,0,9.008e-05,2.8958e-05,0,0,0.0341725,0,0,false,0,0,0,0,0,0,2.06062,264.219,0.000575768,0,0.115285,0.115355,0,0,0.000267768,0.0158766,0,0,0,4,1.95714,0,13,0,0,0,0,0,0,0,16,0,0.00898817,0,0,0,55538.3,TWO_PC,0,27699.7,0,0,0,0,0,0,0.015699,0.5,8.5152e-05,0,0,0,0,9,29,0,0,0,0,1.01269,0
35615.1,0,34,0.183212,166.419,0.078001,0,7.1564e-05,0,0,0,0.115899,0,4,0,53,0,49.2556,0.00017231,0,0,0,0,0.05,0,26289.7,27498.6,0.00105346,39.0613,WAIT_DIE,0,0,0,0,2.27684,0,0.000141846,4.8314e-05,0,0,0.0649283,0,0,false,0,0,0,0,0,0,4.30408,111.284,0.00467473,0,0.142744,0.183212,0,0,0.000511132,0.0490728,0,0,0,10,3.92556,0,25,0,0,0,0,0,0,0,27,0,0.00794152,0,0,0,57931.6,TWO_PC,0,30433.9,0,0,0,0,0,0,0.0596443,0.5,0.000148458,0,0,0,0,16,53,0,0,0,0,1.05885,0
33338.8,0,21,0.157741,150.813,0.0802387,0,0.00016666,0,0,0,0.124389,0,8,0,103,0,92.9828,0.000462828,0,0,0,0,0.05,0,33131.8,28492.4,0.00194261,27.7316,WAIT_DIE,0,0,0,0,1.92816,0,0.00043439,0.000132624,0,0,0.113093,0,0,false,0,0,0,0,0,0,8.86185,78.3625,0.00509949,0,0.125634,0.159001,0,0,0.00103341,0.114809,0,0,0,15,7.86003,0,60,0,0,0,0,0,0,0,46,0,0.0120228,0,0,0,56407.7,TWO_PC,0,27916.3,0,0,0,0,0,0,0.160021,0.5,0.000260634,0,0,0,0,42,103,0,0,0,0,1.0916,0
38084.7,0,36,0.183126,227.938,0.0796226,0,0.000320264,0,0,0,0.124691,0,16,0,206,0,192.63,0.00068614,0,0,0,0,0.05,0,32407.6,26142.4,0.00417175,52.7847,WAIT_DIE,0,0,0,0,2.27404,0,0.000624354,0.00026945,0,0,0.167632,0,0,false,0,0,0,0,0,0,17.1106,172.944,0.00289595,0,0.14972,0.199638,0,0,0.00200092,0.149375,0,0,0,31,15.6914,0,106,0,0,0,0,0,0,0,93,0,0.0464131,0,0,0,55842.8,TWO_PC,0,29702.5,0,0,0,0,0,0,0.224512,0.5,0.000990098,0,0,0,0,82,206,0,0,0,0,1.05388,0
37040.1,0,25,0.139984,256.859,0.0795926,0,0.000643504,0,0,0,0.116347,0,32,0,415,0,375.914,0.00178209,0,0,0,0,0.05,0,26635.3,28759.3,0.00642605,43.1691,WAIT_DIE,0,0,0,0,2.25931,0,0.00166751,0.00036682,0,0,0.237269,0,0,false,0,0,0,0,0,0,35.3272,139.849,0.0086654,0,0.116471,0.140161,0,0,0.00403519,0.410915,0,0,0,76,31.3904,0,232,0,0,0,0,0,0,0,185,0,0.0772476,0,0,0,62456.4,TWO_PC,0,33698,0,0,0,0,0,0,0.628671,0.5,0.00129956,0,0,0,0,154,415,0,0,0,0,1.08766,0
