prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,LOG_TIMEOUT,commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,num_pre_aborts
34756.6,0,56,0.08332,234.834,0.0468988,0,6.7628e-05,0,0,0,0.0752598,0,2,0,45,0,42.0354,8.5636e-05,0,0,0,0,0.05,0,1000,1.07253,0.00104013,94.2958,WAIT_DIE,0,0,0,0,2.6845,0,7.5172e-05,3.9876e-05,0,0,0.035169,0,0,false,0,0,0,0,0,0,2.14105,228.412,0.000877962,0,0.0753258,0.08332,0,0,0.000437524,0.02878,0,0,0,6,1.95403,0,24832.2,23,0,0,0,0,0,0,0,21,0,0.0121323,0,0,0,35594.5,ONE_PC,0,31507.6,0,0,0,0,0,0,0.0281694,0.5,0.00011736,0,0,0,0,18,45,0,0,0,0,1.05204,0
31759.1,0,205,0.106605,285.185,0.0438725,0,0.00014988,0,0,0,0.0752365,0,4,0,93,0,89.8621,0.000285756,0,0,0,0,0.05,0,1000,1.75159,0.00195168,197.618,WAIT_DIE,0,0,0,0,2.17556,0,0.000247842,0.000149204,0,0,0.064201,0,0,false,0,0,0,0,0,0,4.13968,261.426,0.00204181,0,0.0753311,0.106605,0,0,0.00090718,0.0282398,0,0,0,20,3.90463,0,22924.9,52,0,0,0,0,0,0,0,40,0,0.0290346,0,0,0,31771.5,ONE_PC,0,26790.9,0,0,0,0,0,0,0.0354748,0.5,0.00043253,0,0,0,0,33,93,0,0,0,0,1.0161,0
37767,0,154,0.116739,270.87,0.0520873,0,0.000268836,0,0,0,0.0835862,0,8,0,156,0,145.332,0.0005388,0,0,0,0,0.05,0,1000,1.28695,0.00318496,94.1953,WAIT_DIE,0,0,0,0,1.97633,0,0.00049731,0.000114152,0,0,0.10887,0,0,false,0,0,0,0,0,0,8.58726,202.414,0.00311904,0,0.0954698,0.116859,0,0,0.00154661,0.0849665,0,0,0,26,7.82978,0,28762.1,92,0,0,0,0,0,0,0,64,0,0.0388753,0,0,0,40084,ONE_PC,0,34067.9,0,0,0,0,0,0,0.12003,0.5,0.00033316,0,0,0,0,66,156,0,0,0,0,1.05652,0
35515.4,0,225,0.109605,280.383,0.0498179,0,0.000564128,0,0,0,0.0835116,0,16,0,334,0,310.966,0.0011097,0,0,0,0,0.05,0,1000,1.77917,0.00735739,73.618,WAIT_DIE,0,0,0,0,2.43672,0,0.0010161,0.000479358,0,0,0.166156,0,0,false,0,0,0,0,0,0,17.1852,211.629,0.00574877,0,0.0836227,0.109738,0,0,0.00325308,0.160948,0,0,0,56,15.6489,0,29310.6,190,0,0,0,0,0,0,0,140,0,0.0870805,0,0,0,35288.5,ONE_PC,0,30006.9,0,0,0,0,0,0,0.242723,0.5,0.00167023,0,0,0,0,138,334,0,0,0,0,1.05465,0
38621.6,0,304,0.112698,322.3,0.0510873,0,0.00100467,0,0,0,0.0835406,0,32,0,646,0,602.788,0.00191976,0,0,0,0,0.05,0,1000,1.19021,0.00926038,54.5683,WAIT_DIE,0,0,0,0,1.988,0,0.00173149,0.000616088,0,0,0.222876,0,0,false,0,0,0,0,0,0,34.294,187.007,0.0116197,0,0.0957209,0.113169,0,0,0.00625698,0.302457,0,0,0,122,31.325,0,27499.7,366,0,0,0,0,0,0,0,287,0,0.14855,0,0,0,37334.8,ONE_PC,0,32989.1,0,0,0,0,0,0,0.479223,0.5,0.00167508,0,0,0,0,237,646,0,0,0,0,1.05184,0
44676.9,0,174,0.15014,1604.12,0.0610454,0,0.00160239,0,0,0,0.10377,0,64,0,1080,0,957.571,0.00315232,0,0,0,0,0.05,0,1000,1.29365,0.0174716,82.4041,WAIT_DIE,0,0,0,0,1.97573,0,0.00275306,0.00110561,0,0,0.295832,0,0,false,0,0,0,0,0,0,72.1826,326.85,0.0174989,0,0.109921,0.150655,0,0,0.0102727,1.12126,0,0,0,235,62.3512,0,32787.8,592,0,0,0,0,0,0,0,472,0,0.473544,0,0,0,46003.8,ONE_PC,0,39342.5,0,0,0,0,0,0,1.49913,0.5,0.00267945,0,0,0,0,373,1080,0,0,0,0,1.09857,0
103989,0,91,0.805714,54188.7,0.193121,0,0.000884628,0,0,0,0.37502,0,128,0,619,0,476.841,0.00213645,0,0,0,0,0.05,0,1000,1.16362,0.0730263,3563.94,WAIT_DIE,0,0,0,0,1.41322,0,0.00191466,0.000579562,0,0,0.534446,0,0,false,0,0,0,0,0,0,166.16,13927.3,0.760836,0,0.486841,1.01244,0,0,0.00588298,7.3102,0,0,0,135,91.9386,0,118224,339,0,0,0,0,0,0,0,279,0,17.2399,0,0,0,84655.3,ONE_PC,0,67775.3,0,0,0,0,0,0,5.36514,0.5,0.00146418,0,0,0,0,205,619,0,0,0,0,0.905969,0
39440,0,0,0.157008,287.825,0.0759314,0,3.0232e-05,0,0,0,0.146073,0,2,0,27,0,25.9658,9.7192e-05,0,0,0,0,0.05,0,1000,27089.9,0.000566328,181.651,WAIT_DIE,0,0,0,0,1.83118,0,8.974e-05,3.0314e-05,0,0,0.0345434,0,0,false,0,0,0,0,0,0,2.07966,271.825,0.000704822,0,0.156919,0.157008,0,0,0.000245368,0.0189002,0,0,0,4,1.95743,0,18534.6,11,0,0,0,0,0,0,0,16,0,0.00864202,0,0,0,62426.4,TWO_PC,0,35337.8,0,0,0,0,0,0,0.0185451,0.5,0.00011525,0,0,0,0,7,27,0,0,0,0,1.02221,0
30345.4,0,0,0.142664,194.927,0.0698196,0,8.9028e-05,0,0,0,0.101848,0,4,0,61,0,55.3238,0.00021959,0,0,0,0,0.05,0,1000,28075.8,0.0014296,72.0743,WAIT_DIE,0,0,0,0,2.16754,0,0.000202152,5.7078e-05,0,0,0.066215,0,0,false,0,0,0,0,0,0,4.4104,152.227,0.001555,0,0.121185,0.142664,0,0,0.000597176,0.0626624,0,0,0,14,3.92217,0,20550.6,34,0,0,0,0,0,0,0,28,0,0.0114434,0,0,0,54884.3,TWO_PC,0,26809.1,0,0,0,0,0,0,0.0762202,0.5,0.000131188,0,0,0,0,19,61,0,0,0,0,1.08479,0
35381.1,0,70,0.135943,242.249,0.078683,0,0.000165928,0,0,0,0.111639,0,8,0,106,0,96.6272,0.000455514,0,0,0,0,0.05,0,1000,30210.6,0.00207184,81.0086,WAIT_DIE,0,0,0,0,1.93747,0,0.000422624,0.000100398,0,0,0.112312,0,0,false,0,0,0,0,0,0,8.776,206.579,0.00179909,0,0.112585,0.136015,0,0,0.0010522,0.105361,0,0,0,16,7.84181,0,25292.2,60,0,0,0,0,0,0,0,48,0,0.0268982,0,0,0,62468.4,TWO_PC,0,32258.6,0,0,0,0,0,0,0.146449,0.5,0.000286612,0,0,0,0,42,106,0,0,0,0,1.08096,0
