prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,LOG_TIMEOUT,commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,num_pre_aborts
59573.9,0,48,0.212214,189.001,0.0792561,0,0.000644004,0,0,0,0.115203,0,32,0,419,0,377.458,0.00105751,0,0,0,0,0.05,0,500,0.986134,0.00626699,46.0284,WAIT_DIE,0,0,0,0,1.73645,0,0.000957861,0.000337062,0,0,0.238207,0,0,false,0,0,0,0,0,0,35.5218,65.783,0.00857263,0,0.134108,0.212504,0,0,0.00406939,0.429437,0,0,0,78,31.426,0,42425.3,237,0,0,0,0,0,0,0,185,0,0.043873,0,0,0,68544.3,ONE_PC,0,56899.8,0,0,0,0,0,0,0.67463,0.5,0.00124769,0,0,0,0,156,419,0,0,0,0,1.09421,0
62676.9,0,133,0.205828,253.91,0.0821862,0,0.000630704,0,0,0,0.114827,0,32,0,411,0,372.685,0.00164801,0,0,0,0,0.05,0,1000,0.979655,0.00603779,42.6852,WAIT_DIE,0,0,0,0,1.91215,0,0.0015524,0.000267594,0,0,0.236662,0,0,false,0,0,0,0,0,0,35.2898,133.796,0.00500548,0,0.138728,0.206137,0,0,0.00398056,0.410036,0,0,0,77,31.4003,0,42423,225,0,0,0,0,0,0,0,180,0,0.0753068,0,0,0,66427.6,ONE_PC,0,61820.7,0,0,0,0,0,0,0.631888,0.5,0.00089648,0,0,0,0,154,411,0,0,0,0,1.08745,0
62319.9,0,44,0.198372,280.831,0.0828415,0,0.000622008,0,0,0,0.120972,0,32,0,403,0,364.002,0.00138708,0,0,0,0,0.05,0,2000,1.00923,0.00667264,43.4313,WAIT_DIE,0,0,0,0,1.83275,0,0.00128994,0.000359945,0,0,0.237707,0,0,false,0,0,0,0,0,0,35.4284,139.227,0.0101493,0,0.144147,0.216866,0,0,0.00392656,0.419122,0,0,0,72,31.4038,0,44277.1,227,0,0,0,0,0,0,0,177,0,0.0745231,0,0,0,69966.9,ONE_PC,0,60188.3,0,0,0,0,0,0,0.656364,0.5,0.00107476,0,0,0,0,154,403,0,0,0,0,1.09093,0
59356.4,0,33,0.196889,287.149,0.0790491,0,0.000638276,0,0,0,0.120214,0,32,0,418,0,382.377,0.00117813,0,0,0,0,0.05,0,4000,0.945457,0.00601467,53.4534,WAIT_DIE,0,0,0,0,1.78144,0,0.00107101,0.000305713,0,0,0.235309,0,0,false,0,0,0,0,0,0,34.9811,175.559,0.00736976,0,0.126893,0.197096,0,0,0.0040424,0.376341,0,0,0,77,31.38,0,41792.8,230,0,0,0,0,0,0,0,185,0,0.0940784,0,0,0,68002.4,ONE_PC,0,56976.6,0,0,0,0,0,0,0.584122,0.5,0.000862411,0,0,0,0,156,418,0,0,0,0,1.07786,0
60236.4,0,43,0.218438,281.436,0.0801986,0,0.000634528,0,0,0,0.125873,0,32,0,415,0,376.404,0.00153378,0,0,0,0,0.05,0,8000,0.955549,0.0068721,32.3907,WAIT_DIE,0,0,0,0,1.99401,0,0.00143539,0.000414689,0,0,0.242195,0,0,false,0,0,0,0,0,0,35.2812,98.5234,0.00814766,0,0.146922,0.218948,0,0,0.00402308,0.402985,0,0,0,77,31.4172,0,42749.4,233,0,0,0,0,0,0,0,183,0,0.0583765,0,0,0,70158.1,ONE_PC,0,57863.9,0,0,0,0,0,0,0.635396,0.5,0.0010669,0,0,0,0,155,415,0,0,0,0,1.0859,0
62519.4,0,91,0.209851,289.803,0.0826168,0,0.000621232,0,0,0,0.120103,0,32,0,407,0,366.349,0.00106857,0,0,0,0,0.05,0,10000,1.05668,0.00653177,44.3827,WAIT_DIE,0,0,0,0,1.86051,0,0.000966407,0.000318992,0,0,0.238714,0,0,false,0,0,0,0,0,0,35.5508,141.122,0.00549018,0,0.136921,0.210255,0,0,0.00395544,0.433237,0,0,0,73,31.3962,0,43347,227,0,0,0,0,0,0,0,181,0,0.0752324,0,0,0,70267.9,ONE_PC,0,60281.3,0,0,0,0,0,0,0.677142,0.5,0.00128363,0,0,0,0,153,407,0,0,0,0,1.09502,0
76070.8,0,25,0.233052,250.259,0.100747,0,0.00050648,0,0,0,0.144541,0,32,0,338,0,296.849,0.00118184,0,0,0,0,0.05,0,16000,0.87692,0.00537733,33.9793,WAIT_DIE,0,0,0,0,1.863,0,0.0010763,0.000299479,0,0,0.244906,0,0,false,0,0,0,0,0,0,36.4361,107.713,0.00471942,0,0.161066,0.233124,0,0,0.0032731,0.525827,0,0,0,61,31.4273,0,52930.4,188,0,0,0,0,0,0,0,150,0,0.0511383,0,0,0,86659.8,ONE_PC,0,72699.7,0,0,0,0,0,0,0.814363,0.5,0.000861516,0,0,0,0,127,338,0,0,0,0,1.12371,0
64818.6,0,8,0.273376,304.419,0.106933,0,0.00047554,0,0,0,0.168891,0,32,0,312,0,272.14,0.000909605,0,0,0,0,0.05,0,500,1.12927e+16,0.0056562,59.9944,WAIT_DIE,0,0,0,0,2.07517,0,0.000809837,0.000354465,0,0,0.25026,0,0,false,0,0,0,0,0,0,36.687,212.618,0.0048761,0,0.204775,0.273806,0,0,0.00302396,0.558267,0,0,0,53,31.3958,0,46318.6,173,0,0,0,0,0,0,0,138,0,0.0827837,0,0,0,84751.4,TWO_PC,0,63531.5,0,0,0,0,0,0,0.872424,0.5,0.00101476,0,0,0,0,121,312,0,0,0,0,1.13095,0
62565.8,0,0,0.265346,268.525,0.100744,0,0.000501472,0,0,0,0.162512,0,32,0,333,0,292.525,0.000982563,0,0,0,0,0.05,0,1000,1.1356e+16,0.00500763,55.4321,WAIT_DIE,0,0,0,0,1.9825,0,0.000883592,0.000337535,0,0,0.237299,0,0,false,0,0,0,0,0,0,36.4277,188.07,0.00531369,0,0.174294,0.265586,0,0,0.00322108,0.545675,0,0,0,58,31.4016,0,43144.2,184,0,0,0,0,0,0,0,147,0,0.0809398,0,0,0,77953.3,TWO_PC,0,58291.6,0,0,0,0,0,0,0.839087,0.5,0.00128535,0,0,0,0,128,333,0,0,0,0,1.12397,0
63208,0,43,0.25868,249.538,0.104971,0,0.000500104,0,0,0,0.168643,0,32,0,326,0,280.555,0.000815049,0,0,0,0,0.05,0,2000,1.12604e+16,0.00662104,35.1612,WAIT_DIE,0,0,0,0,2.00288,0,0.000714794,0.000293014,0,0,0.250694,0,0,false,0,0,0,0,0,0,37.1834,109.201,0.00717242,0,0.180518,0.259195,0,0,0.0031664,0.619333,0,0,0,59,31.4269,0,45267,184,0,0,0,0,0,0,0,140,0,0.049162,0,0,0,83575.8,TWO_PC,0,62545.5,0,0,0,0,0,0,0.959895,0.5,0.00071468,0,0,0,0,127,326,0,0,0,0,1.14566,0
