log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,prepare_phase_1 (in us),num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,LOG_TIMEOUT,commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,prepare_phase_2 (in us),num_pre_aborts
0,7126,0.0238788,562.058,0.00450875,0,0.0104866,0,0,2800.32,8,0.00659805,0,32,0,7126,0,6885.78,0.0189047,0,8,0,0,0.05,0,500,3.1991,0.143802,38.5587,WAIT_DIE,0.00349278,0,0,0,1.3777,0,0.0154454,0.00778084,0,0,0.335008,0,0,false,0,0,0,0,0,0,33.1164,127.215,0.155851,0,0.00937925,0.0857454,0,3,0.0690028,1.09135,0,0,0,1638,25.6958,0,2685.5,4049,0,0,0,3,8,15734,0,3100,0,1.27487,0,0,0,1297.08,ONE_PC,0,2277.33,0,0,1.0578,3,0,0,1.00291,0.5,0.015301,0,5,0,0,2388,7126,1.44631,0,0,8,0.777588,0.159769,0
0,7646,0.020487,462.112,0.0041888,0,0.0112345,0,0,2812.58,1,0.00658091,0,32,0,7646,0,7489.17,0.0235175,0,1,0,0,0.05,0,1000,0.962979,0.169308,193.139,WAIT_DIE,0.000537283,0,0,0,1.23493,0,0.0184533,0.0100942,0,0,0.3421,0,0,false,0,0,0,0,0,0,32.6701,207.095,0.14448,0,0.00720529,0.0621498,0,0,0.0739168,1.02095,0,0,0,1757,25.221,0,2298.82,4327,0,0,0,2,1,16031,0,3311,0,1.93648,0,0,0,1289.85,ONE_PC,0,2324.61,0,0,0.891506,2,0,0,0.981022,0.5,0.0167592,0,1,0,0,2578,7646,0.54066,0,0,1,0.788715,0.159232,0
0,5533,0.0302654,600.744,0.00580082,0,0.00825195,0,0,3844.92,2,0.00872649,0,32,0,5533,0,5419,0.0151061,0,2,0,0,0.05,0,2000,0.997788,0.110846,39.4819,WAIT_DIE,0.000305048,0,0,0,1.4868,0,0.0123301,0.0063522,0,0,0.385923,0,0,false,0,0,0,0,0,0,32.6732,130.921,0.0968556,0,0.0162937,0.131019,0,0,0.0536568,1.04179,0,0,0,1255,26.1008,0,3229.82,3159,0,0,0,1,2,12021,0,2388,0,0.960437,0,0,0,1769.73,ONE_PC,0,3151.54,0,0,0.0125675,1,0,0,0.998058,0.5,0.0121477,0,2,0,0,1890,5533,1.17684,0,0,2,0.811113,0.154513,0
0,3239,0.064035,1179.04,0.0101578,0,0.00494211,0,0,6347.78,0,0.0230745,0,32,0,3239,0,2997.77,0.00980739,0,0,0,0,0.05,0,4000,1.08331,0.0659919,43.3887,WAIT_DIE,0,0,0,0,1.74961,0,0.00767987,0.00378682,0,0,0.392787,0,0,false,0,0,0,0,0,0,34.5751,150.361,0.0741444,0,0.0270776,0.128607,0,0,0.0314879,1.31419,0,0,0,715,26.3508,0,6211.5,1873,0,0,0,0,0,7016,0,1380,0,0.63913,0,0,0,2682.21,ONE_PC,0,4754.2,0,0,0,0,0,0,1.28938,0.5,0.0068731,0,0,0,0,1144,3239,0,0,0,0,0.917556,0.170151,0
0,2192,0.0471417,1476.29,0.0147085,0,0.00339375,0,0,9631.41,2,0.0275564,0,32,0,2192,0,2141.85,0.00678034,0,2,0,0,0.05,0,8000,1.11404,0.0754077,52.3559,WAIT_DIE,0.00112608,0,0,0,1.56163,0,0.00533508,0.00261899,0,0,0.380911,0,0,false,0,0,0,0,0,0,32.7492,173.673,0.0569487,0,0.0317411,0.146913,0,0,0.021311,1.07778,0,0,0,502,26.5198,0,8154.43,1289,0,0,0,2,2,4823,0,913,0,0.483931,0,0,0,4441.52,ONE_PC,0,7894.46,0,0,7.88547,2,0,0,0.964182,0.5,0.00489499,0,2,0,0,777,2192,2.62397,0,0,2,0.808069,0.186059,0
0,1494,0.0646867,2845.5,0.0215514,0,0.00231491,0,0,13435.9,0,0.0331698,0,32,0,1494,0,1449.06,0.00454275,0,0,0,0,0.05,0,10000,1.10767,0.0474377,212.198,WAIT_DIE,0,0,0,0,1.37798,0,0.00372829,0.00189274,0,0,0.520351,0,0,false,0,0,0,0,0,0,32.9924,225.967,0.133401,0,0.0393209,0.0957621,0,0,0.0145528,1.07158,0,0,0,336,26.4119,0,11672.8,895,0,0,0,1,0,3248,0,631,0,0.41848,0,0,0,6725.61,ONE_PC,0,12244.6,0,0,7.05696,1,0,0,1.07405,0.5,0.00403583,0,0,0,0,527,1494,0,0,0,0,0.612362,0.178646,0
0,4679,0.0407094,1235.58,0.00684489,0,0.00704239,0,0,3324.78,3,0.0202754,0,32,0,4679,0,4569.53,0.0129803,0,3,0,0,0.05,0,500,1026.94,0.145872,46.231,WAIT_DIE,0.0016993,0,0,0,1.47637,0,0.0106171,0.0371265,0,0,0.438918,0,0,false,0,0,0,0,0,0,32.7666,147.341,0.0855098,0,0.0232515,0.127675,0,2,0.0454145,0.987386,0,0,0,1056,26.1252,0,3468.84,2698,0,0,0,1,3,10616,0,2011,0,0.876528,0,0,0,1744.13,TWO_PC,0,2935.16,0,0,1.04145,1,0,0,1.05379,0.5,0.0101247,0,1,0,0,1612,4679,2.48073,0,0,3,0.553059,0.237135,0
0,5975,0.0244623,498.646,0.00541235,0,0.00886845,0,0,3000.51,8,0.00918884,0,32,0,5975,0,5783.99,0.0157211,0,8,0,0,0.05,0,1000,743.345,0.111194,46.4075,WAIT_DIE,0.00394345,0,0,0,1.47845,0,0.012508,0.00604273,0,0,0.350027,0,0,false,0,0,0,0,0,0,33.0568,64.8264,0.102962,0,0.0191588,0.0829351,0,2,0.0578941,0.962751,0,0,0,1355,26.2866,0,2805.75,3380,0,0,0,1,10,13426,0,2578,0,0.629423,0,0,0,1288.98,TWO_PC,0,2157.25,0,0,0.263141,1,0,0,1.08077,0.5,0.011512,0,8,0,0,2042,5975,0.806632,0,0,8,0.875918,0.196154,0
0,4011,0.0319297,718.409,0.00799423,0,0.00609659,0,0,4470.62,1,0.0198039,0,32,0,4011,0,3838.53,0.0116615,0,1,0,0,0.05,0,2000,1171.21,0.086582,218.227,WAIT_DIE,0.000554211,0,0,0,0.972273,0,0.0095836,0.00497629,0,0,0.369445,0,0,false,0,0,0,0,0,0,33.4378,235.011,0.270901,0,0.0240727,0.0913902,0,0,0.0391102,0.997012,0,0,0,898,25.9475,0,3801.9,2351,0,0,0,1,1,9202,0,1709,0,1.19012,0,0,0,2149.78,TWO_PC,0,3768.94,0,0,0.80411,1,0,0,1.15867,0.5,0.00959244,0,1,0,0,1404,4011,12.6059,0,0,1,0.918571,0.256036,0
0,3137,0.0331337,979.092,0.0102431,0,0.00471967,0,0,5712.53,2,0.023283,0,32,0,3137,0,3068.39,0.00913848,0,2,0,0,0.05,0,4000,1684.03,0.0784185,44.2019,WAIT_DIE,0.000744589,0,0,0,1.58885,0,0.00749803,0.00356205,0,0,0.392929,0,0,false,0,0,0,0,0,0,32.7155,145.721,0.0699506,0,0.0283399,0.118516,0,2,0.0302911,0.92474,0,0,0,705,26.4385,0,4711.9,1743,0,0,0,0,2,7053,0,1330,0,0.6075,0,0,0,2873.96,TWO_PC,0,4782.72,0,0,0,0,0,0,0.986511,0.5,0.00703237,0,0,0,0,1102,3137,0.31224,0,0,2,0.767282,0.242565,0
