prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,LOG_TIMEOUT,commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,num_pre_aborts
47043.1,0,73,2.03692,9765.3,0.283297,0.9,0.00163001,0,0,10641,0.662273,0,32,0,171,0,74.8887,0.00415236,0,10516,0,0,0.05,0,250,1.26005,0.0281212,123.311,WAIT_DIE,4.70611,0,0,0,3.2792,0,0.00375002,0.00147973,0,0,0.536044,0,0,false,0,0,0,0,0,0,73.0684,295.479,0.0409586,0,1.54869,2.0828,0,5287,0.00272473,4.35692,0,0,0,42,26.694,125,35585.9,4687,0,0,0,36,14528,0,0,62,0,0.0866953,0,0,0,62064.8,ONE_PC,0,40912.2,0,0,8694.47,36,0,0,6.61985,0.5,0.00435991,0,9241,0,0,67,171,209981,0,0,10641,2.22826,0
39907.6,0,71,1.75325,12300.9,0.247766,0.9,0.00179057,0,0,10088,0.787702,0,32,0,183,0,87.2562,0.00334635,0,9949,0,0,0.05,0,500,1.36286,0.0297032,138.273,WAIT_DIE,4.11294,0,0,0,2.90652,0,0.00277,0.00176021,0,0,0.435387,0,0,false,0,0,0,0,0,0,67.1127,213.815,0.0432939,0,1.25776,1.99623,0,8204,0.00305614,3.89654,0,0,0,31,27.2932,249,29156.1,6290,0,0,0,74,15525,0,0,83,0,0.0795229,0,0,0,56760,ONE_PC,0,34991.4,0,0,11379.9,74,0,0,5.64902,0.5,0.00650023,0,7321,0,0,69,183,184168,0,0,10088,2.04186,0
39440.1,0,86,1.51222,10671.2,0.243876,0.9,0.00182826,0,0,8259,0.950748,0,32,0,185,0,90.4392,0.00477464,0,8259,0,0,0.05,0,750,1.50355,0.0233855,285.212,WAIT_DIE,3.08274,0,0,0,2.90796,0,0.00439946,0.00108629,0,0,0.428223,0,0,false,0,0,0,0,0,0,65.4584,349.672,0.0344893,0,1.2762,1.71544,0,5032,0.00294775,3.57349,0,0,0,38,28.3002,0,24410.7,3891,0,0,0,56,11513,0,0,79,0,0.0999976,0,0,0,47626.7,ONE_PC,0,36792.7,0,0,9988.29,56,0,0,5.42738,0.5,0.00360237,0,6481,0,0,68,185,183589,0,0,8259,1.99967,0
38755.4,0,64,2.00062,8279.95,0.292179,0.9,0.00205613,0,0,10777,0.963931,0,32,0,167,0,74.165,0.00590872,0,10681,0,0,0.05,0,1000,1.29025,0.0374884,255.134,WAIT_DIE,4.72844,0,0,0,3.24851,0,0.00527455,0.00171689,0,0,0.53128,0,0,false,0,0,0,0,0,0,72.0556,330.526,0.0429626,0,1.49851,2.22606,0,7136,0.00348235,4.28342,0,0,0,36,26.6622,96,29863.6,5529,0,0,0,41,15259,0,0,64,0,0.0937793,0,0,0,50049.7,ONE_PC,0,33430.3,0,0,7696.96,41,0,0,6.51467,0.5,0.00479724,0,8123,0,0,67,167,231511,0,0,10777,2.18574,0
40397.2,0,91,1.55708,6804.57,0.228512,0.9,0.00179149,0,0,17104,0.733633,0,32,0,185,0,73.7491,0.00569176,0,16640,0,0,0.05,0,1250,2.26256,0.0304284,449.86,WAIT_DIE,7.34464,0,0,0,3.37046,0,0.00508307,0.00220745,0,0,0.523316,0,0,false,0,0,0,0,0,0,80.2722,574.858,0.0369876,0,1.04727,1.69912,0,8148,0.00396493,5.23924,0,0,0,50,23.9717,2387,23225.1,2680,0,0,0,33,18064,0,0,77,0,0.165919,0,0,0,59494.9,ONE_PC,0,34608.7,0,0,6509.8,33,0,0,7.7938,0.5,0.00746332,0,9916,0,0,58,185,171486,0,0,17104,2.44741,0
37431.9,0,136,1.7421,7918,0.205774,0.9,0.00217234,0,0,15120,0.489584,0,32,0,214,0,106.105,0.0100429,0,14949,0,0,0.05,0,1500,1.55992,0.0388393,431.043,WAIT_DIE,5.83902,0,0,0,2.98193,0,0.00933911,0.0018169,0,0,0.480247,0,0,false,0,0,0,0,0,0,64.5401,534.035,0.050656,0,0.920258,1.86615,0,9561,0.00426228,3.59021,0,0,0,40,25.4533,1895,27238.9,5710,0,0,0,74,19573,0,0,92,0,0.176201,0,0,0,2.19292e+10,ONE_PC,0,33316.3,0,0,7611.69,74,0,0,5.26254,0.5,0.00566842,0,10012,0,0,82,214,147792,0,0,15120,1.91631,0
46445.1,0,43,2.85846,5494.88,0.42811,0.9,0.00125113,0,0,834,1.60787,0,32,0,130,0,38.7495,0.00283235,0,832,0,0,0.05,0,250,1.41898e+14,0.0111975,166.622,WAIT_DIE,0.19694,0,0,0,4.50057,0,0.00259666,0.000774807,0,0,0.834785,0,0,false,0,0,0,0,0,0,107.356,196.134,0.0105183,0,1.90361,2.98637,0,508,0.0023749,7.92787,0,0,0,20,31.2406,3,35280.4,840,0,0,0,11,884,0,0,50,0,0.0448748,0,0,0,69593,TWO_PC,0,42074,0,0,4280.16,11,0,0,11.8535,0.5,0.00237568,0,376,0,0,60,130,335472,0,0,834,3.31201,0
42386.2,0,16,4.35808,18473.8,0.554412,0.9,0.00147802,0,0,1169,1.898,0,32,0,124,0,23.4461,0.00390709,0,1072,0,0,0.05,0,500,1.48745e+14,0.0136098,130.814,WAIT_DIE,0.293896,0,0,0,6.24692,0,0.00362081,0.000945903,0,0,1.13876,0,0,false,0,0,0,0,0,0,169.239,168.697,0.0174365,0,2.82475,4.71113,0,369,0.00294672,14.5923,0,0,0,20,31.1496,125,41043.5,1285,0,0,0,27,1202,0,0,42,0,0.0448409,0,0,0,68173.8,TWO_PC,0,36284.8,0,0,15996.4,27,0,0,21.6031,0.5,0.00340243,0,833,0,0,62,124,444999,0,0,1169,5.23445,0
38141.3,0,62,2.50271,5308.22,0.408308,0.9,0.00119299,0,0,1303,1.51655,0,32,0,139,0,42.5975,0.00279122,0,1284,0,0,0.05,0,750,6.63552e+14,0.0119422,221.799,WAIT_DIE,0.342273,0,0,0,4.06412,0,0.00258513,0.000710375,0,0,0.698603,0,0,false,0,0,0,0,0,0,104.419,258.983,0.00978893,0,2.01823,2.6447,0,584,0.00248149,7.63133,0,0,0,32,31.0862,21,25543.4,801,0,0,0,13,1301,0,0,53,0,0.0599005,0,0,0,64293.2,TWO_PC,0,35076.3,0,0,4713.72,13,0,0,11.3857,0.5,0.00252984,0,717,0,0,54,139,325215,0,0,1303,3.22538,0
36274,0,50,2.23152,15060.7,0.417393,0.9,0.0008944,0,0,2342,1.18848,0,32,0,122,0,49.4941,0.00229748,0,2341,0,0,0.05,0,1000,3.02386e+14,0.0122044,251.982,WAIT_DIE,0.663444,0,0,0,3.36145,0,0.00211993,0.000603321,0,0,0.60919,0,0,false,0,0,0,0,0,0,78.8781,306.715,0.0123361,0,1.62317,2.33913,0,1052,0.00197121,4.94958,0,0,0,20,30.7585,6,30326.1,607,0,0,0,27,2402,0,0,50,0,0.0571293,0,0,0,62002.6,TWO_PC,0,33678.3,0,0,14768.9,27,0,0,7.41161,0.5,0.00203108,0,1350,0,0,52,122,324431,0,0,2342,2.42856,0
