prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,LOG_TIMEOUT,commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,num_pre_aborts
47552.2,0,115,0.129342,320.011,0.063168,0,0.000813772,0,0,0,0.0977402,0,32,0,522,0,480.041,0.00184584,0,0,0,0,0.05,0,250,1.2511,0.00784059,163.157,WAIT_DIE,0,0,0,0,2.15907,0,0.00168254,0.000487676,0,0,0.227826,0,0,false,0,0,0,0,0,0,34.797,175.571,0.0067088,0,0.100376,0.129646,0,0,0.00507235,0.355082,0,0,0,94,31.3569,0,31778.4,292,0,0,0,0,0,0,0,231,0,0.113781,0,0,0,53041,ONE_PC,0,45429.2,0,0,0,0,0,0,0.55761,0.5,0.00172592,0,0,0,0,197,522,0,0,0,0,1.06883,0
44536.3,0,177,0.12552,340.632,0.0588405,0,0.000872428,0,0,0,0.0936938,0,32,0,560,0,517.316,0.00256807,0,0,0,0,0.05,0,500,1.34637,0.0108748,58.5358,WAIT_DIE,0,0,0,0,2.33399,0,0.00239405,0.000647838,0,0,0.225634,0,0,false,0,0,0,0,0,0,34.6403,194.726,0.0132759,0,0.100293,0.147882,0,0,0.0054151,0.344715,0,0,0,104,31.3305,0,30114.5,307,0,0,0,0,0,0,0,247,0,0.137066,0,0,0,48542.5,ONE_PC,0,41316.1,0,0,0,0,0,0,0.528867,0.5,0.00166091,0,0,0,0,209,560,0,0,0,0,1.06146,0
43603.4,0,269,0.151416,406.917,0.0564776,0,0.000910452,0,0,0,0.0892396,0,32,0,589,0,532.252,0.00236001,0,0,0,0,0.05,0,750,1.53394,0.0121566,94.9114,WAIT_DIE,0,0,0,0,2.23437,0,0.00215344,0.000636986,0,0,0.231041,0,0,false,0,0,0,0,0,0,35.4118,265.619,0.00918008,0,0.101554,0.151751,0,0,0.00570285,0.423778,0,0,0,108,31.2808,0,30380.9,325,0,0,0,0,0,0,0,264,0,0.188782,0,0,0,41621.7,ONE_PC,0,36713.1,0,0,0,0,0,0,0.652384,0.5,0.00214264,0,0,0,0,217,589,0,0,0,0,1.08363,0
41512.4,0,240,0.166288,372.242,0.0544039,0,0.00092964,0,0,0,0.0872917,0,32,0,599,0,556.526,0.00465712,0,0,0,0,0.05,0,1000,1.13715,0.011797,61.8501,WAIT_DIE,0,0,0,0,1.85878,0,0.0044852,0.000599032,0,0,0.225081,0,0,false,0,0,0,0,0,0,34.4422,205.185,0.0138548,0,0.105289,0.166819,0,0,0.00579894,0.315611,0,0,0,113,31.3205,0,29795,339,0,0,0,0,0,0,0,267,0,0.150605,0,0,0,37452.2,ONE_PC,0,33059.1,0,0,0,0,0,0,0.505361,0.5,0.00144083,0,0,0,0,219,599,0,0,0,0,1.05413,0
41617.5,0,242,0.139934,283.345,0.0530534,0,0.000965476,0,0,0,0.0835268,0,32,0,623,0,580.285,0.00259452,0,0,0,0,0.05,0,1250,1.30684,0.0111056,44.045,WAIT_DIE,0,0,0,0,1.94675,0,0.00240945,0.000591582,0,0,0.224061,0,0,false,0,0,0,0,0,0,34.3555,136.83,0.00730537,0,0.10531,0.140309,0,0,0.00603026,0.312042,0,0,0,118,31.36,0,24491.7,352,0,0,0,0,0,0,0,279,0,0.111923,0,0,0,42893.4,ONE_PC,0,38468,0,0,0,0,0,0,0.483539,0.5,0.00192036,0,0,0,0,226,623,0,0,0,0,1.05208,0
37264.8,0,285,0.119604,307.891,0.0503019,0,0.00100762,0,0,0,0.0811156,0,32,0,648,0,615.083,0.00311301,0,0,0,0,0.05,0,1500,1.61012,0.0120651,48.8343,WAIT_DIE,0,0,0,0,2.24479,0,0.00291286,0.000768838,0,0,0.21943,0,0,false,0,0,0,0,0,0,33.7125,160.555,0.00795727,0,0.0835759,0.119906,0,0,0.00625918,0.247242,0,0,0,126,31.3447,0,27117,361,0,0,0,0,0,0,0,282,0,0.133061,0,0,0,36539.6,ONE_PC,0,31987.6,0,0,0,0,0,0,0.380656,0.5,0.00212527,0,0,0,0,240,648,0,0,0,0,1.0309,0
51746.4,0,0,0.172468,286.325,0.0970376,0,0.000540876,0,0,0,0.13064,0,32,0,343,0,309.847,0.00138694,0,0,0,0,0.05,0,250,33290.1,0.00612778,56.389,WAIT_DIE,0,0,0,0,2.21945,0,0.0012933,0.000331568,0,0,0.235648,0,0,false,0,0,0,0,0,0,35.424,185.173,0.00739419,0,0.135037,0.172539,0,0,0.00337265,0.419602,0,0,0,64,31.3888,0,27409.6,206,0,0,0,0,0,0,0,151,0,0.081988,0,0,0,82940.3,TWO_PC,0,49651.3,0,0,0,0,0,0,0.643437,0.5,0.000959392,0,0,0,0,128,343,0,0,0,0,1.09165,0
43803,0,36,0.154685,261.813,0.0871273,0,0.000596376,0,0,0,0.131316,0,32,0,385,0,347.101,0.00153063,0,0,0,0,0.05,0,500,29273,0.00591715,45.5595,WAIT_DIE,0,0,0,0,2.18342,0,0.00141767,0.000397704,0,0,0.238147,0,0,false,0,0,0,0,0,0,35.494,153.197,0.00843784,0,0.145547,0.166961,0,0,0.0037421,0.439496,0,0,0,70,31.4011,0,30677.8,217,0,0,0,0,0,0,0,169,0,0.0775074,0,0,0,69260.5,TWO_PC,0,39988.4,0,0,0,0,0,0,0.655388,0.5,0.00113093,0,0,0,0,146,385,0,0,0,0,1.09371,0
46730,0,43,0.180299,331.429,0.0950581,0,0.000555064,0,0,0,0.13749,0,32,0,350,0,321.931,0.00190878,0,0,0,0,0.05,0,750,34023.8,0.00712029,51.2219,WAIT_DIE,0,0,0,0,2.26261,0,0.00181077,0.00028535,0,0,0.237894,0,0,false,0,0,0,0,0,0,34.7901,177.453,0.00453571,0,0.145407,0.188751,0,0,0.00343306,0.379251,0,0,0,67,31.387,0,29314.9,209,0,0,0,0,0,0,0,152,0,0.0808228,0,0,0,78147.8,TWO_PC,0,44124.9,0,0,0,0,0,0,0.552552,0.5,0.000801516,0,0,0,0,131,350,0,0,0,0,1.06993,0
38415.4,0,50,0.146137,279.846,0.08282,0,0.000627756,0,0,0,0.114546,0,32,0,405,0,364.6,0.00135886,0,0,0,0,0.05,0,1000,30094.5,0.00625361,48.5623,WAIT_DIE,0,0,0,0,2.24693,0,0.00123355,0.000455052,0,0,0.238722,0,0,false,0,0,0,0,0,0,35.5458,160.681,0.00917286,0,0.125615,0.146286,0,0,0.00392616,0.471903,0,0,0,76,31.3904,0,28178.5,227,0,0,0,0,0,0,0,179,0,0.0874051,0,0,0,64483.1,TWO_PC,0,34389.7,0,0,0,0,0,0,0.678173,0.5,0.00204384,0,0,0,0,150,405,0,0,0,0,1.0947,0
39120.5,0,22,0.168338,285.445,0.0835372,0,0.000634972,0,0,0,0.124563,0,32,0,404,0,359.48,0.00125563,0,0,0,0,0.05,0,1250,30253.1,0.0073523,53.8721,WAIT_DIE,0,0,0,0,2.25459,0,0.00113569,0.000444342,0,0,0.247967,0,0,false,0,0,0,0,0,0,35.963,180.173,0.0062648,0,0.134234,0.168431,0,0,0.00396072,0.474604,0,0,0,74,31.3821,0,29112.4,238,0,0,0,0,0,0,0,179,0,0.0925861,0,0,0,63643.7,TWO_PC,0,33391.4,0,0,0,0,0,0,0.722569,0.5,0.0010493,0,0,0,0,151,404,0,0,0,0,1.10582,0
37801.7,0,0,0.162015,276.193,0.0826058,0,0.000622956,0,0,0,0.124163,0,32,0,404,0,359.056,0.00126761,0,0,0,0,0.05,0,1500,28853.2,0.00594674,41.921,WAIT_DIE,0,0,0,0,2.14463,0,0.00114877,0.000386164,0,0,0.241936,0,0,false,0,0,0,0,0,0,36.0055,133.606,0.00584675,0,0.133387,0.16221,0,0,0.00392139,0.480119,0,0,0,72,31.4062,0,31763.1,224,0,0,0,0,0,0,0,181,0,0.0709117,0,0,0,59435.3,TWO_PC,0,30583.1,0,0,0,0,0,0,0.732734,0.5,0.0015092,0,0,0,0,151,404,0,0,0,0,1.10954,0
49951.8,0,0,0.127218,257.889,0.0652849,0,0.000784088,0,0,0,0.100384,0,32,0,509,0,463.257,0.00176138,0,0,0,0,0.05,0,250,1.39349,0.00740424,28.9888,WAIT_DIE,0,0,0,0,2.06445,0,0.00160568,0.000438854,0,0,0.227464,0,0,false,0,0,0,0,0,0,35.1597,83.1094,0.00641862,0,0.108606,0.127332,0,0,0.00492996,0.392228,0,0,0,96,31.4176,0,32084.2,283,0,0,0,0,0,0,0,225,0,0.060702,0,0,0,57209.1,ONE_PC,0,46929.3,0,0,0,0,0,0,0.617041,0.5,0.00163816,0,0,0,0,188,509,0,0,0,0,1.08158,0
46991.7,0,260,0.12065,308.544,0.0612626,0,0.000853276,0,0,0,0.100063,0,32,0,538,0,508.15,0.00156292,0,0,0,0,0.05,0,500,1.27319,0.0095867,54.3315,WAIT_DIE,0,0,0,0,2.10491,0,0.00138365,0.00052355,0,0,0.2201,0,0,false,0,0,0,0,0,0,33.8797,186.628,0.0113323,0,0.108105,0.1226,0,0,0.00523317,0.259489,0,0,0,98,31.3517,0,30893.4,303,0,0,0,0,0,0,0,235,0,0.125061,0,0,0,50542.6,ONE_PC,0,43763.8,0,0,0,0,0,0,0.412545,0.5,0.00139427,0,0,0,0,205,538,0,0,0,0,1.03914,0
